Block	Pair_type	Feedback_type	Side	RT	ACC
1	 1	 1	 1	962 	0	 
1	 3	 1	 2	1136 	0	 
1	 3	 1	 2	1391 	1	 
1	 1	 1	 2	1509 	0	 
1	 2	 1	 1	1627 	1	 
1	 3	 1	 2	1510 	1	 
1	 3	 1	 1	1420 	0	 
1	 2	 0	 2	1266 	0	 
1	 3	 0	 2	1436 	1	 
1	 2	 1	 2	1326 	0	 
1	 1	 1	 2	1316 	1	 
1	 3	 1	 2	1530 	0	 
1	 1	 1	 2	0 	missed	 
1	 2	 1	 2	974 	0	 
1	 2	 0	 1	1180 	0	 
1	 1	 1	 1	1246 	0	 
1	 2	 1	 1	1260 	0	 
1	 3	 1	 1	1157 	1	 
1	 1	 1	 2	920 	0	 
1	 3	 0	 1	1189 	0	 
1	 3	 1	 2	1131 	1	 
1	 1	 0	 1	1493 	0	 
1	 1	 1	 1	1271 	0	 
1	 2	 0	 2	1492 	0	 
1	 3	 0	 2	1642 	1	 
1	 2	 1	 1	1516 	0	 
1	 1	 1	 2	1162 	0	 
1	 1	 1	 1	0 	missed	 
1	 2	 1	 1	1070 	1	 
1	 2	 1	 2	1336 	0	 
1	 2	 0	 1	0 	missed	 
1	 2	 1	 2	1320 	1	 
1	 1	 1	 1	1318 	1	 
1	 1	 1	 1	1095 	1	 
1	 3	 1	 1	1629 	1	 
1	 2	 1	 2	1063 	1	 
1	 1	 1	 2	1465 	1	 
1	 2	 1	 1	1434 	1	 
1	 3	 1	 2	1212 	1	 
1	 3	 0	 1	1406 	1	 
1	 2	 0	 1	1211 	1	 
1	 2	 1	 1	1109 	1	 
1	 1	 1	 2	1435 	1	 
1	 1	 0	 2	981 	1	 
1	 3	 1	 1	1218 	1	 
1	 2	 1	 2	940 	1	 
1	 1	 0	 1	907 	1	 
1	 2	 1	 2	1257 	1	 
1	 3	 0	 1	927 	1	 
1	 2	 1	 1	977 	1	 
1	 1	 0	 2	1323 	1	 
1	 3	 0	 2	1013 	1	 
1	 3	 0	 1	1079 	1	 
1	 1	 1	 1	1617 	1	 
1	 1	 1	 1	1170 	1	 
1	 1	 1	 2	1332 	0	 
1	 3	 1	 1	1326 	1	 
1	 3	 1	 1	888 	1	 
1	 2	 0	 2	1162 	1	 
1	 3	 0	 2	1103 	0	 
2	 2	 1	 2	1221 	1	 
2	 1	 1	 2	1639 	0	 
2	 2	 1	 2	961 	1	 
2	 3	 1	 2	935 	1	 
2	 3	 0	 1	745 	1	 
2	 3	 1	 1	775 	1	 
2	 1	 1	 1	1665 	1	 
2	 1	 1	 2	667 	1	 
2	 2	 1	 1	1164 	1	 
2	 3	 1	 1	838 	1	 
2	 1	 1	 1	1104 	1	 
2	 2	 1	 1	729 	1	 
2	 2	 1	 2	635 	1	 
2	 3	 0	 2	797 	1	 
2	 2	 0	 2	1055 	1	 
2	 2	 0	 1	812 	1	 
2	 1	 0	 2	1378 	1	 
2	 3	 1	 2	832 	1	 
2	 1	 0	 1	638 	1	 
2	 2	 1	 1	811 	1	 
2	 1	 1	 2	1249 	1	 
2	 3	 0	 2	859 	1	 
2	 3	 1	 1	737 	1	 
2	 2	 1	 2	962 	1	 
2	 2	 0	 2	900 	1	 
2	 1	 1	 1	1226 	1	 
2	 3	 0	 1	892 	1	 
2	 1	 1	 2	1234 	1	 
2	 3	 1	 2	1000 	0	 
2	 1	 1	 2	746 	1	 
2	 1	 1	 2	987 	1	 
2	 2	 1	 1	845 	1	 
2	 3	 0	 2	779 	0	 
2	 2	 0	 2	845 	1	 
2	 3	 0	 1	954 	0	 
2	 3	 0	 2	764 	0	 
2	 1	 1	 1	1190 	1	 
2	 1	 1	 1	1224 	1	 
2	 2	 1	 1	1155 	1	 
2	 2	 0	 1	800 	1	 
2	 2	 1	 1	802 	1	 
2	 3	 1	 1	1016 	0	 
2	 1	 1	 2	1257 	1	 
2	 3	 0	 1	800 	1	 
2	 3	 1	 2	966 	0	 
2	 1	 1	 1	1008 	1	 
2	 1	 1	 1	874 	1	 
2	 3	 1	 2	864 	1	 
2	 2	 1	 2	870 	1	 
2	 2	 1	 2	856 	1	 
2	 2	 1	 2	690 	1	 
2	 1	 0	 1	1040 	1	 
2	 3	 1	 2	1442 	1	 
2	 1	 0	 2	824 	1	 
2	 2	 0	 1	734 	1	 
