Block	Pair_type	Feedback_type	Side	RT	ACC
1	 3	 1	 1	841 	1	 
1	 1	 1	 1	1127 	1	 
1	 2	 1	 2	749 	0	 
1	 1	 1	 2	1055 	1	 
1	 1	 1	 2	1293 	1	 
1	 3	 0	 2	1018 	1	 
1	 1	 1	 1	848 	1	 
1	 2	 1	 2	590 	1	 
1	 3	 0	 1	867 	1	 
1	 3	 0	 2	925 	1	 
1	 1	 0	 2	836 	1	 
1	 2	 1	 1	825 	1	 
1	 1	 1	 1	1128 	1	 
1	 3	 1	 2	746 	1	 
1	 2	 1	 1	739 	1	 
1	 1	 1	 2	913 	1	 
1	 3	 1	 1	591 	1	 
1	 3	 1	 1	601 	1	 
1	 2	 1	 1	807 	1	 
1	 2	 0	 1	585 	1	 
1	 2	 1	 2	863 	1	 
1	 3	 0	 1	689 	1	 
1	 2	 1	 1	690 	1	 
1	 3	 0	 2	685 	1	 
1	 1	 1	 2	759 	1	 
1	 2	 1	 1	665 	1	 
1	 3	 0	 1	595 	1	 
1	 1	 1	 1	657 	1	 
1	 1	 1	 1	591 	1	 
1	 3	 0	 2	721 	1	 
1	 2	 0	 2	779 	1	 
1	 1	 1	 1	821 	1	 
1	 1	 0	 1	939 	1	 
1	 3	 1	 1	740 	1	 
1	 1	 1	 1	691 	1	 
1	 1	 1	 2	717 	1	 
1	 1	 1	 1	1031 	1	 
1	 2	 1	 2	729 	1	 
1	 3	 1	 2	698 	1	 
1	 3	 1	 2	648 	1	 
1	 2	 0	 2	610 	1	 
1	 3	 1	 2	583 	1	 
1	 3	 1	 2	1329 	1	 
1	 2	 0	 2	651 	1	 
1	 1	 1	 2	773 	1	 
1	 3	 1	 1	579 	1	 
1	 1	 0	 2	608 	1	 
1	 3	 0	 1	707 	1	 
1	 2	 1	 2	677 	1	 
1	 2	 0	 1	875 	1	 
1	 2	 0	 1	641 	1	 
1	 3	 1	 2	748 	1	 
1	 1	 0	 1	645 	1	 
1	 2	 1	 2	611 	1	 
1	 3	 1	 1	777 	1	 
1	 2	 1	 1	635 	1	 
1	 1	 1	 2	668 	1	 
1	 2	 1	 1	530 	1	 
1	 2	 1	 2	796 	1	 
1	 1	 1	 2	686 	1	 
2	 3	 1	 2	763 	1	 
2	 2	 1	 1	941 	1	 
2	 1	 0	 2	623 	1	 
2	 2	 1	 1	674 	1	 
2	 2	 1	 2	624 	1	 
2	 2	 1	 1	703 	1	 
2	 1	 1	 1	793 	1	 
2	 2	 0	 1	714 	1	 
2	 1	 1	 2	912 	1	 
2	 1	 1	 2	1150 	1	 
2	 3	 1	 2	1371 	1	 
2	 1	 1	 2	709 	1	 
2	 1	 1	 2	667 	1	 
2	 3	 1	 1	889 	1	 
2	 2	 1	 2	730 	1	 
2	 1	 1	 2	560 	0	 
2	 3	 0	 1	778 	1	 
2	 1	 0	 1	644 	1	 
2	 3	 0	 2	709 	1	 
2	 3	 1	 2	563 	1	 
2	 2	 0	 1	649 	1	 
2	 2	 1	 1	506 	1	 
2	 2	 1	 1	728 	1	 
2	 2	 1	 2	854 	1	 
2	 3	 1	 1	668 	1	 
2	 2	 1	 2	566 	1	 
2	 1	 0	 1	879 	1	 
2	 1	 1	 1	533 	1	 
2	 1	 1	 1	839 	1	 
2	 3	 1	 1	768 	1	 
2	 1	 1	 2	854 	1	 
2	 1	 1	 1	620 	1	 
2	 3	 0	 2	678 	1	 
2	 1	 1	 2	847 	1	 
2	 3	 1	 2	609 	1	 
2	 2	 1	 2	695 	1	 
2	 3	 0	 1	849 	1	 
2	 2	 1	 2	807 	1	 
2	 3	 0	 1	553 	1	 
2	 3	 1	 1	1218 	1	 
2	 2	 0	 2	584 	1	 
2	 1	 1	 1	1258 	1	 
2	 2	 0	 1	1068 	1	 
2	 3	 0	 2	602 	1	 
2	 2	 0	 2	524 	1	 
2	 2	 1	 2	538 	1	 
2	 3	 1	 2	488 	1	 
2	 2	 1	 1	1002 	1	 
2	 3	 0	 2	1067 	1	 
2	 2	 0	 2	581 	1	 
2	 3	 1	 1	623 	1	 
2	 1	 1	 1	845 	1	 
2	 1	 1	 2	651 	1	 
2	 3	 1	 2	549 	1	 
2	 1	 1	 1	703 	1	 
2	 2	 1	 1	976 	1	 
2	 3	 1	 1	650 	1	 
2	 1	 1	 1	768 	1	 
2	 3	 0	 1	518 	1	 
2	 1	 0	 2	527 	0	 
3	 1	 0	 2	673 	1	 
3	 3	 0	 2	668 	1	 
3	 3	 0	 1	729 	1	 
3	 3	 1	 1	543 	1	 
3	 3	 1	 2	605 	1	 
3	 1	 0	 2	770 	1	 
3	 1	 1	 1	652 	1	 
3	 3	 0	 1	686 	1	 
3	 1	 1	 2	540 	1	 
3	 3	 0	 1	566 	1	 
3	 3	 1	 2	552 	1	 
3	 3	 0	 1	474 	1	 
3	 3	 0	 2	544 	1	 
3	 2	 0	 1	682 	1	 
3	 2	 0	 1	687 	1	 
3	 1	 1	 2	589 	1	 
3	 1	 0	 1	623 	1	 
3	 1	 1	 1	625 	1	 
3	 1	 1	 2	584 	1	 
3	 1	 1	 2	553 	1	 
3	 3	 1	 1	655 	1	 
3	 2	 1	 1	881 	1	 
3	 2	 1	 1	851 	1	 
3	 2	 0	 2	664 	1	 
3	 2	 1	 2	690 	1	 
3	 3	 1	 1	721 	1	 
3	 2	 0	 2	570 	1	 
3	 1	 1	 1	812 	1	 
3	 3	 1	 2	762 	1	 
3	 1	 1	 1	676 	1	 
3	 3	 0	 2	722 	1	 
3	 1	 1	 2	724 	1	 
3	 2	 1	 1	614 	1	 
3	 3	 1	 1	664 	1	 
3	 2	 1	 2	658 	1	 
3	 3	 1	 2	708 	1	 
3	 2	 1	 2	922 	1	 
3	 2	 1	 1	872 	1	 
3	 3	 1	 1	810 	1	 
3	 2	 1	 1	1004 	1	 
3	 2	 1	 1	925 	1	 
3	 2	 1	 2	828 	1	 
3	 2	 1	 2	682 	1	 
3	 3	 1	 2	679 	1	 
3	 3	 1	 1	461 	1	 
3	 2	 1	 2	599 	1	 
3	 1	 1	 1	665 	1	 
3	 3	 0	 2	810 	1	 
3	 2	 0	 1	732 	1	 
3	 1	 1	 1	598 	1	 
3	 1	 1	 2	864 	1	 
3	 2	 1	 1	513 	1	 
3	 1	 1	 1	703 	1	 
3	 2	 1	 2	545 	1	 
3	 1	 1	 2	698 	1	 
3	 3	 1	 2	592 	1	 
3	 1	 1	 1	842 	1	 
3	 1	 1	 2	604 	1	 
3	 2	 0	 2	706 	1	 
3	 1	 0	 1	712 	1	 
4	 1	 1	 1	918 	1	 
4	 2	 1	 1	691 	1	 
4	 1	 1	 1	630 	1	 
4	 3	 1	 1	584 	1	 
4	 1	 0	 1	1001 	1	 
4	 1	 1	 1	667 	1	 
4	 1	 1	 1	541 	1	 
4	 2	 1	 1	663 	1	 
4	 1	 1	 2	593 	1	 
4	 2	 0	 1	650 	1	 
4	 3	 1	 1	516 	1	 
4	 2	 1	 2	582 	1	 
4	 3	 1	 2	708 	1	 
4	 2	 1	 2	694 	1	 
4	 1	 0	 1	684 	1	 
4	 3	 1	 2	666 	1	 
4	 1	 1	 2	663 	1	 
4	 3	 1	 1	769 	1	 
4	 3	 0	 2	963 	1	 
4	 1	 1	 2	605 	1	 
4	 3	 0	 2	510 	1	 
4	 1	 1	 1	724 	1	 
4	 1	 1	 2	642 	1	 
4	 1	 1	 2	565 	1	 
4	 3	 0	 1	675 	1	 
4	 2	 1	 1	1045 	1	 
4	 3	 0	 1	695 	1	 
4	 1	 1	 2	601 	1	 
4	 3	 1	 1	738 	1	 
4	 1	 1	 1	920 	1	 
4	 3	 1	 1	1026 	1	 
4	 3	 1	 1	696 	1	 
4	 2	 0	 1	914 	1	 
4	 1	 1	 2	759 	1	 
4	 3	 0	 2	749 	1	 
4	 2	 1	 1	579 	1	 
4	 1	 0	 2	837 	1	 
4	 1	 1	 2	807 	1	 
4	 2	 0	 2	721 	1	 
4	 1	 1	 1	867 	1	 
4	 2	 1	 2	653 	1	 
4	 2	 1	 2	826 	1	 
4	 2	 1	 1	648 	1	 
4	 1	 1	 1	698 	1	 
4	 3	 1	 2	671 	1	 
4	 2	 1	 1	757 	1	 
4	 2	 1	 2	556 	1	 
4	 3	 1	 2	505 	1	 
4	 3	 1	 2	519 	1	 
4	 2	 1	 2	585 	1	 
4	 3	 0	 1	470 	1	 
4	 2	 0	 2	564 	1	 
4	 2	 1	 1	562 	1	 
4	 3	 0	 1	556 	1	 
4	 2	 0	 1	622 	1	 
4	 3	 0	 2	552 	1	 
4	 2	 0	 2	590 	1	 
4	 2	 1	 2	596 	1	 
4	 1	 0	 2	606 	1	 
4	 3	 1	 2	496 	1	 
5	 2	 1	 2	526 	1	 
5	 3	 0	 2	516 	1	 
5	 1	 0	 1	861 	1	 
5	 1	 1	 1	663 	1	 
5	 2	 0	 2	749 	1	 
5	 3	 1	 1	883 	1	 
5	 3	 0	 2	653 	1	 
5	 3	 1	 1	518 	1	 
5	 1	 1	 2	664 	1	 
5	 1	 1	 2	618 	1	 
5	 2	 1	 2	483 	1	 
5	 3	 1	 2	645 	1	 
5	 3	 1	 2	475 	1	 
5	 1	 1	 1	629 	1	 
5	 2	 1	 2	871 	1	 
5	 1	 1	 2	965 	1	 
5	 1	 0	 2	578 	1	 
5	 1	 1	 1	900 	1	 
5	 3	 0	 1	686 	1	 
5	 2	 0	 1	828 	1	 
5	 3	 0	 1	901 	1	 
5	 2	 1	 1	683 	1	 
5	 1	 0	 1	689 	1	 
5	 2	 0	 1	583 	1	 
5	 2	 1	 1	732 	1	 
5	 3	 0	 2	670 	1	 
5	 3	 1	 2	712 	1	 
5	 1	 1	 1	674 	1	 
5	 2	 1	 1	860 	1	 
5	 2	 1	 1	566 	1	 
5	 3	 0	 1	607 	1	 
5	 2	 1	 2	553 	1	 
5	 1	 1	 2	615 	1	 
5	 2	 1	 1	497 	1	 
5	 1	 1	 2	598 	1	 
5	 1	 1	 2	760 	1	 
5	 3	 1	 2	626 	1	 
5	 3	 1	 1	724 	1	 
