Block	Pair_type	Feedback_type	Side	RT	ACC
1	 1	 1	 1	567 	0	 
1	 1	 1	 2	552 	0	 
1	 2	 1	 2	554 	1	 
1	 3	 1	 1	781 	1	 
1	 3	 1	 2	839 	1	 
1	 1	 1	 2	561 	1	 
1	 2	 1	 1	608 	0	 
1	 2	 0	 2	846 	1	 
1	 2	 0	 2	656 	1	 
1	 1	 1	 2	754 	1	 
1	 2	 1	 1	716 	1	 
1	 2	 1	 2	677 	1	 
1	 3	 1	 2	1175 	1	 
1	 2	 1	 1	829 	1	 
1	 2	 1	 2	643 	1	 
1	 1	 1	 2	685 	1	 
1	 2	 1	 2	675 	1	 
1	 1	 1	 2	597 	0	 
1	 3	 0	 1	547 	0	 
1	 1	 1	 2	596 	1	 
1	 3	 1	 2	666 	1	 
1	 1	 1	 1	468 	1	 
1	 2	 1	 2	722 	1	 
1	 1	 1	 1	848 	1	 
1	 2	 0	 2	669 	1	 
1	 3	 1	 2	831 	0	 
1	 2	 0	 1	1081 	1	 
1	 3	 0	 1	587 	1	 
1	 2	 1	 1	1124 	1	 
1	 3	 1	 1	871 	1	 
1	 2	 1	 1	548 	1	 
1	 1	 1	 1	546 	1	 
1	 2	 0	 1	972 	1	 
1	 1	 0	 1	594 	0	 
1	 1	 1	 2	799 	0	 
1	 3	 1	 1	725 	1	 
1	 3	 0	 2	795 	1	 
1	 2	 1	 1	797 	1	 
1	 3	 0	 2	739 	1	 
1	 3	 1	 1	709 	1	 
1	 2	 1	 2	787 	1	 
1	 1	 0	 1	845 	1	 
1	 2	 1	 2	791 	1	 
1	 3	 0	 2	721 	1	 
1	 1	 0	 2	1531 	1	 
1	 1	 0	 2	1121 	1	 
1	 1	 1	 1	630 	1	 
1	 1	 1	 1	728 	1	 
1	 3	 0	 2	586 	1	 
1	 1	 1	 2	632 	1	 
1	 3	 0	 1	721 	1	 
1	 3	 1	 2	831 	1	 
1	 2	 1	 1	973 	1	 
1	 3	 1	 1	783 	1	 
1	 3	 0	 1	629 	0	 
1	 3	 1	 2	603 	1	 
1	 1	 1	 1	840 	0	 
1	 1	 1	 1	735 	1	 
1	 3	 1	 1	684 	0	 
1	 2	 0	 1	754 	1	 
2	 1	 1	 1	832 	1	 
