Block	Pair_type	Feedback_type	Side	RT	ACC
1	 3	 1	 1	1174 	0	 
1	 3	 1	 2	1308 	0	 
1	 1	 0	 1	1051 	1	 
1	 1	 1	 1	1337 	0	 
1	 2	 1	 1	1051 	1	 
1	 1	 0	 1	1369 	1	 
1	 3	 1	 1	1279 	1	 
1	 2	 1	 2	1085 	1	 
1	 2	 1	 1	1255 	1	 
1	 1	 1	 1	0 	missed	 
1	 1	 1	 1	979 	0	 
1	 1	 1	 2	1076 	0	 
1	 3	 0	 1	1322 	0	 
1	 3	 0	 1	704 	0	 
1	 1	 1	 2	1010 	1	 
1	 1	 1	 1	1036 	0	 
1	 3	 1	 1	981 	0	 
1	 3	 0	 1	947 	0	 
1	 1	 1	 1	1257 	0	 
1	 3	 0	 2	839 	0	 
1	 3	 1	 2	785 	0	 
1	 2	 1	 1	971 	1	 
1	 3	 1	 2	780 	0	 
1	 2	 1	 2	634 	1	 
1	 2	 0	 1	940 	1	 
1	 2	 1	 1	1110 	1	 
1	 2	 0	 2	768 	1	 
1	 1	 1	 2	1202 	1	 
1	 3	 1	 1	707 	0	 
1	 3	 1	 2	838 	0	 
1	 1	 1	 2	824 	1	 
1	 1	 1	 2	726 	1	 
1	 2	 0	 1	788 	1	 
1	 2	 1	 1	766 	1	 
1	 1	 0	 2	879 	1	 
1	 1	 1	 1	873 	1	 
1	 2	 1	 2	723 	1	 
1	 3	 0	 2	822 	0	 
1	 1	 1	 1	956 	0	 
1	 2	 1	 2	962 	1	 
1	 3	 1	 2	924 	1	 
1	 1	 1	 2	1118 	1	 
1	 2	 1	 2	960 	1	 
1	 1	 1	 2	838 	0	 
1	 2	 1	 1	843 	1	 
1	 2	 1	 2	853 	1	 
1	 3	 0	 1	867 	0	 
1	 2	 0	 2	621 	1	 
1	 3	 0	 2	822 	0	 
1	 2	 1	 2	1020 	0	 
1	 2	 0	 2	634 	1	 
1	 3	 0	 2	732 	0	 
1	 2	 0	 1	653 	1	 
1	 1	 0	 2	1015 	0	 
1	 2	 1	 1	829 	1	 
1	 3	 1	 1	975 	0	 
1	 1	 1	 1	737 	0	 
1	 1	 1	 2	1035 	0	 
1	 3	 1	 2	812 	0	 
1	 3	 1	 1	870 	0	 
2	 1	 0	 1	1068 	0	 
2	 1	 1	 1	746 	0	 
2	 2	 1	 2	779 	1	 
2	 3	 0	 1	973 	0	 
2	 1	 1	 2	976 	0	 
2	 3	 0	 1	882 	0	 
2	 2	 1	 1	1028 	1	 
2	 2	 0	 1	857 	1	 
2	 1	 0	 1	800 	0	 
2	 3	 0	 2	1162 	0	 
2	 3	 1	 2	1299 	0	 
2	 1	 1	 1	865 	0	 
2	 2	 1	 1	779 	1	 
2	 1	 1	 1	969 	0	 
2	 2	 1	 2	722 	1	 
2	 1	 1	 1	816 	1	 
2	 1	 1	 2	518 	1	 
2	 2	 1	 2	572 	1	 
2	 3	 0	 2	465 	0	 
2	 3	 0	 2	283 	1	 
2	 1	 1	 2	801 	1	 
2	 2	 0	 1	654 	1	 
2	 2	 1	 2	600 	1	 
2	 3	 1	 2	514 	1	 
2	 2	 0	 2	428 	0	 
