Block	Pair_type	Feedback_type	Side	RT	ACC
1	 1	 1	 2	1197 	1	 
1	 2	 0	 1	1270 	1	 
1	 1	 0	 1	1348 	0	 
1	 1	 1	 1	0 	missed	 
1	 1	 1	 2	1188 	0	 
1	 2	 1	 1	1526 	0	 
1	 3	 1	 2	1152 	1	 
1	 3	 0	 2	849 	0	 
1	 3	 0	 1	1275 	0	 
1	 1	 1	 1	1541 	1	 
1	 1	 0	 1	0 	missed	 
1	 1	 1	 2	914 	0	 
1	 2	 1	 1	688 	0	 
1	 2	 1	 1	458 	0	 
1	 2	 1	 2	792 	1	 
1	 3	 0	 2	1310 	0	 
1	 1	 0	 2	1180 	1	 
1	 3	 1	 1	974 	1	 
1	 2	 0	 1	1344 	1	 
1	 1	 1	 2	1038 	1	 
1	 1	 1	 1	1084 	0	 
1	 3	 0	 1	978 	0	 
1	 2	 0	 2	871 	0	 
1	 2	 1	 1	1505 	0	 
1	 2	 1	 2	1175 	1	 
1	 3	 1	 1	1237 	1	 
1	 1	 1	 2	879 	1	 
1	 3	 1	 2	1061 	0	 
1	 3	 1	 1	1123 	1	 
1	 3	 1	 2	745 	0	 
1	 1	 1	 1	1326 	0	 
1	 1	 1	 1	932 	1	 
1	 2	 1	 2	930 	0	 
1	 3	 0	 2	1436 	0	 
1	 1	 1	 1	0 	missed	 
1	 2	 1	 2	740 	0	 
1	 2	 0	 1	574 	0	 
1	 3	 1	 1	1469 	0	 
1	 1	 1	 1	767 	1	 
1	 2	 1	 2	1040 	1	 
1	 3	 1	 2	835 	0	 
1	 2	 1	 2	1420 	1	 
1	 1	 0	 2	666 	0	 
1	 2	 1	 1	1408 	0	 
1	 2	 0	 2	1458 	1	 
1	 3	 1	 1	1229 	0	 
1	 3	 1	 2	351 	0	 
1	 1	 1	 1	1308 	1	 
1	 2	 1	 2	674 	1	 
1	 3	 0	 2	660 	1	 
1	 3	 0	 1	766 	1	 
1	 3	 1	 2	1056 	1	 
1	 1	 1	 2	1386 	0	 
1	 3	 0	 1	716 	1	 
1	 3	 1	 1	554 	1	 
1	 1	 1	 2	867 	1	 
1	 2	 1	 1	0 	missed	 
1	 2	 0	 2	984 	0	 
1	 2	 1	 1	1281 	1	 
1	 1	 1	 2	1435 	0	 
2	 3	 0	 1	929 	0	 
2	 2	 1	 1	1483 	0	 
2	 3	 1	 1	1176 	1	 
2	 3	 0	 1	630 	1	 
2	 3	 1	 2	1496 	0	 
2	 2	 1	 1	770 	0	 
2	 1	 1	 2	623 	0	 
2	 2	 1	 2	858 	1	 
2	 1	 0	 1	1512 	1	 
2	 2	 1	 2	950 	0	 
2	 2	 0	 2	664 	0	 
2	 1	 1	 1	1213 	0	 
2	 1	 0	 2	791 	0	 
2	 3	 0	 2	797 	1	 
2	 1	 1	 2	771 	1	 
2	 3	 0	 2	493 	1	 
2	 3	 1	 1	1111 	1	 
2	 1	 1	 1	888 	1	 
2	 2	 0	 2	1426 	1	 
2	 1	 0	 1	1580 	1	 
2	 3	 0	 2	874 	1	 
2	 3	 1	 2	508 	1	 
2	 3	 1	 2	1067 	0	 
2	 2	 1	 2	896 	0	 
2	 1	 1	 2	586 	1	 
2	 3	 0	 2	1168 	0	 
2	 1	 1	 1	1121 	1	 
2	 2	 0	 1	1323 	0	 
2	 1	 1	 1	1366 	0	 
2	 2	 1	 1	1135 	0	 
2	 2	 1	 1	741 	1	 
2	 1	 1	 1	0 	missed	 
2	 2	 1	 1	762 	1	 
2	 2	 1	 2	1468 	1	 
2	 3	 1	 1	1009 	0	 
2	 2	 0	 1	723 	1	 
2	 3	 1	 2	781 	1	 
2	 3	 1	 2	879 	1	 
2	 1	 0	 2	1345 	0	 
2	 2	 0	 2	707 	1	 
2	 1	 1	 2	0 	missed	 
2	 3	 1	 2	644 	1	 
2	 3	 1	 1	1113 	1	 
2	 1	 1	 1	1263 	1	 
2	 2	 1	 2	1313 	1	 
2	 3	 0	 1	959 	0	 
2	 1	 1	 2	832 	0	 
2	 2	 1	 2	1010 	1	 
2	 1	 1	 2	516 	1	 
2	 2	 0	 1	721 	1	 
2	 1	 1	 2	1591 	1	 
2	 1	 1	 1	1161 	1	 
2	 3	 1	 1	1027 	1	 
2	 2	 1	 1	1505 	1	 
2	 3	 1	 1	887 	0	 
2	 1	 1	 2	1456 	1	 
2	 1	 1	 1	714 	1	 
2	 2	 1	 2	700 	1	 
2	 3	 0	 1	1238 	1	 
2	 2	 1	 1	879 	1	 
3	 2	 1	 2	989 	1	 
3	 1	 1	 1	595 	1	 
3	 2	 1	 2	0 	missed	 
3	 3	 1	 1	607 	1	 
3	 3	 1	 2	434 	1	 
3	 2	 1	 1	879 	1	 
3	 1	 1	 2	909 	1	 
3	 1	 1	 1	1175 	1	 
3	 1	 1	 2	1265 	0	 
3	 2	 0	 2	851 	1	 
3	 3	 0	 1	781 	1	 
3	 1	 1	 2	679 	0	 
3	 2	 1	 2	488 	1	 
3	 2	 1	 2	610 	1	 
