Block	Pair_type	Feedback_type	Side	RT	ACC
1	 1	 1	 2	1066 	1	 
1	 3	 1	 1	844 	0	 
1	 2	 1	 1	922 	0	 
1	 2	 1	 2	716 	1	 
1	 2	 1	 2	657 	1	 
1	 2	 1	 2	616 	1	 
1	 2	 0	 1	593 	0	 
1	 3	 1	 2	971 	0	 
1	 2	 1	 1	961 	1	 
1	 1	 0	 1	799 	1	 
1	 2	 0	 2	788 	1	 
1	 3	 0	 1	822 	0	 
1	 2	 1	 1	864 	1	 
1	 1	 1	 1	714 	1	 
1	 2	 0	 2	763 	1	 
1	 2	 1	 2	629 	1	 
1	 3	 1	 2	759 	1	 
1	 3	 0	 1	809 	1	 
1	 2	 1	 2	759 	1	 
1	 2	 1	 1	662 	1	 
1	 2	 1	 2	739 	1	 
1	 1	 1	 1	713 	1	 
1	 1	 1	 1	735 	1	 
1	 3	 0	 2	796 	1	 
1	 1	 0	 1	910 	1	 
1	 1	 1	 1	584 	1	 
1	 3	 1	 2	930 	1	 
1	 1	 1	 2	863 	1	 
1	 3	 1	 1	1037 	1	 
1	 1	 1	 2	1023 	1	 
1	 3	 0	 1	745 	1	 
1	 3	 1	 1	651 	1	 
1	 1	 1	 1	913 	1	 
1	 1	 1	 2	639 	1	 
1	 2	 1	 1	832 	1	 
1	 1	 1	 1	802 	0	 
1	 2	 0	 1	852 	0	 
1	 2	 1	 2	782 	1	 
1	 1	 0	 2	907 	1	 
1	 3	 0	 2	654 	1	 
1	 3	 0	 1	867 	1	 
1	 2	 0	 2	689 	1	 
1	 1	 1	 2	575 	1	 
1	 1	 1	 1	641 	1	 
1	 3	 1	 2	688 	1	 
1	 2	 0	 1	861 	1	 
1	 3	 0	 2	543 	1	 
1	 3	 0	 2	761 	1	 
1	 3	 1	 1	763 	1	 
1	 3	 1	 1	644 	1	 
1	 2	 1	 1	638 	1	 
1	 3	 1	 2	688 	1	 
1	 1	 0	 2	894 	1	 
1	 3	 1	 1	815 	1	 
1	 2	 1	 1	761 	0	 
1	 1	 1	 2	991 	1	 
1	 1	 1	 1	509 	1	 
1	 1	 1	 2	459 	1	 
1	 1	 1	 2	514 	1	 
1	 3	 1	 2	727 	1	 
2	 3	 1	 1	689 	0	 
2	 2	 1	 1	1003 	1	 
2	 2	 1	 1	916 	1	 
2	 2	 1	 2	902 	1	 
2	 3	 1	 2	700 	1	 
2	 2	 1	 2	946 	1	 
2	 2	 1	 2	611 	1	 
2	 1	 1	 2	829 	1	 
2	 2	 1	 2	687 	1	 
2	 3	 1	 1	809 	1	 
2	 2	 0	 2	571 	1	 
2	 3	 1	 1	929 	1	 
2	 3	 1	 1	575 	1	 
2	 3	 0	 1	565 	1	 
2	 3	 1	 2	595 	1	 
2	 3	 0	 2	613 	1	 
2	 1	 1	 1	674 	1	 
2	 1	 1	 2	613 	1	 
2	 2	 1	 1	690 	0	 
2	 3	 1	 2	552 	1	 
2	 1	 0	 1	638 	1	 
2	 3	 1	 1	944 	1	 
2	 3	 1	 2	533 	1	 
2	 1	 0	 2	1043 	1	 
2	 2	 1	 1	621 	1	 
2	 2	 0	 1	622 	1	 
2	 2	 0	 1	536 	1	 
2	 3	 0	 1	666 	1	 
2	 3	 1	 1	508 	1	 
2	 1	 1	 1	646 	1	 
2	 1	 1	 2	856 	1	 
2	 3	 1	 2	814 	0	 
2	 2	 1	 2	799 	1	 
2	 3	 0	 2	861 	1	 
2	 1	 0	 2	1023 	1	 
2	 1	 1	 2	985 	1	 
2	 2	 0	 2	595 	0	 
2	 3	 0	 1	473 	0	 
2	 1	 1	 1	374 	1	 
2	 2	 1	 2	261 	1	 
2	 2	 0	 2	395 	0	 
2	 3	 1	 2	269 	1	 
2	 1	 1	 2	390 	0	 
2	 1	 1	 1	349 	0	 
2	 3	 0	 2	298 	0	 
