Block	Pair_type	Feedback_type	Side	RT	ACC
1	 2	 1	 1	1001 	1	 
1	 3	 1	 2	1575 	1	 
1	 2	 1	 2	0 	missed	 
1	 2	 0	 1	1336 	1	 
1	 1	 1	 2	1474 	1	 
1	 1	 1	 1	1344 	1	 
1	 3	 1	 2	1394 	1	 
1	 2	 1	 2	1496 	0	 
1	 3	 1	 1	1697 	1	 
1	 2	 1	 2	899 	1	 
1	 3	 0	 1	1101 	1	 
1	 3	 0	 1	1214 	1	 
1	 3	 0	 2	1544 	0	 
1	 3	 1	 1	1210 	0	 
1	 2	 1	 2	1248 	0	 
1	 3	 0	 2	1433 	0	 
1	 1	 0	 1	1547 	1	 
1	 1	 1	 1	1669 	0	 
1	 1	 0	 1	1699 	1	 
1	 3	 1	 1	1636 	0	 
1	 3	 1	 2	1590 	1	 
1	 1	 1	 2	0 	missed	 
1	 3	 1	 1	1087 	1	 
1	 2	 1	 1	1409 	1	 
1	 2	 1	 1	1375 	1	 
1	 1	 1	 1	0 	missed	 
1	 2	 1	 2	1131 	1	 
1	 1	 1	 1	1253 	0	 
1	 1	 1	 2	1535 	1	 
1	 1	 1	 1	1168 	1	 
1	 3	 1	 2	1290 	0	 
1	 3	 1	 2	1349 	1	 
1	 2	 0	 1	1311 	1	 
1	 3	 1	 1	1460 	0	 
1	 1	 0	 2	1434 	1	 
1	 3	 0	 1	0 	missed	 
1	 2	 1	 1	1118 	0	 
1	 2	 1	 2	1188 	1	 
1	 1	 1	 1	1330 	1	 
1	 2	 1	 1	1259 	1	 
1	 3	 1	 2	0 	missed	 
1	 2	 1	 1	1056 	1	 
1	 1	 0	 2	1138 	1	 
1	 3	 1	 1	1556 	1	 
1	 1	 1	 1	0 	missed	 
1	 2	 0	 1	1156 	1	 
1	 2	 0	 2	1331 	1	 
1	 1	 1	 2	1313 	0	 
1	 3	 0	 2	1314 	1	 
1	 2	 0	 2	1224 	1	 
1	 1	 1	 2	1174 	0	 
1	 2	 1	 1	1457 	1	 
1	 1	 1	 1	1495 	1	 
1	 1	 1	 2	0 	missed	 
1	 2	 0	 2	1067 	1	 
1	 3	 0	 2	1285 	0	 
1	 1	 1	 2	1263 	1	 
1	 2	 1	 2	1037 	1	 
1	 1	 1	 2	1182 	1	 
1	 3	 0	 1	1372 	0	 
2	 3	 0	 1	1234 	0	 
2	 1	 1	 2	1216 	1	 
2	 2	 1	 2	1025 	1	 
2	 1	 1	 2	1320 	1	 
2	 3	 0	 1	1158 	0	 
2	 3	 0	 2	1296 	0	 
2	 3	 1	 1	1162 	0	 
2	 3	 0	 2	1207 	0	 
2	 2	 0	 2	1126 	1	 
2	 2	 1	 1	1072 	1	 
2	 2	 0	 1	1321 	1	 
2	 1	 1	 1	1003 	0	 
2	 2	 0	 2	1125 	1	 
2	 1	 0	 1	1139 	0	 
2	 2	 1	 2	1161 	0	 
2	 1	 1	 1	1407 	1	 
2	 1	 1	 1	1245 	1	 
2	 2	 1	 2	1287 	1	 
2	 3	 1	 2	1505 	0	 
2	 3	 0	 2	1630 	0	 
2	 1	 1	 1	1476 	1	 
2	 2	 1	 2	1546 	0	 
2	 3	 1	 2	1296 	0	 
2	 3	 1	 1	1601 	1	 
2	 1	 1	 1	1219 	1	 
2	 2	 1	 1	1393 	1	 
2	 2	 1	 2	1663 	1	 
2	 3	 1	 2	1328 	0	 
2	 2	 1	 1	1590 	1	 
2	 2	 1	 2	1328 	1	 
2	 1	 1	 2	1066 	1	 
2	 3	 0	 1	1320 	1	 
2	 3	 1	 1	814 	0	 
2	 2	 0	 2	1063 	1	 
2	 3	 0	 1	1013 	1	 
2	 1	 1	 1	1087 	1	 
2	 1	 0	 2	1061 	1	 
2	 3	 1	 2	1306 	0	 
2	 1	 1	 2	845 	1	 
2	 3	 1	 1	1235 	0	 
2	 2	 1	 1	1360 	1	 
2	 1	 1	 2	982 	1	 
2	 1	 1	 1	1608 	1	 
2	 1	 1	 2	790 	1	 
2	 3	 1	 1	1369 	1	 
2	 1	 1	 2	1122 	1	 
2	 1	 1	 1	1300 	1	 
2	 2	 1	 1	1222 	1	 
2	 3	 1	 1	1128 	1	 
2	 3	 1	 2	1241 	0	 
2	 2	 0	 1	1496 	1	 
2	 1	 0	 2	885 	1	 
2	 1	 0	 1	1351 	1	 
2	 3	 0	 2	1105 	1	 
2	 1	 1	 2	1043 	1	 
2	 2	 1	 1	1152 	1	 
2	 2	 1	 1	1230 	1	 
2	 3	 1	 2	1424 	1	 
2	 2	 1	 2	1414 	1	 
2	 2	 0	 1	0 	missed	 
3	 3	 1	 2	1046 	1	 
3	 1	 1	 2	1008 	1	 
3	 2	 1	 2	1162 	1	 
3	 2	 1	 1	1220 	1	 
3	 1	 1	 2	970 	1	 
3	 2	 1	 1	928 	1	 
3	 2	 1	 2	886 	1	 
3	 1	 1	 1	1063 	1	 
3	 2	 0	 2	1021 	1	 
3	 3	 0	 1	1071 	1	 
3	 2	 0	 2	920 	1	 
3	 3	 0	 1	1090 	1	 
3	 3	 1	 1	1013 	1	 
3	 2	 1	 2	1014 	1	 
3	 1	 1	 2	796 	1	 
3	 2	 1	 2	894 	1	 
3	 2	 0	 1	924 	1	 
3	 2	 1	 1	1022 	1	 
3	 2	 1	 1	840 	1	 
3	 1	 1	 2	934 	1	 
3	 1	 1	 1	1052 	1	 
3	 3	 0	 2	1126 	1	 
3	 3	 1	 1	1336 	1	 
3	 1	 1	 2	942 	1	 
3	 3	 1	 1	1308 	1	 
3	 1	 1	 1	1247 	1	 
3	 1	 0	 1	1025 	1	 
3	 2	 1	 2	1047 	1	 
3	 1	 0	 1	1133 	1	 
3	 1	 1	 2	1026 	1	 
3	 3	 0	 1	1184 	1	 
3	 2	 0	 1	1110 	1	 
3	 1	 1	 1	1319 	1	 
3	 3	 1	 1	1529 	1	 
3	 1	 1	 1	1479 	1	 
3	 1	 1	 1	897 	1	 
3	 3	 0	 2	0 	missed	 
3	 3	 1	 2	1137 	0	 
3	 3	 0	 2	1015 	1	 
3	 2	 1	 1	888 	1	 
3	 1	 0	 2	1026 	1	 
3	 1	 1	 1	1180 	1	 
3	 1	 1	 1	1077 	1	 
3	 2	 1	 1	967 	1	 
3	 1	 1	 2	993 	1	 
3	 2	 0	 1	1111 	1	 
3	 3	 1	 2	1301 	1	 
3	 3	 1	 2	1218 	1	 
3	 2	 1	 2	1328 	1	 
3	 3	 0	 1	1482 	0	 
3	 2	 0	 2	1179 	1	 
3	 2	 1	 1	1161 	1	 
