Block	Pair_type	Feedback_type	Side	RT	ACC
1	 3	 1	 2	844 	1	 
1	 2	 1	 1	1062 	1	 
1	 3	 1	 1	912 	1	 
1	 3	 1	 1	793 	1	 
1	 3	 1	 1	723 	1	 
1	 1	 1	 2	781 	1	 
1	 1	 1	 2	935 	0	 
1	 1	 1	 2	609 	1	 
1	 1	 1	 2	739 	1	 
1	 2	 0	 2	941 	0	 
1	 3	 0	 1	1019 	1	 
1	 1	 0	 2	833 	1	 
1	 2	 1	 2	1123 	0	 
1	 3	 1	 2	737 	1	 
1	 2	 1	 2	954 	0	 
1	 3	 1	 1	948 	0	 
1	 3	 1	 1	834 	1	 
1	 3	 1	 2	651 	1	 
1	 2	 1	 1	1049 	1	 
1	 3	 0	 1	1127 	1	 
1	 1	 0	 2	1281 	1	 
1	 1	 1	 1	1051 	0	 
1	 1	 1	 1	684 	1	 
1	 1	 1	 2	838 	1	 
1	 3	 1	 2	796 	1	 
1	 2	 1	 2	757 	1	 
1	 1	 1	 2	920 	0	 
1	 3	 0	 2	746 	1	 
1	 3	 1	 1	847 	1	 
1	 3	 0	 1	557 	1	 
1	 3	 0	 2	656 	1	 
1	 3	 1	 2	741 	0	 
1	 1	 1	 1	880 	0	 
1	 3	 0	 1	1201 	1	 
1	 2	 1	 1	823 	1	 
1	 1	 1	 1	893 	0	 
1	 2	 0	 2	1135 	1	 
1	 1	 1	 1	1261 	1	 
1	 2	 1	 2	1095 	1	 
1	 2	 1	 1	848 	1	 
1	 1	 1	 2	1174 	1	 
1	 3	 0	 2	873 	1	 
1	 2	 1	 1	898 	1	 
1	 2	 1	 2	852 	1	 
1	 1	 0	 1	1234 	1	 
1	 2	 0	 2	776 	1	 
1	 2	 0	 1	922 	1	 
1	 2	 1	 1	876 	0	 
1	 2	 1	 2	734 	1	 
1	 2	 0	 1	735 	1	 
1	 1	 1	 1	821 	0	 
1	 2	 0	 1	623 	1	 
1	 2	 1	 2	869 	1	 
1	 1	 1	 2	1239 	1	 
1	 3	 0	 2	1125 	1	 
1	 2	 1	 1	763 	1	 
