Block	Pair_type	Feedback_type	Side	RT	ACC
1	 1	 1	 1	133 	0	 
1	 3	 1	 2	1215 	0	 
1	 2	 1	 1	1008 	0	 
1	 3	 0	 1	783 	1	 
1	 3	 0	 2	797 	1	 
1	 1	 1	 1	1155 	1	 
1	 2	 0	 1	1373 	0	 
1	 3	 1	 2	1068 	0	 
1	 2	 0	 1	1361 	1	 
1	 3	 1	 1	1095 	1	 
1	 1	 1	 1	993 	1	 
1	 3	 1	 1	747 	1	 
1	 1	 1	 1	1016 	1	 
1	 2	 0	 2	690 	0	 
1	 2	 1	 2	656 	0	 
1	 2	 0	 1	1262 	1	 
1	 1	 1	 1	1099 	1	 
1	 2	 1	 1	973 	0	 
1	 2	 0	 2	891 	0	 
1	 3	 0	 2	1277 	1	 
1	 3	 1	 1	935 	0	 
1	 2	 1	 2	685 	0	 
1	 1	 0	 2	1294 	1	 
1	 1	 1	 1	680 	1	 
1	 1	 1	 2	1578 	1	 
1	 2	 0	 2	740 	0	 
1	 2	 1	 1	722 	0	 
1	 3	 1	 1	816 	1	 
1	 2	 1	 2	938 	0	 
1	 3	 0	 1	907 	1	 
1	 2	 1	 1	814 	0	 
1	 3	 0	 1	776 	1	 
1	 2	 1	 2	794 	1	 
1	 1	 0	 1	963 	1	 
1	 3	 0	 1	449 	1	 
1	 1	 1	 1	647 	1	 
1	 1	 1	 2	985 	1	 
1	 3	 1	 2	1078 	0	 
1	 3	 1	 1	740 	0	 
1	 1	 1	 2	1202 	1	 
1	 3	 1	 1	928 	1	 
1	 3	 0	 2	1165 	0	 
1	 2	 1	 1	1131 	1	 
1	 3	 1	 2	941 	1	 
1	 1	 1	 2	795 	1	 
1	 3	 1	 2	937 	1	 
1	 1	 0	 2	883 	1	 
1	 2	 1	 2	993 	1	 
1	 3	 0	 2	966 	0	 
1	 1	 1	 2	692 	1	 
1	 1	 0	 1	734 	1	 
1	 1	 1	 2	876 	1	 
1	 2	 1	 1	718 	1	 
1	 1	 1	 2	960 	1	 
1	 2	 1	 2	778 	1	 
1	 3	 1	 2	1195 	0	 
1	 2	 1	 2	997 	0	 
1	 2	 1	 1	631 	1	 
1	 1	 1	 1	1049 	1	 
1	 1	 1	 2	854 	1	 
2	 3	 0	 2	1300 	0	 
2	 2	 0	 2	818 	1	 
2	 2	 1	 2	920 	1	 
2	 3	 1	 1	1393 	0	 
2	 3	 1	 2	923 	0	 
2	 3	 1	 1	613 	1	 
2	 1	 0	 1	815 	1	 
2	 3	 1	 1	757 	1	 
2	 1	 1	 2	911 	1	 
2	 1	 1	 1	608 	1	 
2	 1	 1	 2	783 	1	 
2	 2	 1	 2	969 	1	 
2	 3	 0	 2	1010 	0	 
2	 1	 1	 2	692 	1	 
2	 3	 0	 1	794 	1	 
2	 2	 0	 2	952 	1	 
2	 2	 1	 2	634 	1	 
2	 3	 0	 2	912 	0	 
2	 3	 1	 2	889 	0	 
2	 2	 1	 1	847 	1	 
2	 3	 1	 2	593 	1	 
2	 1	 1	 1	982 	1	 
2	 1	 0	 2	1300 	1	 
2	 3	 1	 2	914 	0	 
2	 3	 0	 1	660 	1	 
2	 1	 1	 2	698 	1	 
2	 3	 0	 1	1039 	0	 
2	 1	 1	 2	757 	1	 
2	 1	 1	 2	503 	1	 
2	 1	 1	 1	857 	1	 
2	 3	 0	 1	1027 	1	 
2	 1	 0	 2	1129 	1	 
2	 3	 1	 1	983 	0	 
2	 2	 0	 1	1113 	1	 
2	 3	 1	 1	1182 	1	 
2	 2	 0	 1	796 	1	 
2	 1	 1	 1	754 	1	 
2	 2	 1	 2	752 	1	 
2	 2	 1	 2	657 	1	 
2	 2	 1	 1	755 	1	 
2	 1	 0	 1	1573 	0	 
2	 1	 1	 1	571 	0	 
2	 1	 1	 2	816 	1	 
2	 3	 0	 2	938 	1	 
2	 1	 1	 1	852 	0	 
2	 1	 1	 1	710 	1	 
2	 2	 1	 1	895 	0	 
