Side	RT	ACC	Type
1	1350 	1	10	 
1	1357 	1	5	 
1	1508 	1	10	 
0	0 	missed	7	 
0	811 	1	7	 
0	1104 	0	11	 
0	921 	1	2	 
1	1225 	1	12	 
0	989 	1	14	 
1	963 	1	1	 
1	1073 	1	7	 
0	1516 	1	6	 
0	1156 	1	12	 
0	859 	1	5	 
1	974 	1	13	 
0	1332 	1	9	 
1	1076 	1	7	 
1	958 	1	1	 
1	885 	1	7	 
1	999 	1	8	 
1	1044 	1	6	 
0	631 	1	1	 
0	1099 	1	10	 
0	1068 	1	13	 
0	982 	1	4	 
1	972 	1	6	 
0	611 	1	3	 
1	991 	1	7	 
1	973 	1	10	 
1	875 	1	4	 
0	725 	1	10	 
1	1005 	1	13	 
1	1042 	1	12	 
1	1454 	1	15	 
1	953 	1	15	 
1	968 	1	4	 
1	927 	1	13	 
1	1047 	1	5	 
1	786 	1	5	 
1	920 	1	15	 
1	1160 	1	10	 
1	1262 	1	12	 
1	1177 	1	14	 
0	1087 	1	13	 
1	1569 	1	14	 
1	871 	1	9	 
0	706 	1	4	 
1	835 	1	3	 
0	1006 	1	13	 
0	884 	1	3	 
1	893 	1	15	 
0	774 	1	4	 
1	1205 	1	2	 
1	666 	1	4	 
0	788 	1	5	 
1	1026 	1	7	 
0	950 	1	12	 
1	853 	1	8	 
0	664 	1	6	 
0	1042 	1	13	 
1	998 	1	5	 
1	987 	0	11	 
0	1129 	1	14	 
1	1137 	1	9	 
1	1089 	1	1	 
0	714 	1	2	 
0	1299 	1	8	 
1	1244 	1	11	 
0	855 	1	8	 
0	978 	1	6	 
1	808 	1	1	 
1	1181 	1	10	 
0	1011 	1	11	 
0	839 	1	8	 
0	939 	1	10	 
0	1019 	1	7	 
0	727 	1	1	 
1	831 	1	15	 
0	723 	1	8	 
1	963 	1	14	 
0	529 	1	4	 
1	953 	1	12	 
1	976 	1	11	 
0	582 	1	2	 
0	748 	1	8	 
1	787 	1	2	 
1	912 	1	11	 
0	1089 	1	14	 
0	707 	1	7	 
0	868 	1	15	 
0	598 	1	3	 
0	827 	1	7	 
0	1103 	1	15	 
0	816 	1	2	 
1	756 	1	2	 
1	603 	1	2	 
0	880 	1	12	 
0	978 	1	10	 
0	520 	1	5	 
1	848 	1	3	 
1	907 	1	15	 
1	812 	0	11	 
0	617 	1	3	 
0	909 	1	7	 
0	1413 	1	12	 
0	858 	1	13	 
0	621 	1	4	 
1	937 	1	12	 
1	849 	0	9	 
0	964 	1	6	 
1	939 	1	8	 
0	1346 	1	11	 
1	978 	1	8	 
0	895 	1	13	 
1	953 	1	6	 
0	856 	1	6	 
0	867 	1	15	 
1	917 	1	3	 
0	838 	1	9	 
1	937 	1	13	 
1	1217 	1	9	 
1	838 	1	1	 
0	465 	1	5	 
0	492 	1	5	 
0	877 	1	8	 
1	991 	1	6	 
1	1181 	1	12	 
0	899 	1	9	 
0	908 	1	9	 
1	941 	1	11	 
1	980 	1	13	 
1	946 	1	2	 
0	961 	1	15	 
1	832 	1	6	 
1	772 	1	3	 
0	1146 	0	9	 
1	897 	1	3	 
0	714 	1	6	 
0	874 	1	15	 
0	549 	1	3	 
1	852 	1	6	 
0	927 	0	11	 
1	1111 	1	10	 
1	775 	1	4	 
0	566 	1	1	 
0	564 	1	1	 
0	1354 	1	14	 
0	1097 	1	14	 
0	635 	1	2	 
0	510 	1	5	 
0	743 	1	9	 
0	1238 	1	11	 
0	913 	1	1	 
1	882 	1	3	 
1	948 	1	2	 
1	1019 	1	9	 
1	975 	1	14	 
1	814 	1	5	 
1	578 	1	1	 
1	1048 	1	7	 
0	1179 	1	10	 
1	1105 	1	14	 
0	602 	1	4	 
1	1055 	1	14	 
1	954 	1	9	 
0	593 	1	1	 
0	894 	1	14	 
1	1143 	1	4	 
0	550 	1	2	 
1	517 	1	5	 
1	606 	1	4	 
1	1130 	1	8	 
0	1338 	1	15	 
0	1090 	1	12	 
0	980 	1	12	 
1	1178 	1	13	 
0	768 	1	3	 
0	518 	1	10	 
1	790 	1	8	 
0	932 	1	11	 
