Side	RT	ACC	Type
0	920 	0	13	 
0	1042 	0	9	 
0	1023 	1	7	 
1	1173 	1	4	 
0	909 	1	5	 
1	1159 	0	15	 
0	1031 	0	9	 
0	964 	0	9	 
1	1124 	0	9	 
0	958 	0	7	 
0	558 	0	7	 
0	959 	1	2	 
1	1295 	0	6	 
0	1154 	1	11	 
0	922 	1	4	 
0	636 	1	4	 
0	1065 	0	8	 
0	693 	1	3	 
0	776 	0	9	 
0	879 	1	14	 
1	1442 	0	9	 
1	879 	0	8	 
1	618 	0	8	 
1	1320 	1	6	 
1	698 	0	7	 
1	692 	1	11	 
1	567 	1	6	 
0	822 	1	12	 
1	468 	1	10	 
0	1072 	1	14	 
0	676 	1	10	 
1	999 	0	7	 
1	646 	1	10	 
0	530 	1	5	 
1	451 	1	11	 
1	480 	1	12	 
0	467 	0	2	 
0	518 	0	8	 
1	576 	1	3	 
1	543 	1	12	 
1	695 	1	10	 
0	578 	1	1	 
0	913 	1	14	 
0	1107 	0	15	 
1	1005 	1	13	 
1	676 	0	2	 
0	575 	1	11	 
0	799 	1	3	 
0	1293 	0	15	 
1	896 	0	15	 
1	603 	1	3	 
0	761 	0	14	 
1	665 	1	4	 
1	692 	1	3	 
0	903 	0	9	 
0	778 	1	1	 
0	1041 	1	14	 
0	470 	1	3	 
1	754 	1	12	 
0	602 	0	13	 
1	1089 	0	7	 
1	1084 	0	9	 
0	895 	0	7	 
0	658 	1	2	 
1	1086 	1	10	 
1	1065 	1	13	 
0	1101 	1	13	 
1	920 	0	9	 
1	681 	1	2	 
1	1044 	0	9	 
0	489 	1	3	 
1	804 	1	5	 
0	538 	1	6	 
0	587 	1	5	 
1	554 	1	6	 
0	539 	1	3	 
0	836 	0	8	 
0	529 	1	6	 
1	882 	0	15	 
1	525 	1	2	 
1	623 	0	2	 
1	1236 	1	14	 
1	834 	1	11	 
0	767 	1	6	 
1	671 	1	13	 
0	834 	1	5	 
1	591 	0	13	 
1	1046 	1	13	 
1	883 	0	7	 
0	822 	1	6	 
0	996 	1	6	 
1	666 	1	4	 
0	766 	1	1	 
0	870 	1	13	 
0	962 	1	8	 
1	761 	1	3	 
0	745 	1	5	 
1	954 	1	14	 
0	914 	1	2	 
1	1164 	0	15	 
1	1068 	1	14	 
0	824 	1	7	 
1	581 	1	4	 
0	741 	1	12	 
1	838 	1	11	 
0	483 	1	10	 
1	886 	0	15	 
1	673 	1	6	 
0	740 	1	10	 
0	550 	1	12	 
1	470 	0	2	 
1	810 	1	4	 
0	791 	1	2	 
0	1414 	1	11	 
1	1300 	0	7	 
0	1287 	0	8	 
1	754 	1	5	 
0	611 	1	11	 
1	536 	1	12	 
1	833 	1	3	 
1	511 	0	2	 
1	896 	0	8	 
1	995 	1	14	 
1	721 	1	3	 
1	579 	1	6	 
1	666 	1	11	 
1	870 	0	15	 
0	570 	1	12	 
0	697 	1	3	 
1	820 	1	1	 
1	785 	1	1	 
0	1072 	1	15	 
1	596 	1	12	 
1	683 	1	5	 
0	1078 	1	15	 
1	929 	1	1	 
1	994 	0	9	 
0	1049 	1	11	 
1	741 	1	10	 
0	886 	1	14	 
1	841 	1	5	 
0	647 	1	10	 
0	531 	1	1	 
0	836 	1	15	 
0	1001 	1	10	 
0	712 	0	15	 
0	945 	0	9	 
0	666 	1	12	 
1	541 	1	5	 
1	743 	1	5	 
0	703 	1	6	 
0	1025 	0	7	 
1	1055 	1	14	 
1	620 	1	12	 
1	737 	1	7	 
1	642 	1	1	 
1	599 	1	4	 
0	781 	1	4	 
1	676 	1	11	 
0	471 	1	12	 
0	491 	1	4	 
0	422 	1	1	 
0	436 	1	5	 
0	417 	1	4	 
1	958 	0	8	 
0	702 	1	4	 
1	681 	0	8	 
1	596 	0	8	 
1	866 	1	10	 
0	1078 	0	13	 
0	985 	1	10	 
1	536 	0	13	 
0	1497 	0	13	 
1	1036 	0	1	 
1	1233 	1	14	 
0	670 	1	1	 
0	1506 	0	8	 
1	533 	0	1	 
0	606 	1	11	 
0	516 	0	2	 
