Side	RT	ACC	Type
1	915 	0	5	 
0	618 	1	1	 
0	822 	1	5	 
0	554 	1	4	 
0	600 	1	4	 
1	556 	1	5	 
1	658 	1	2	 
1	709 	1	6	 
0	741 	1	3	 
1	596 	1	12	 
1	728 	1	15	 
0	695 	1	6	 
0	639 	1	8	 
0	802 	1	10	 
1	807 	1	15	 
1	691 	1	7	 
1	580 	1	3	 
1	625 	1	1	 
1	660 	1	14	 
1	574 	1	4	 
0	668 	1	7	 
0	861 	1	10	 
1	551 	1	1	 
0	605 	1	11	 
1	529 	0	13	 
0	800 	0	15	 
1	661 	1	2	 
0	518 	1	4	 
1	510 	1	1	 
1	645 	1	7	 
0	736 	1	8	 
0	623 	1	13	 
0	474 	1	15	 
0	660 	1	6	 
0	573 	1	1	 
1	811 	1	7	 
0	879 	1	5	 
1	456 	0	12	 
1	602 	1	4	 
1	486 	1	5	 
0	599 	1	13	 
0	627 	1	12	 
0	726 	1	7	 
0	549 	1	6	 
0	771 	1	14	 
0	641 	1	5	 
0	580 	1	14	 
0	241 	1	11	 
1	604 	1	1	 
1	592 	1	5	 
0	501 	1	10	 
0	549 	1	14	 
1	635 	1	9	 
1	558 	1	7	 
0	693 	0	10	 
1	581 	1	7	 
1	514 	0	6	 
0	529 	1	10	 
0	616 	1	7	 
1	876 	1	9	 
0	829 	1	2	 
0	792 	0	11	 
0	717 	1	8	 
1	661 	1	10	 
1	710 	1	3	 
1	622 	1	1	 
0	641 	1	4	 
0	772 	1	11	 
1	882 	1	11	 
0	1083 	0	15	 
1	956 	1	3	 
0	731 	1	7	 
1	618 	1	10	 
1	621 	1	4	 
1	713 	1	2	 
1	1096 	1	12	 
1	969 	1	14	 
0	766 	1	13	 
0	596 	1	1	 
0	576 	1	2	 
1	893 	0	8	 
0	718 	1	4	 
0	549 	0	2	 
0	588 	1	15	 
1	561 	0	15	 
0	622 	1	11	 
0	642 	1	2	 
0	565 	1	13	 
0	578 	1	5	 
1	671 	1	14	 
0	457 	0	9	 
0	699 	0	12	 
1	539 	1	2	 
0	1202 	1	14	 
1	839 	0	11	 
1	770 	1	7	 
1	871 	1	6	 
0	633 	1	1	 
1	612 	1	10	 
0	744 	1	15	 
1	710 	0	11	 
0	557 	1	9	 
1	652 	1	13	 
0	438 	1	6	 
1	513 	1	8	 
0	808 	1	12	 
1	565 	1	2	 
0	1002 	0	12	 
0	567 	1	2	 
0	588 	1	9	 
1	825 	0	15	 
0	549 	1	3	 
0	619 	1	14	 
0	647 	1	10	 
1	809 	1	10	 
1	709 	0	15	 
0	557 	1	1	 
1	667 	1	13	 
0	653 	1	6	 
0	791 	0	14	 
0	596 	1	6	 
1	760 	1	9	 
0	590 	1	12	 
1	627 	1	14	 
1	630 	1	12	 
1	697 	0	12	 
0	617 	1	3	 
1	597 	1	9	 
0	489 	1	3	 
1	530 	0	8	 
0	521 	1	2	 
0	496 	0	12	 
1	528 	1	9	 
0	479 	0	8	 
0	680 	1	13	 
0	625 	1	5	 
1	573 	1	11	 
1	634 	1	8	 
1	917 	1	8	 
1	741 	1	13	 
1	812 	1	10	 
1	688 	1	3	 
1	665 	1	4	 
1	546 	1	3	 
0	681 	1	9	 
0	874 	1	8	 
0	1107 	1	15	 
1	684 	1	13	 
1	605 	1	13	 
1	977 	1	14	 
0	750 	1	9	 
1	868 	1	15	 
0	598 	1	4	 
1	402 	1	4	 
1	734 	1	1	 
1	805 	0	9	 
0	618 	1	5	 
1	485 	1	5	 
0	382 	1	3	 
0	427 	1	3	 
1	702 	1	6	 
1	606 	1	14	 
1	898 	1	10	 
1	739 	1	4	 
1	674 	1	8	 
1	563 	1	6	 
0	505 	1	1	 
1	561 	1	3	 
0	1071 	1	7	 
0	465 	1	7	 
1	634 	1	5	 
0	661 	1	9	 
1	663 	1	6	 
0	576 	1	11	 
1	837 	0	12	 
1	520 	1	2	 
1	712 	0	11	 
0	575 	0	8	 
1	733 	1	11	 
0	860 	1	13	 
