Side	RT	ACC	Type
0	1080 	1	9	 
0	736 	1	6	 
0	750 	1	5	 
1	684 	1	12	 
1	1068 	1	9	 
1	694 	1	10	 
0	877 	1	8	 
0	830 	0	11	 
1	1200 	1	3	 
0	1012 	1	13	 
0	1015 	1	12	 
1	794 	1	1	 
1	934 	1	1	 
0	1044 	1	13	 
0	1062 	1	15	 
0	983 	1	11	 
1	668 	1	10	 
0	805 	1	15	 
1	977 	1	12	 
1	885 	1	3	 
1	861 	1	13	 
0	823 	1	10	 
1	874 	0	2	 
1	1107 	0	7	 
1	1178 	0	7	 
1	767 	1	4	 
0	1348 	1	14	 
0	1138 	1	8	 
0	1056 	1	4	 
0	746 	1	10	 
1	664 	1	12	 
1	801 	1	3	 
0	797 	0	11	 
1	680 	1	1	 
1	833 	1	15	 
1	691 	1	10	 
1	836 	1	5	 
1	542 	1	5	 
0	748 	1	6	 
0	649 	1	3	 
1	0 	missed	9	 
0	1543 	1	14	 
1	757 	1	2	 
1	587 	1	6	 
0	823 	1	1	 
1	1106 	1	15	 
1	1090 	0	4	 
0	946 	1	12	 
1	680 	1	8	 
1	1249 	1	9	 
0	938 	1	4	 
0	809 	1	1	 
1	636 	1	5	 
0	550 	1	3	 
0	780 	1	6	 
1	1104 	0	14	 
1	1072 	1	15	 
0	641 	0	4	 
0	932 	1	14	 
1	962 	1	3	 
1	999 	1	3	 
0	723 	1	5	 
1	946 	1	11	 
1	736 	1	15	 
1	1022 	0	9	 
1	777 	1	15	 
1	854 	0	7	 
0	871 	0	3	 
1	616 	1	15	 
0	763 	1	10	 
0	609 	1	11	 
1	1276 	0	8	 
1	573 	1	12	 
1	786 	1	13	 
0	958 	1	4	 
0	659 	1	10	 
0	804 	0	11	 
0	848 	1	15	 
0	602 	1	10	 
1	1149 	0	9	 
0	619 	1	15	 
1	982 	1	6	 
0	459 	1	1	 
1	620 	1	5	 
0	423 	1	5	 
0	778 	0	9	 
0	767 	0	7	 
1	1140 	1	10	 
1	674 	1	11	 
1	955 	1	8	 
1	969 	1	2	 
0	982 	1	1	 
0	1058 	1	13	 
1	828 	1	3	 
1	719 	1	11	 
1	1086 	0	7	 
0	1294 	1	9	 
1	742 	1	1	 
0	1541 	0	9	 
0	1091 	0	14	 
0	804 	1	3	 
1	479 	1	12	 
0	1040 	0	14	 
0	922 	1	8	 
1	1073 	0	9	 
1	858 	1	10	 
0	564 	0	2	 
1	1145 	1	7	 
0	615 	1	1	 
0	1042 	0	11	 
0	1236 	0	7	 
0	1062 	1	13	 
1	935 	1	8	 
1	862 	1	1	 
0	711 	0	2	 
0	614 	0	2	 
0	449 	0	2	 
1	675 	0	2	 
0	1052 	1	7	 
0	853 	1	8	 
0	943 	1	15	 
1	877 	1	13	 
0	645 	1	6	 
1	663 	1	6	 
1	816 	0	2	 
0	867 	1	1	 
1	716 	1	11	 
1	923 	0	14	 
0	738 	1	3	 
1	873 	0	14	 
0	994 	1	5	 
1	830 	1	5	 
0	1264 	1	9	 
1	761 	1	10	 
0	454 	1	10	 
1	440 	1	12	 
0	930 	1	7	 
0	825 	1	5	 
1	916 	0	2	 
1	1307 	1	13	 
1	523 	1	13	 
1	826 	0	4	 
1	1125 	0	14	 
1	731 	0	4	 
0	721 	1	6	 
0	1073 	1	12	 
1	1026 	0	14	 
1	996 	1	8	 
0	864 	1	2	 
1	857 	1	1	 
0	539 	1	6	 
0	969 	1	13	 
0	630 	0	2	 
1	1153 	1	7	 
0	846 	1	15	 
0	1184 	1	7	 
1	853 	0	14	 
0	1238 	0	9	 
0	713 	1	8	 
0	856 	1	5	 
0	778 	1	12	 
1	918 	1	13	 
1	805 	1	6	 
0	737 	1	4	 
1	631 	1	8	 
1	858 	1	5	 
1	1003 	0	4	 
1	991 	1	6	 
0	724 	1	13	 
0	931 	1	12	 
0	777 	1	8	 
0	1149 	1	7	 
1	955 	0	4	 
0	1561 	0	14	 
1	702 	1	11	 
1	974 	1	6	 
1	579 	1	11	 
0	704 	1	12	 
0	975 	1	4	 
0	476 	1	3	 
