Side	RT	ACC	Type
0	1268 	1	1	 
1	1227 	1	10	 
0	1067 	1	15	 
0	937 	1	12	 
0	1421 	0	9	 
1	1205 	1	5	 
0	1294 	1	4	 
0	1004 	1	8	 
0	1037 	1	10	 
0	1516 	1	8	 
1	1193 	1	13	 
0	642 	1	6	 
0	850 	1	10	 
0	1249 	0	15	 
0	1064 	1	1	 
0	558 	0	2	 
0	593 	1	6	 
0	906 	1	4	 
0	1031 	1	4	 
1	623 	1	2	 
1	1167 	0	9	 
1	930 	1	3	 
1	1101 	1	12	 
0	1187 	1	14	 
0	940 	1	3	 
1	816 	1	10	 
0	1241 	1	12	 
0	880 	1	8	 
1	1166 	1	15	 
0	793 	1	12	 
0	938 	1	13	 
0	1117 	1	5	 
1	754 	1	1	 
1	837 	1	11	 
1	981 	1	11	 
0	1278 	1	11	 
0	916 	1	13	 
1	728 	1	5	 
0	1092 	1	5	 
1	874 	1	12	 
1	712 	1	11	 
0	1165 	1	5	 
1	1023 	1	3	 
0	703 	0	2	 
0	1052 	1	15	 
0	1132 	1	14	 
0	1103 	1	15	 
0	540 	1	6	 
1	1080 	1	15	 
1	1110 	1	5	 
0	874 	1	8	 
1	689 	1	13	 
1	1054 	1	5	 
1	637 	1	14	 
0	765 	1	6	 
1	671 	1	8	 
1	862 	1	4	 
1	1140 	1	12	 
0	928 	1	14	 
0	652 	1	1	 
1	587 	1	8	 
1	748 	1	10	 
1	535 	1	7	 
0	971 	1	10	 
0	1309 	1	7	 
0	922 	1	5	 
1	1086 	1	15	 
1	668 	1	9	 
1	762 	1	8	 
1	917 	1	4	 
0	1073 	1	8	 
0	919 	1	3	 
1	884 	1	14	 
1	738 	1	13	 
0	965 	1	11	 
0	776 	1	10	 
0	1210 	1	7	 
1	858 	1	13	 
1	985 	1	3	 
0	819 	1	12	 
0	859 	1	9	 
0	778 	1	13	 
1	772 	1	10	 
0	630 	1	3	 
0	1062 	1	6	 
1	780 	1	6	 
1	1134 	1	7	 
1	1089 	1	4	 
1	935 	1	9	 
1	771 	0	2	 
0	1061 	1	7	 
1	1068 	1	13	 
1	1242 	1	15	 
0	1370 	0	2	 
1	861 	0	2	 
0	835 	1	10	 
0	787 	0	2	 
1	1292 	1	7	 
0	666 	1	10	 
1	928 	1	7	 
1	820 	1	8	 
0	828 	1	5	 
0	1020 	1	13	 
0	972 	1	14	 
0	774 	1	1	 
1	1161 	1	11	 
0	763 	1	3	 
1	1134 	1	12	 
1	1049 	1	9	 
1	1136 	1	1	 
1	876 	1	6	 
1	0 	missed	8	 
0	843 	1	11	 
1	1090 	0	4	 
1	776 	1	9	 
1	698 	1	12	 
1	695 	1	8	 
0	724 	0	2	 
1	624 	0	2	 
0	1000 	1	9	 
0	873 	1	4	 
0	1080 	1	15	 
0	806 	1	13	 
0	807 	0	2	 
0	1008 	1	14	 
1	841 	1	12	 
1	1193 	1	5	 
1	594 	1	14	 
1	955 	1	5	 
1	694 	1	6	 
1	859 	1	11	 
1	1066 	1	7	 
1	888 	1	3	 
1	798 	1	3	 
0	871 	1	5	 
0	869 	1	11	 
0	1236 	1	7	 
1	907 	1	1	 
1	633 	1	14	 
0	904 	1	9	 
1	685 	1	6	 
1	779 	0	2	 
1	1021 	1	1	 
0	933 	1	1	 
0	793 	1	14	 
1	970 	1	15	 
1	716 	1	1	 
1	680 	1	10	 
1	1166 	1	7	 
0	921 	1	11	 
0	781 	1	1	 
0	1159 	1	13	 
0	866 	1	9	 
1	616 	0	2	 
1	832 	1	11	 
0	648 	1	6	 
1	783 	1	6	 
1	1225 	1	14	 
0	1009 	1	7	 
1	1002 	1	14	 
1	731 	1	10	 
0	1094 	1	4	 
0	812 	1	9	 
0	828 	1	11	 
0	852 	1	8	 
1	803 	1	6	 
1	868 	1	9	 
0	810 	1	3	 
1	874 	1	4	 
0	705 	1	12	 
1	1014 	1	4	 
1	734 	1	1	 
0	658 	1	3	 
0	825 	1	12	 
1	745 	1	3	 
0	644 	1	4	 
1	1179 	0	15	 
0	1037 	1	7	 
0	997 	0	15	 
1	638 	1	13	 
