Side	RT	ACC	Type
0	1313 	0	8	 
0	857 	1	1	 
0	819 	1	10	 
1	710 	1	3	 
0	613 	1	5	 
1	608 	1	5	 
0	963 	0	11	 
1	1024 	1	2	 
0	779 	1	4	 
0	864 	1	6	 
1	737 	1	10	 
0	1239 	1	14	 
1	938 	1	15	 
1	968 	1	2	 
0	773 	1	1	 
1	747 	1	2	 
0	888 	1	8	 
1	609 	1	12	 
0	748 	1	1	 
1	642 	1	2	 
0	580 	1	5	 
1	697 	1	4	 
0	544 	0	11	 
0	486 	1	12	 
1	678 	1	12	 
0	695 	1	13	 
0	678 	1	12	 
1	735 	1	1	 
1	685 	1	13	 
0	606 	1	8	 
0	601 	1	8	 
1	661 	1	9	 
1	494 	1	4	 
0	765 	1	3	 
0	723 	1	15	 
0	514 	1	8	 
1	648 	1	3	 
0	554 	1	2	 
1	496 	1	5	 
0	727 	1	12	 
0	430 	1	3	 
0	552 	1	6	 
1	486 	1	6	 
0	422 	1	10	 
0	409 	1	10	 
0	437 	1	3	 
0	447 	1	12	 
1	416 	1	6	 
0	507 	1	4	 
0	499 	1	15	 
0	723 	1	7	 
0	786 	1	4	 
0	518 	1	2	 
1	749 	1	12	 
1	915 	1	7	 
1	802 	1	3	 
0	806 	1	13	 
1	969 	1	4	 
1	623 	1	6	 
1	577 	0	7	 
0	622 	0	11	 
1	609 	1	12	 
1	636 	1	1	 
1	535 	1	4	 
0	1029 	1	14	 
0	512 	1	3	 
1	831 	0	11	 
1	833 	1	11	 
1	579 	1	10	 
0	672 	1	3	 
0	649 	1	11	 
1	626 	1	1	 
1	877 	1	6	 
1	885 	1	9	 
0	862 	1	14	 
0	903 	1	15	 
1	630 	1	8	 
0	473 	1	15	 
1	802 	1	7	 
1	622 	1	3	 
0	464 	1	2	 
1	617 	1	9	 
1	676 	1	12	 
1	821 	1	7	 
1	976 	1	14	 
1	724 	0	11	 
0	859 	1	8	 
0	572 	1	13	 
0	657 	1	1	 
0	699 	1	6	 
1	827 	1	14	 
0	669 	1	7	 
1	590 	1	1	 
0	827 	1	11	 
1	557 	1	10	 
0	555 	1	10	 
0	440 	1	10	 
1	603 	1	13	 
1	630 	1	8	 
0	704 	1	12	 
0	616 	1	15	 
1	643 	1	5	 
0	549 	1	1	 
0	739 	1	7	 
0	481 	1	3	 
0	577 	1	14	 
1	606 	1	15	 
0	537 	1	15	 
0	560 	1	2	 
1	621 	0	9	 
0	816 	1	9	 
0	595 	1	2	 
0	678 	1	6	 
1	927 	1	13	 
0	861 	1	14	 
0	614 	1	4	 
1	585 	1	15	 
0	525 	1	13	 
0	564 	1	1	 
1	825 	1	9	 
0	589 	1	2	 
1	617 	1	10	 
1	668 	1	4	 
0	589 	0	9	 
1	609 	1	8	 
1	852 	1	15	 
0	694 	1	9	 
1	718 	1	10	 
1	749 	1	2	 
1	610 	1	15	 
1	573 	0	11	 
0	610 	1	4	 
0	701 	1	7	 
0	661 	1	5	 
1	782 	1	13	 
1	867 	1	11	 
0	788 	1	9	 
0	600 	1	6	 
0	732 	1	12	 
1	642 	1	10	 
1	756 	0	8	 
1	946 	1	14	 
0	696 	1	9	 
0	520 	1	7	 
1	902 	1	13	 
1	894 	1	14	 
1	934 	1	7	 
0	684 	1	5	 
1	781 	1	4	 
0	633 	1	10	 
0	748 	1	7	 
1	697 	1	5	 
0	865 	1	4	 
0	810 	1	13	 
1	813 	1	13	 
1	784 	1	9	 
0	693 	0	14	 
1	764 	1	6	 
0	617 	1	5	 
1	804 	1	11	 
1	696 	1	1	 
1	664 	1	5	 
1	513 	1	5	 
1	680 	1	15	 
1	664 	1	8	 
1	761 	1	14	 
1	670 	1	2	 
1	655 	1	7	 
0	721 	1	6	 
1	576 	1	12	 
0	764 	1	9	 
0	761 	1	11	 
1	574 	1	1	 
1	835 	1	14	 
0	598 	1	5	 
1	569 	1	3	 
1	558 	1	3	 
1	692 	1	8	 
1	748 	0	6	 
0	698 	1	13	 
