Side	RT	ACC	Type
0	1052 	1	6	 
1	1039 	1	10	 
1	1347 	1	9	 
0	1330 	1	9	 
1	1498 	1	8	 
0	923 	1	14	 
1	1468 	1	10	 
1	902 	1	2	 
0	719 	1	1	 
0	992 	1	13	 
1	797 	0	7	 
1	1051 	1	2	 
0	1270 	0	11	 
1	680 	1	8	 
0	1154 	1	13	 
1	1169 	0	14	 
0	815 	1	14	 
1	956 	1	2	 
0	1163 	1	8	 
1	977 	1	6	 
0	1247 	1	4	 
1	1042 	1	9	 
0	854 	1	10	 
0	849 	1	8	 
1	876 	1	7	 
1	598 	1	12	 
0	1211 	1	2	 
0	1000 	1	14	 
0	909 	0	7	 
0	854 	1	1	 
1	1289 	1	15	 
1	1275 	1	10	 
1	813 	1	3	 
0	1226 	0	12	 
1	861 	1	15	 
1	848 	1	6	 
1	875 	1	8	 
1	1565 	1	7	 
1	780 	0	11	 
1	898 	1	10	 
0	1411 	1	11	 
0	1151 	1	4	 
0	647 	1	2	 
1	650 	1	5	 
1	589 	1	1	 
1	482 	1	3	 
1	1108 	1	6	 
0	821 	1	15	 
0	1545 	1	12	 
0	913 	1	13	 
0	657 	1	5	 
1	1164 	0	11	 
1	779 	1	5	 
0	1176 	1	9	 
1	1054 	0	11	 
1	721 	1	8	 
1	674 	1	7	 
0	724 	1	1	 
0	908 	1	7	 
0	949 	1	13	 
0	1180 	1	12	 
1	762 	1	9	 
1	1408 	1	14	 
0	1173 	1	4	 
0	1459 	1	14	 
0	742 	1	1	 
1	1509 	1	10	 
0	1078 	0	11	 
0	984 	1	9	 
1	990 	0	11	 
0	1571 	1	10	 
0	658 	1	1	 
0	1021 	1	9	 
0	1137 	0	12	 
0	793 	1	5	 
0	654 	1	9	 
0	729 	0	11	 
0	609 	1	13	 
0	622 	1	14	 
0	682 	1	6	 
0	756 	0	11	 
1	995 	1	14	 
1	720 	1	10	 
1	849 	0	2	 
1	1004 	1	8	 
1	569 	1	1	 
1	639 	1	1	 
1	1019 	1	15	 
1	935 	1	6	 
1	1063 	0	12	 
1	1057 	0	7	 
0	1012 	0	10	 
0	793 	1	3	 
0	1238 	0	12	 
1	1018 	1	7	 
1	718 	1	2	 
0	695 	1	4	 
0	1224 	1	7	 
0	1036 	1	6	 
0	688 	1	6	 
1	930 	1	12	 
1	753 	1	15	 
0	800 	1	13	 
0	766 	1	2	 
1	996 	1	9	 
1	1017 	1	4	 
1	957 	1	1	 
0	565 	1	3	 
0	1339 	1	7	 
0	1147 	1	15	 
1	1658 	1	6	 
0	613 	1	2	 
1	810 	1	8	 
0	798 	1	10	 
1	1171 	1	15	 
0	569 	1	3	 
0	1136 	1	12	 
0	560 	1	3	 
0	622 	1	3	 
1	746 	1	5	 
1	905 	1	4	 
0	498 	1	8	 
0	491 	1	4	 
1	845 	1	13	 
1	784 	1	3	 
1	926 	1	5	 
1	669 	1	4	 
1	1064 	1	9	 
0	906 	1	5	 
0	611 	1	4	 
1	0 	missed	12	 
1	637 	1	2	 
1	841 	1	14	 
1	540 	1	12	 
0	580 	1	3	 
0	546 	1	5	 
0	681 	1	8	 
0	770 	1	15	 
1	553 	1	5	 
1	456 	1	4	 
1	651 	1	4	 
0	534 	1	15	 
1	637 	1	13	 
1	585 	1	13	 
0	959 	1	8	 
0	846 	1	6	 
1	641 	1	11	 
0	628 	1	6	 
1	808 	1	6	 
0	725 	1	5	 
1	909 	1	4	 
1	726 	1	3	 
0	1086 	1	14	 
1	767 	1	14	 
0	1326 	1	10	 
1	862 	1	11	 
0	904 	1	10	 
0	1185 	0	7	 
0	903 	1	8	 
1	1008 	1	13	 
1	629 	1	3	 
0	993 	1	9	 
1	1030 	1	15	 
1	794 	1	12	 
0	1159 	1	15	 
1	758 	1	1	 
0	837 	1	5	 
0	625 	1	2	 
0	1261 	1	11	 
1	680 	1	14	 
1	753 	1	3	 
1	720 	1	13	 
0	521 	1	2	 
1	657 	1	9	 
1	556 	1	13	 
0	995 	1	15	 
0	1032 	1	1	 
0	1164 	1	7	 
1	938 	1	1	 
1	906 	1	5	 
