Side	RT	ACC	Type
0	1238 	0	11	 
0	1168 	1	2	 
1	1421 	1	4	 
1	1073 	1	1	 
1	1082 	1	2	 
0	1202 	1	5	 
0	1246 	1	3	 
1	1200 	1	5	 
0	1155 	1	8	 
0	1137 	1	6	 
1	1272 	1	2	 
0	793 	1	15	 
0	1260 	1	7	 
1	1614 	1	2	 
1	1305 	0	14	 
0	849 	1	7	 
0	1002 	1	1	 
1	1214 	0	7	 
1	889 	1	5	 
1	1081 	1	2	 
1	1042 	1	4	 
1	932 	1	5	 
1	922 	1	6	 
0	1177 	1	7	 
0	1078 	1	3	 
0	1094 	1	2	 
0	846 	1	7	 
1	799 	0	14	 
1	723 	1	1	 
0	682 	1	15	 
0	802 	1	3	 
1	1278 	0	11	 
0	1030 	1	4	 
0	1137 	1	10	 
0	1159 	1	13	 
0	940 	1	15	 
1	1051 	0	9	 
0	933 	0	9	 
0	859 	0	9	 
0	1245 	1	6	 
0	862 	1	12	 
0	967 	1	6	 
1	1100 	1	6	 
1	1212 	1	3	 
0	831 	0	14	 
0	1058 	1	13	 
1	915 	1	7	 
1	1035 	1	1	 
0	925 	1	10	 
1	852 	1	8	 
0	1038 	1	15	 
0	872 	1	8	 
1	833 	1	12	 
1	683 	1	8	 
1	636 	1	1	 
0	822 	1	10	 
1	921 	1	1	 
0	856 	1	3	 
1	722 	1	11	 
1	961 	0	9	 
0	1070 	1	2	 
0	943 	1	8	 
1	892 	0	14	 
0	1052 	1	9	 
0	1430 	1	10	 
0	808 	1	3	 
0	948 	0	11	 
0	762 	1	8	 
1	999 	1	10	 
1	947 	1	12	 
1	1048 	0	2	 
1	610 	1	4	 
0	933 	1	13	 
1	819 	1	3	 
0	1134 	0	9	 
1	925 	1	5	 
0	828 	1	5	 
1	1014 	1	4	 
0	649 	1	5	 
0	715 	1	4	 
0	682 	1	4	 
0	1034 	0	14	 
0	1108 	1	13	 
1	892 	0	14	 
1	940 	1	10	 
0	738 	1	5	 
1	937 	1	15	 
1	839 	1	7	 
0	881 	1	3	 
1	658 	1	15	 
0	843 	1	1	 
1	797 	1	8	 
0	1313 	0	9	 
1	912 	1	13	 
1	991 	0	9	 
0	1259 	0	11	 
0	916 	1	6	 
0	819 	1	6	 
1	518 	1	12	 
0	669 	1	1	 
1	566 	1	3	 
0	971 	0	14	 
0	944 	0	11	 
0	854 	1	4	 
0	736 	1	15	 
0	830 	1	1	 
1	1168 	1	7	 
1	477 	0	9	 
1	878 	1	6	 
1	942 	1	13	 
1	820 	1	8	 
1	807 	1	4	 
0	955 	1	13	 
1	1025 	1	3	 
1	612 	1	4	 
1	767 	0	11	 
1	876 	0	14	 
0	868 	1	8	 
1	925 	1	7	 
0	836 	1	2	 
1	838 	1	2	 
0	905 	1	15	 
0	593 	1	5	 
0	684 	1	12	 
1	1012 	1	12	 
1	1415 	1	10	 
1	1115 	1	7	 
1	738 	1	6	 
0	672 	1	12	 
1	953 	1	10	 
1	999 	0	11	 
0	850 	0	14	 
1	644 	1	9	 
1	798 	1	15	 
1	1049 	1	13	 
0	611 	0	14	 
0	886 	1	8	 
0	958 	1	10	 
0	596 	1	2	 
0	1112 	1	10	 
0	663 	1	12	 
1	640 	1	15	 
1	1162 	1	10	 
0	1167 	0	11	 
1	788 	1	13	 
1	849 	0	14	 
0	746 	1	12	 
0	1088 	1	4	 
0	752 	1	2	 
1	582 	1	5	 
1	530 	1	3	 
0	1049 	0	11	 
1	970 	1	11	 
1	735 	1	5	 
0	878 	1	6	 
1	1030 	1	10	 
1	744 	1	1	 
0	822 	1	7	 
0	641 	1	12	 
0	651 	1	1	 
1	829 	0	11	 
1	831 	1	12	 
0	554 	0	9	 
1	871 	1	8	 
0	800 	0	14	 
1	948 	1	13	 
1	898 	1	12	 
1	873 	1	8	 
1	922 	1	6	 
1	665 	1	15	 
1	930 	1	6	 
0	529 	1	4	 
1	783 	1	13	 
1	851 	1	15	 
1	901 	1	3	 
0	813 	1	13	 
0	864 	1	7	 
0	785 	1	1	 
0	605 	1	5	 
1	1337 	0	9	 
