Side	RT	ACC	Type
0	0 	missed	14	 
0	473 	0	5	 
1	464 	0	5	 
1	895 	0	10	 
1	501 	1	12	 
0	626 	1	1	 
0	499 	0	1	 
1	928 	1	6	 
1	508 	0	1	 
0	1474 	0	3	 
1	649 	0	15	 
1	888 	0	15	 
0	470 	0	15	 
0	413 	1	1	 
0	502 	1	8	 
0	772 	0	13	 
0	919 	1	5	 
1	748 	1	4	 
0	696 	1	2	 
0	885 	1	5	 
0	604 	1	7	 
1	493 	0	11	 
0	523 	0	5	 
0	551 	1	10	 
1	451 	1	4	 
0	794 	1	12	 
1	500 	1	4	 
1	569 	0	4	 
0	436 	0	4	 
1	548 	0	1	 
0	336 	0	12	 
0	484 	0	7	 
1	626 	1	8	 
1	507 	1	2	 
0	600 	1	15	 
0	505 	1	9	 
0	319 	0	13	 
0	548 	1	7	 
0	440 	0	6	 
1	359 	1	5	 
0	291 	0	7	 
0	592 	0	11	 
0	419 	0	13	 
0	316 	0	1	 
1	505 	0	3	 
0	574 	0	10	 
1	289 	1	6	 
0	319 	1	8	 
0	428 	1	2	 
1	604 	0	12	 
0	477 	0	13	 
0	443 	1	10	 
1	411 	1	10	 
1	508 	1	8	 
1	538 	1	12	 
0	493 	0	14	 
0	491 	1	14	 
1	273 	0	5	 
0	287 	1	9	 
0	493 	1	10	 
0	499 	1	6	 
0	480 	1	5	 
0	615 	0	15	 
0	528 	0	7	 
1	515 	0	9	 
1	888 	0	3	 
0	966 	0	3	 
1	553 	1	7	 
1	884 	1	11	 
1	555 	0	12	 
1	534 	1	15	 
0	499 	1	12	 
0	544 	0	12	 
0	484 	0	8	 
1	378 	0	7	 
1	444 	1	13	 
1	412 	1	3	 
1	508 	1	6	 
0	497 	0	13	 
0	727 	0	4	 
1	499 	0	3	 
0	681 	1	2	 
0	671 	0	9	 
0	958 	1	9	 
0	682 	1	11	 
0	400 	0	2	 
1	777 	0	1	 
1	404 	1	1	 
0	597 	1	5	 
1	582 	1	1	 
0	857 	1	4	 
0	1632 	1	3	 
1	792 	1	5	 
0	579 	1	11	 
1	549 	0	6	 
1	473 	0	12	 
0	480 	1	8	 
0	406 	0	14	 
1	424 	0	9	 
0	744 	0	8	 
1	556 	1	5	 
0	391 	0	8	 
0	585 	0	3	 
1	315 	0	11	 
1	0 	missed	1	 
1	522 	1	2	 
1	647 	1	9	 
1	854 	1	6	 
1	782 	1	8	 
0	920 	0	4	 
0	870 	1	7	 
1	749 	1	6	 
1	648 	1	8	 
0	1160 	1	1	 
1	1555 	1	7	 
0	1007 	1	9	 
0	1217 	1	6	 
0	1074 	0	11	 
0	1650 	0	11	 
1	1017 	0	13	 
1	754 	1	2	 
1	501 	0	3	 
1	787 	1	4	 
0	524 	1	15	 
0	641 	0	3	 
1	698 	0	11	 
0	872 	1	2	 
1	1063 	0	11	 
0	966 	1	1	 
1	1385 	1	14	 
0	1139 	1	4	 
0	575 	0	10	 
1	730 	0	13	 
1	623 	0	10	 
1	640 	0	13	 
1	1280 	1	9	 
1	815 	1	2	 
1	1032 	1	2	 
1	736 	1	7	 
0	709 	0	10	 
1	1274 	1	9	 
0	1098 	1	6	 
1	1135 	0	11	 
1	1164 	0	14	 
0	783 	1	3	 
1	1266 	1	15	 
1	1009 	0	15	 
0	1234 	1	9	 
1	1034 	0	14	 
1	810 	1	8	 
1	1539 	0	10	 
1	631 	0	13	 
0	1112 	0	14	 
1	548 	0	13	 
0	576 	1	2	 
0	1082 	1	15	 
1	1008 	1	12	 
0	753 	0	6	 
0	1045 	1	12	 
0	1084 	0	12	 
1	819 	0	14	 
1	691 	1	8	 
1	770 	1	15	 
1	996 	0	14	 
1	1022 	1	3	 
0	1134 	0	11	 
0	1155 	1	6	 
1	798 	1	10	 
1	960 	1	5	 
0	1170 	1	13	 
1	917 	0	14	 
1	818 	1	7	 
1	803 	0	9	 
1	852 	0	10	 
0	1140 	1	15	 
1	592 	0	4	 
0	554 	0	4	 
1	1173 	1	2	 
1	616 	1	7	 
0	736 	0	14	 
