Side	RT	ACC	Type
0	1301 	1	3	 
0	1104 	1	8	 
1	1051 	1	5	 
0	1632 	1	10	 
0	990 	1	10	 
0	0 	missed	14	 
0	869 	0	2	 
0	873 	1	13	 
1	1181 	1	13	 
1	1029 	1	12	 
1	1427 	1	8	 
0	1097 	0	14	 
0	0 	missed	7	 
0	755 	1	7	 
0	716 	1	8	 
0	726 	1	11	 
0	896 	0	14	 
0	1411 	1	3	 
1	1009 	1	5	 
1	912 	0	4	 
0	954 	1	6	 
1	947 	1	8	 
1	868 	1	13	 
1	1177 	0	9	 
1	1160 	1	4	 
0	1177 	0	2	 
0	952 	1	15	 
0	1185 	0	9	 
1	1009 	1	6	 
1	832 	1	10	 
0	0 	missed	9	 
0	1140 	0	14	 
0	1062 	1	15	 
0	1195 	0	4	 
0	850 	1	3	 
1	975 	1	10	 
1	655 	0	9	 
1	900 	1	15	 
0	1087 	1	5	 
0	1203 	1	6	 
1	1410 	0	4	 
1	1216 	1	7	 
0	1487 	1	13	 
0	1579 	1	12	 
1	1347 	1	3	 
0	1580 	1	2	 
0	1588 	0	9	 
1	1355 	1	9	 
0	1637 	0	11	 
1	890 	1	1	 
1	1614 	1	2	 
1	1357 	1	13	 
0	1382 	1	12	 
1	1022 	1	1	 
0	1308 	1	10	 
1	1183 	1	10	 
1	1295 	0	14	 
0	1010 	1	15	 
1	1168 	1	3	 
0	1025 	1	13	 
0	719 	1	15	 
1	769 	1	6	 
1	1042 	0	11	 
1	752 	0	9	 
1	760 	1	15	 
0	841 	1	3	 
1	750 	1	1	 
1	1199 	1	3	 
1	646 	1	12	 
0	699 	1	6	 
1	1030 	1	7	 
0	676 	1	7	 
0	1200 	0	11	 
1	1023 	1	7	 
1	749 	1	8	 
0	1430 	1	9	 
0	1036 	1	1	 
0	1034 	0	11	 
1	799 	1	12	 
0	1262 	1	7	 
1	755 	1	10	 
0	956 	0	4	 
0	749 	1	5	 
0	662 	1	8	 
0	1386 	0	4	 
1	730 	1	8	 
1	1355 	1	2	 
1	724 	0	14	 
0	791 	1	5	 
0	1038 	1	1	 
0	1676 	0	9	 
1	1128 	0	14	 
1	0 	missed	4	 
0	825 	1	12	 
1	879 	1	15	 
1	1075 	1	7	 
0	655 	1	7	 
0	772 	1	15	 
1	725 	1	6	 
0	815 	1	8	 
0	621 	1	5	 
1	979 	0	4	 
0	635 	1	5	 
1	697 	1	15	 
1	756 	0	11	 
0	1149 	0	2	 
1	1014 	0	11	 
0	1020 	1	12	 
1	1018 	0	11	 
1	985 	1	1	 
1	0 	missed	9	 
1	768 	1	3	 
0	936 	0	14	 
0	730 	1	7	 
1	843 	0	11	 
1	816 	1	7	 
1	535 	1	5	 
0	784 	1	10	 
1	592 	1	6	 
1	615 	1	7	 
0	789 	0	4	 
1	549 	1	13	 
1	614 	1	12	 
1	556 	0	2	 
1	605 	1	12	 
1	564 	1	13	 
0	572 	1	3	 
1	684 	1	1	 
0	1072 	1	2	 
1	572 	1	12	 
0	0 	missed	5	 
0	732 	1	13	 
0	653 	1	6	 
1	850 	1	3	 
0	719 	1	12	 
1	745 	1	6	 
1	754 	1	10	 
0	691 	1	8	 
0	655 	1	1	 
1	916 	1	3	 
1	702 	1	5	 
1	697 	0	2	 
0	700 	1	13	 
0	727 	0	11	 
0	665 	1	12	 
0	829 	0	4	 
1	554 	1	13	 
0	603 	1	8	 
1	698 	1	8	 
1	1101 	0	14	 
1	944 	1	6	 
0	697 	1	1	 
1	1460 	1	10	 
0	1001 	1	13	 
0	984 	1	10	 
1	656 	0	14	 
1	732 	0	4	 
0	806 	0	14	 
0	933 	0	11	 
0	839 	1	1	 
0	636 	1	1	 
1	778 	1	1	 
1	650 	1	8	 
0	734 	1	6	 
1	528 	1	15	 
0	714 	1	10	 
0	564 	1	3	 
0	500 	1	6	 
1	463 	1	15	 
0	507 	1	4	 
1	454 	1	5	 
1	467 	0	14	 
0	599 	1	9	 
1	478 	1	2	 
0	529 	1	15	 
1	715 	1	2	 
1	773 	0	11	 
1	1134 	0	9	 
0	703 	1	2	 
1	642 	1	5	 
