Side	RT	ACC	Type
0	842 	0	8	 
0	852 	0	12	 
1	1158 	0	14	 
0	740 	1	15	 
0	938 	0	11	 
1	1496 	1	9	 
0	1280 	1	9	 
0	1297 	1	6	 
1	745 	1	8	 
0	951 	1	15	 
1	620 	1	2	 
0	983 	1	13	 
0	1060 	1	5	 
1	885 	1	15	 
1	949 	1	12	 
0	851 	1	13	 
1	677 	0	11	 
0	957 	1	13	 
1	1019 	1	14	 
1	726 	1	14	 
1	821 	0	13	 
0	832 	0	14	 
0	962 	0	10	 
1	1183 	1	10	 
0	1084 	1	12	 
1	780 	1	11	 
1	1329 	1	7	 
0	1223 	1	14	 
1	1210 	1	12	 
1	982 	1	15	 
0	842 	1	10	 
0	820 	1	6	 
0	728 	1	4	 
1	686 	1	10	 
1	742 	1	6	 
1	645 	0	14	 
0	830 	0	11	 
0	561 	1	4	 
0	686 	1	10	 
0	558 	1	5	 
0	1268 	1	10	 
1	909 	1	6	 
0	821 	1	10	 
1	608 	1	12	 
1	603 	1	5	 
0	0 	missed	9	 
0	555 	1	3	 
0	617 	1	3	 
0	948 	1	9	 
0	794 	0	13	 
1	469 	1	4	 
0	542 	1	7	 
1	628 	1	11	 
0	655 	0	12	 
1	969 	1	15	 
0	1382 	1	9	 
0	1338 	1	8	 
0	881 	1	13	 
0	1217 	0	9	 
1	1140 	1	12	 
1	507 	1	3	 
1	1163 	0	7	 
0	1048 	1	7	 
1	513 	1	1	 
0	736 	0	9	 
0	639 	0	11	 
0	753 	1	2	 
1	1183 	1	10	 
1	523 	1	5	 
0	586 	1	1	 
1	455 	1	1	 
1	800 	1	2	 
1	716 	1	15	 
0	507 	1	1	 
0	419 	1	1	 
1	494 	1	11	 
0	517 	1	1	 
1	412 	1	1	 
1	599 	1	5	 
0	611 	0	7	 
0	534 	1	2	 
1	724 	0	6	 
0	643 	1	10	 
0	461 	1	6	 
1	606 	1	10	 
1	442 	1	3	 
1	508 	0	13	 
1	748 	1	8	 
1	577 	1	15	 
0	558 	0	12	 
0	579 	1	6	 
0	600 	1	14	 
1	531 	1	4	 
0	465 	1	3	 
1	650 	1	13	 
1	492 	1	2	 
0	404 	0	15	 
0	672 	1	6	 
1	681 	1	7	 
1	481 	1	3	 
1	570 	1	11	 
1	703 	0	7	 
0	534 	1	11	 
1	1069 	1	8	 
1	758 	1	3	 
1	556 	1	10	 
0	673 	1	15	 
0	554 	1	4	 
0	568 	1	3	 
0	477 	1	1	 
1	1029 	0	7	 
1	504 	1	2	 
0	535 	1	4	 
0	646 	0	8	 
1	463 	1	5	 
0	472 	1	2	 
1	1273 	0	13	 
1	642 	1	9	 
0	1173 	0	12	 
1	658 	1	7	 
1	460 	1	4	 
1	637 	0	12	 
0	503 	1	7	 
0	550 	1	11	 
1	396 	1	1	 
1	400 	1	2	 
0	467 	0	6	 
1	508 	1	10	 
0	459 	1	14	 
0	548 	1	3	 
0	538 	1	2	 
1	488 	0	3	 
0	528 	0	13	 
1	783 	1	14	 
0	459 	1	1	 
0	652 	1	8	 
1	462 	1	4	 
1	367 	1	4	 
0	516 	0	8	 
0	563 	1	14	 
0	560 	0	7	 
1	613 	0	9	 
1	648 	1	9	 
1	457 	0	8	 
1	683 	1	8	 
1	451 	0	6	 
1	669 	1	13	 
1	558 	1	1	 
0	524 	1	4	 
0	531 	1	8	 
1	553 	1	6	 
1	431 	1	5	 
0	409 	1	5	 
0	652 	0	11	 
1	526 	0	12	 
0	588 	1	5	 
1	729 	1	13	 
1	879 	1	11	 
1	968 	0	9	 
1	733 	1	5	 
0	1307 	0	12	 
1	1371 	1	9	 
1	704 	1	2	 
0	1000 	0	7	 
1	1188 	1	15	 
0	728 	1	5	 
1	703 	1	8	 
0	846 	1	2	 
0	648 	1	2	 
1	762 	1	14	 
0	511 	1	5	 
0	638 	1	14	 
0	496 	0	15	 
1	456 	1	3	 
1	953 	1	6	 
0	1023 	1	15	 
1	442 	1	4	 
1	532 	1	1	 
0	499 	1	3	 
0	490 	1	4	 
