Block	Pair_type	Feedback_type	Side	RT	ACC
1	 1	 1	 2	976 	1	 
1	 1	 1	 2	838 	1	 
1	 1	 1	 2	839 	1	 
1	 2	 1	 2	1117 	0	 
1	 3	 1	 1	1059 	1	 
1	 3	 1	 2	806 	1	 
1	 3	 0	 2	724 	1	 
1	 2	 1	 1	1054 	1	 
1	 3	 0	 2	1024 	1	 
1	 1	 1	 2	1182 	1	 
1	 2	 1	 1	824 	1	 
1	 3	 0	 1	803 	1	 
1	 3	 1	 1	688 	0	 
1	 2	 1	 2	1062 	1	 
1	 1	 1	 2	1008 	1	 
1	 1	 1	 2	718 	1	 
1	 2	 1	 1	844 	1	 
1	 1	 1	 2	1230 	1	 
1	 1	 0	 1	1107 	1	 
1	 2	 0	 1	986 	1	 
1	 3	 0	 2	1507 	0	 
1	 1	 1	 1	1014 	1	 
1	 1	 0	 2	736 	1	 
1	 2	 1	 2	805 	1	 
1	 2	 1	 2	951 	0	 
1	 1	 1	 1	1429 	0	 
1	 2	 1	 1	935 	1	 
1	 3	 0	 1	1208 	0	 
1	 1	 1	 1	1551 	1	 
1	 3	 1	 1	1197 	0	 
1	 3	 0	 1	922 	1	 
1	 2	 1	 1	1012 	1	 
1	 2	 0	 2	1166 	0	 
1	 3	 1	 2	0 	missed	 
1	 3	 1	 2	678 	1	 
1	 2	 0	 2	720 	0	 
1	 1	 1	 1	1185 	0	 
1	 2	 0	 1	635 	1	 
1	 3	 1	 1	1617 	0	 
1	 1	 1	 1	951 	1	 
1	 1	 0	 1	664 	1	 
1	 1	 1	 1	1070 	1	 
1	 1	 1	 1	692 	1	 
1	 2	 0	 2	1102 	0	 
1	 1	 1	 2	1423 	1	 
1	 2	 1	 2	1154 	1	 
1	 3	 1	 2	1232 	1	 
1	 2	 1	 1	1061 	0	 
1	 2	 1	 1	1607 	0	 
1	 1	 1	 1	673 	1	 
1	 2	 1	 2	1096 	1	 
1	 3	 1	 2	1090 	1	 
1	 2	 0	 1	1312 	0	 
1	 2	 1	 2	1050 	0	 
1	 3	 1	 2	739 	1	 
1	 3	 0	 1	1277 	1	 
1	 3	 1	 1	1047 	0	 
1	 3	 1	 1	825 	0	 
1	 1	 0	 2	1203 	1	 
1	 3	 0	 2	1449 	0	 
2	 1	 1	 2	1055 	1	 
2	 1	 1	 2	680 	1	 
2	 2	 1	 2	1402 	0	 
2	 3	 1	 2	1404 	1	 
2	 3	 1	 1	1298 	1	 
2	 2	 1	 1	1095 	0	 
2	 2	 1	 1	849 	1	 
2	 3	 0	 2	1119 	1	 
2	 3	 0	 1	1600 	1	 
2	 1	 1	 2	1094 	1	 
2	 1	 0	 1	1528 	1	 
2	 2	 1	 1	1114 	0	 
2	 3	 1	 2	1152 	1	 
2	 1	 0	 2	861 	1	 
2	 3	 1	 2	1607 	1	 
2	 1	 1	 2	733 	1	 
2	 1	 1	 2	639 	1	 
2	 2	 1	 2	1073 	0	 
2	 2	 0	 1	1607 	1	 
2	 2	 0	 1	1086 	0	 
2	 3	 0	 2	1175 	1	 
2	 1	 1	 1	1394 	1	 
2	 1	 1	 2	839 	1	 
2	 2	 0	 2	965 	1	 
2	 2	 1	 2	0 	missed	 
2	 2	 1	 1	974 	1	 
2	 3	 0	 1	932 	0	 
2	 1	 1	 1	746 	1	 
2	 3	 1	 1	995 	1	 
2	 1	 1	 1	525 	1	 
2	 3	 1	 1	575 	1	 
2	 3	 0	 2	722 	1	 
2	 3	 1	 2	728 	1	 
2	 3	 0	 1	829 	1	 
2	 1	 1	 1	839 	1	 
2	 2	 0	 2	873 	1	 
2	 1	 1	 1	847 	1	 
2	 2	 1	 1	797 	1	 
2	 1	 1	 1	935 	1	 
2	 1	 1	 1	568 	1	 
2	 2	 0	 2	1010 	1	 
2	 2	 1	 2	984 	1	 
2	 3	 1	 2	1082 	1	 
2	 2	 1	 1	1104 	1	 
2	 2	 0	 1	849 	1	 
2	 1	 1	 2	651 	1	 
2	 1	 1	 1	897 	1	 
