Block	Pair_type	Feedback_type	Side	RT	ACC
1	 3	 1	 1	1076 	0	 
1	 3	 0	 2	410 	0	 
1	 1	 1	 2	1297 	1	 
1	 3	 1	 2	731 	0	 
1	 2	 1	 2	1273 	0	 
1	 1	 1	 2	943 	1	 
1	 2	 1	 1	1073 	0	 
1	 2	 1	 1	879 	0	 
1	 2	 1	 1	729 	0	 
1	 1	 1	 1	1631 	0	 
1	 2	 1	 2	737 	0	 
1	 1	 1	 2	1194 	0	 
1	 2	 1	 2	708 	1	 
1	 3	 0	 2	1630 	1	 
1	 2	 1	 1	971 	1	 
1	 3	 1	 1	1509 	1	 
1	 1	 0	 2	887 	0	 
1	 1	 1	 1	1053 	0	 
1	 1	 1	 1	787 	1	 
1	 1	 1	 1	1224 	1	 
1	 2	 0	 1	875 	0	 
1	 1	 0	 1	665 	1	 
1	 3	 1	 1	867 	0	 
1	 3	 0	 1	481 	1	 
1	 3	 0	 1	1250 	0	 
1	 3	 1	 2	1060 	0	 
1	 2	 1	 1	702 	0	 
1	 3	 1	 2	792 	0	 
1	 3	 1	 1	1194 	1	 
1	 3	 1	 1	1203 	1	 
1	 2	 0	 2	1217 	1	 
1	 2	 1	 2	603 	0	 
1	 1	 1	 2	0 	missed	 
1	 1	 1	 1	663 	1	 
1	 2	 1	 2	549 	0	 
1	 3	 1	 1	903 	0	 
1	 3	 1	 2	584 	0	 
1	 1	 1	 2	810 	1	 
1	 3	 0	 1	628 	1	 
1	 2	 0	 2	566 	0	 
1	 3	 0	 2	736 	0	 
1	 3	 1	 2	577 	0	 
1	 2	 1	 1	635 	0	 
1	 3	 0	 1	509 	1	 
1	 1	 1	 2	731 	1	 
1	 2	 0	 1	677 	0	 
1	 1	 1	 1	1095 	1	 
1	 1	 0	 2	604 	1	 
1	 1	 1	 2	782 	1	 
1	 1	 1	 2	712 	1	 
1	 3	 1	 2	1230 	0	 
1	 1	 1	 1	1199 	0	 
1	 2	 1	 2	549 	0	 
1	 1	 1	 1	863 	1	 
1	 2	 1	 1	712 	0	 
1	 2	 0	 1	698 	0	 
1	 3	 0	 2	596 	0	 
1	 1	 0	 1	518 	0	 
1	 2	 1	 2	404 	0	 
1	 2	 0	 2	825 	0	 
2	 3	 1	 1	1004 	0	 
2	 1	 0	 1	565 	1	 
2	 3	 1	 1	751 	1	 
2	 2	 1	 1	673 	0	 
2	 3	 0	 1	1067 	1	 
2	 1	 1	 1	813 	1	 
2	 3	 0	 2	807 	1	 
2	 2	 0	 2	509 	0	 
2	 2	 1	 2	515 	0	 
2	 1	 1	 2	613 	1	 
2	 1	 0	 2	618 	1	 
