Block	Pair_type	Feedback_type	Side	RT	ACC
1	 1	 0	 1	935 	1	 
1	 3	 0	 1	849 	1	 
1	 3	 1	 1	963 	1	 
1	 3	 1	 1	725 	1	 
1	 1	 1	 2	988 	1	 
1	 1	 1	 1	1022 	1	 
1	 2	 1	 1	925 	0	 
1	 2	 0	 1	731 	0	 
1	 1	 1	 2	909 	1	 
1	 1	 1	 1	967 	1	 
1	 3	 0	 2	697 	1	 
1	 2	 1	 1	915 	0	 
1	 2	 1	 2	1048 	0	 
1	 3	 1	 1	942 	1	 
1	 2	 0	 2	848 	1	 
1	 3	 0	 1	738 	1	 
1	 2	 1	 1	811 	1	 
1	 2	 1	 1	817 	1	 
1	 3	 0	 2	827 	1	 
1	 2	 0	 1	1564 	1	 
1	 1	 1	 1	918 	1	 
1	 1	 1	 1	796 	1	 
1	 3	 0	 2	790 	1	 
1	 3	 1	 2	568 	1	 
1	 3	 1	 2	458 	1	 
1	 1	 1	 2	572 	1	 
1	 2	 1	 2	766 	1	 
1	 2	 1	 2	768 	1	 
1	 3	 1	 1	777 	1	 
1	 1	 1	 2	931 	1	 
1	 2	 1	 2	749 	1	 
1	 1	 1	 2	663 	1	 
1	 2	 1	 1	848 	1	 
1	 2	 1	 1	1114 	1	 
1	 1	 0	 2	636 	1	 
1	 2	 1	 2	938 	1	 
1	 3	 0	 2	528 	1	 
1	 1	 0	 1	889 	1	 
1	 3	 1	 2	507 	1	 
1	 2	 1	 2	693 	1	 
1	 1	 1	 2	559 	1	 
1	 1	 1	 1	845 	1	 
1	 1	 1	 1	895 	1	 
1	 3	 1	 2	592 	1	 
1	 2	 0	 2	1031 	1	 
1	 1	 1	 2	768 	1	 
1	 1	 1	 2	586 	1	 
1	 2	 1	 1	840 	1	 
1	 3	 1	 1	690 	1	 
1	 3	 1	 1	609 	1	 
1	 3	 1	 2	579 	1	 
1	 3	 0	 1	665 	0	 
1	 3	 0	 1	831 	0	 
1	 1	 1	 1	776 	1	 
1	 3	 1	 2	650 	1	 
1	 2	 0	 1	600 	1	 
1	 2	 0	 2	830 	1	 
1	 1	 1	 1	859 	1	 
1	 2	 1	 2	653 	1	 
1	 1	 0	 2	747 	1	 
2	 3	 1	 2	633 	1	 
2	 3	 1	 2	599 	1	 
2	 2	 0	 2	740 	1	 
2	 1	 1	 1	626 	1	 
2	 2	 1	 1	788 	1	 
2	 2	 1	 1	862 	1	 
2	 1	 1	 1	1088 	1	 
2	 3	 1	 2	557 	1	 
2	 2	 1	 1	704 	1	 
2	 1	 1	 1	874 	1	 
2	 2	 0	 2	636 	1	 
2	 1	 1	 1	654 	1	 
2	 1	 1	 2	620 	1	 
2	 3	 0	 2	613 	1	 
2	 2	 0	 1	699 	1	 
2	 2	 1	 2	641 	1	 
2	 3	 0	 1	799 	1	 
2	 3	 1	 1	869 	1	 
2	 3	 0	 1	635 	1	 
2	 2	 1	 1	676 	1	 
2	 3	 1	 1	986 	1	 
2	 2	 1	 1	772 	1	 
2	 3	 1	 1	654 	1	 
2	 3	 0	 1	535 	1	 
2	 2	 1	 2	697 	1	 
2	 1	 1	 2	723 	1	 
2	 2	 0	 1	733 	1	 
2	 3	 1	 2	1050 	1	 
2	 1	 0	 2	784 	1	 
2	 1	 1	 2	662 	1	 
2	 3	 0	 1	595 	1	 
2	 1	 1	 2	1029 	1	 
2	 1	 0	 1	1175 	1	 
2	 3	 0	 2	674 	1	 
2	 3	 1	 2	880 	1	 
2	 3	 1	 2	790 	1	 
2	 2	 0	 1	1104 	1	 
2	 1	 1	 2	1250 	1	 
2	 1	 1	 2	1187 	1	 
