Block	Pair_type	Feedback_type	Side	RT	ACC
1	 1	 1	 2	1066 	1	 
1	 2	 1	 2	927 	1	 
1	 3	 0	 2	870 	1	 
1	 1	 1	 2	744 	1	 
1	 2	 0	 2	667 	1	 
1	 2	 1	 1	0 	missed	 
1	 1	 1	 1	983 	1	 
1	 2	 0	 1	632 	0	 
1	 1	 1	 2	826 	1	 
1	 1	 0	 2	632 	1	 
1	 3	 0	 2	662 	1	 
1	 2	 0	 2	1207 	0	 
1	 1	 1	 1	978 	0	 
1	 1	 1	 1	852 	1	 
1	 1	 1	 1	573 	1	 
1	 1	 1	 2	704 	1	 
1	 3	 0	 1	905 	0	 
1	 2	 0	 1	1167 	1	 
1	 3	 1	 1	993 	1	 
1	 3	 1	 1	987 	1	 
1	 2	 0	 2	952 	1	 
1	 3	 1	 2	694 	1	 
1	 2	 1	 1	796 	0	 
1	 1	 1	 2	586 	1	 
1	 2	 1	 2	1047 	0	 
1	 2	 1	 2	845 	0	 
1	 1	 0	 2	643 	1	 
1	 3	 1	 1	797 	1	 
1	 2	 0	 1	902 	0	 
1	 1	 1	 1	692 	1	 
1	 2	 1	 2	895 	0	 
1	 2	 1	 1	1288 	1	 
1	 3	 1	 2	842 	1	 
1	 1	 1	 1	680 	1	 
1	 3	 1	 1	650 	1	 
1	 2	 1	 2	924 	1	 
1	 3	 1	 2	910 	1	 
1	 1	 1	 2	684 	1	 
1	 3	 0	 1	786 	1	 
1	 1	 0	 1	572 	1	 
1	 3	 0	 2	637 	1	 
1	 2	 1	 1	679 	1	 
1	 3	 0	 2	841 	0	 
1	 1	 1	 2	655 	1	 
1	 2	 1	 2	813 	0	 
1	 3	 0	 1	639 	1	 
1	 2	 1	 1	792 	0	 
1	 1	 0	 1	578 	1	 
1	 3	 1	 2	748 	1	 
1	 3	 1	 2	570 	1	 
1	 1	 1	 1	767 	1	 
1	 2	 1	 1	825 	0	 
1	 1	 1	 2	631 	1	 
1	 2	 1	 1	981 	1	 
1	 3	 1	 1	738 	1	 
1	 1	 1	 1	700 	1	 
1	 2	 1	 2	966 	1	 
1	 3	 0	 1	772 	1	 
1	 3	 1	 1	981 	1	 
1	 3	 1	 2	775 	1	 
2	 1	 1	 1	769 	1	 
2	 2	 1	 2	679 	1	 
2	 2	 1	 2	733 	1	 
2	 2	 0	 2	535 	1	 
2	 1	 1	 1	713 	1	 
2	 1	 1	 2	642 	1	 
2	 1	 1	 1	553 	1	 
2	 3	 0	 1	570 	1	 
2	 2	 0	 1	824 	1	 
2	 2	 1	 1	795 	1	 
2	 2	 0	 2	572 	1	 
2	 1	 1	 2	518 	1	 
2	 3	 1	 1	564 	1	 
2	 1	 0	 1	509 	1	 
2	 2	 1	 2	519 	1	 
2	 1	 1	 2	533 	1	 
2	 3	 0	 2	631 	1	 
2	 1	 0	 1	777 	1	 
2	 2	 1	 2	586 	1	 
2	 3	 1	 2	460 	1	 
2	 3	 1	 2	574 	1	 
2	 1	 1	 1	620 	1	 
2	 3	 1	 1	594 	1	 
2	 1	 1	 2	523 	1	 
2	 3	 0	 1	466 	1	 
2	 2	 0	 2	744 	1	 
2	 2	 1	 2	501 	1	 
2	 1	 1	 1	603 	1	 
2	 1	 0	 2	481 	1	 
2	 3	 1	 1	511 	1	 
2	 2	 1	 1	688 	1	 
2	 3	 1	 2	518 	1	 
2	 3	 1	 2	452 	1	 
2	 1	 1	 1	434 	1	 
2	 3	 1	 2	520 	1	 
2	 3	 0	 2	505 	1	 
2	 2	 0	 1	523 	1	 
2	 1	 1	 2	685 	1	 
2	 3	 1	 1	482 	1	 
2	 1	 1	 2	616 	1	 
2	 2	 1	 2	546 	1	 
2	 3	 1	 1	524 	1	 
2	 1	 1	 1	606 	1	 
2	 1	 1	 2	436 	1	 
2	 2	 1	 1	645 	1	 
2	 2	 1	 1	551 	1	 
2	 3	 0	 1	649 	1	 
2	 3	 1	 2	515 	1	 
2	 1	 1	 2	541 	1	 
2	 2	 1	 1	491 	1	 
2	 2	 1	 2	521 	1	 
2	 3	 1	 1	511 	1	 
2	 3	 0	 2	505 	1	 
2	 3	 0	 1	466 	1	 
2	 1	 0	 2	580 	1	 
2	 3	 0	 2	590 	1	 
2	 2	 1	 1	569 	1	 
2	 1	 1	 1	698 	1	 
2	 2	 0	 1	540 	0	 
2	 2	 1	 1	662 	1	 
3	 2	 1	 1	524 	1	 
3	 3	 1	 2	671 	1	 
3	 1	 0	 1	556 	1	 
3	 2	 0	 1	470 	1	 
