Block	Pair_type	Feedback_type	Side	RT	ACC
1	 2	 1	 1	1052 	1	 
1	 2	 1	 1	886 	1	 
1	 3	 0	 2	1552 	1	 
1	 2	 0	 2	994 	1	 
1	 3	 0	 2	1248 	0	 
1	 2	 0	 1	1109 	1	 
1	 2	 1	 2	1371 	0	 
1	 1	 1	 2	989 	1	 
1	 3	 1	 2	1139 	1	 
1	 1	 1	 2	1056 	1	 
1	 3	 1	 1	1263 	1	 
1	 1	 1	 1	1032 	0	 
1	 3	 0	 1	978 	1	 
1	 3	 1	 1	1024 	0	 
1	 3	 1	 2	0 	missed	 
1	 3	 1	 2	765 	0	 
1	 1	 0	 2	1298 	0	 
1	 3	 1	 2	1180 	1	 
1	 3	 0	 2	1310 	0	 
1	 1	 1	 1	1184 	1	 
1	 3	 1	 1	0 	missed	 
1	 3	 0	 1	676 	1	 
1	 2	 1	 2	1170 	1	 
1	 2	 1	 2	708 	1	 
1	 1	 1	 1	994 	1	 
1	 3	 0	 1	632 	0	 
1	 1	 1	 2	770 	0	 
1	 3	 1	 2	887 	0	 
1	 1	 1	 1	801 	0	 
1	 2	 1	 2	1115 	1	 
1	 2	 1	 2	889 	1	 
1	 2	 1	 1	1003 	1	 
1	 1	 1	 1	1072 	1	 
1	 3	 0	 1	922 	0	 
1	 1	 1	 2	1028 	1	 
1	 3	 1	 1	1014 	0	 
1	 2	 1	 1	971 	1	 
1	 2	 0	 2	921 	1	 
1	 2	 1	 2	1187 	0	 
1	 3	 0	 2	1061 	1	 
1	 1	 1	 2	1022 	1	 
1	 2	 0	 2	992 	1	 
1	 1	 0	 2	1106 	1	 
1	 1	 1	 1	1204 	1	 
1	 1	 1	 1	958 	1	 
1	 2	 0	 1	0 	missed	 
1	 2	 0	 1	747 	0	 
1	 2	 1	 2	773 	0	 
1	 2	 1	 1	1199 	1	 
1	 1	 0	 1	789 	1	 
1	 1	 1	 2	938 	1	 
1	 1	 0	 1	572 	1	 
1	 1	 1	 1	750 	1	 
1	 1	 1	 2	772 	1	 
1	 2	 1	 1	989 	1	 
1	 3	 1	 1	947 	1	 
1	 2	 1	 1	961 	1	 
1	 3	 1	 1	754 	1	 
1	 3	 1	 2	720 	1	 
1	 1	 1	 2	522 	0	 
2	 1	 1	 2	744 	1	 
2	 3	 0	 2	921 	1	 
2	 1	 0	 2	867 	1	 
2	 2	 1	 2	1073 	1	 
2	 2	 0	 2	1079 	1	 
2	 1	 1	 1	765 	1	 
2	 1	 1	 1	643 	1	 
2	 2	 1	 1	945 	1	 
2	 2	 1	 2	618 	1	 
2	 2	 0	 1	660 	1	 
2	 2	 0	 1	722 	1	 
2	 2	 0	 1	764 	0	 
2	 3	 0	 1	929 	1	 
2	 3	 1	 1	523 	0	 
2	 2	 1	 2	821 	1	 
2	 3	 1	 1	659 	0	 
2	 1	 1	 1	917 	1	 
2	 3	 1	 1	1339 	1	 
2	 3	 1	 1	700 	1	 
2	 3	 1	 2	942 	1	 
2	 1	 1	 1	653 	1	 
2	 1	 1	 2	802 	1	 
2	 1	 1	 1	672 	1	 
2	 3	 1	 2	718 	1	 
2	 1	 1	 2	1000 	1	 
2	 3	 1	 2	1273 	1	 
2	 1	 1	 1	692 	1	 
2	 1	 0	 2	614 	1	 
2	 3	 0	 1	1247 	1	 
2	 1	 0	 1	1021 	0	 
2	 1	 1	 2	891 	1	 
2	 2	 1	 1	1261 	1	 
2	 1	 1	 2	599 	1	 
2	 2	 1	 1	617 	1	 
2	 3	 0	 2	1018 	0	 
2	 1	 0	 1	932 	1	 
2	 3	 0	 2	998 	0	 
2	 2	 0	 2	1000 	1	 
2	 2	 1	 1	969 	0	 
2	 1	 1	 1	843 	1	 
2	 1	 1	 2	781 	1	 
2	 2	 1	 2	918 	0	 
2	 1	 1	 2	756 	1	 
2	 3	 1	 1	1018 	0	 
2	 2	 1	 2	776 	1	 
2	 1	 1	 1	809 	1	 
2	 1	 1	 2	767 	1	 
2	 2	 0	 2	689 	1	 
2	 3	 0	 1	1179 	0	 
2	 3	 1	 2	1280 	0	 
2	 2	 1	 1	886 	1	 
2	 3	 0	 1	908 	0	 
2	 2	 1	 1	1026 	0	 
2	 3	 1	 2	980 	0	 
2	 3	 0	 2	694 	1	 
2	 3	 1	 2	764 	0	 
2	 2	 1	 1	1269 	0	 
2	 2	 1	 2	643 	0	 
2	 2	 1	 2	673 	1	 
2	 3	 1	 1	1239 	0	 
3	 3	 1	 1	553 	1	 
3	 2	 0	 1	971 	0	 
3	 2	 0	 2	744 	0	 
3	 3	 1	 2	398 	1	 
3	 1	 0	 1	812 	1	 
3	 2	 1	 2	1470 	1	 
3	 1	 1	 2	1084 	0	 
3	 1	 1	 2	697 	1	 
3	 2	 1	 1	847 	1	 
3	 1	 0	 2	845 	1	 
3	 1	 1	 2	667 	0	 
3	 1	 1	 1	1200 	1	 
3	 2	 1	 2	898 	1	 
3	 2	 1	 2	640 	1	 
3	 3	 1	 1	973 	0	 
3	 3	 1	 2	924 	1	 
3	 1	 0	 1	1046 	1	 
3	 1	 1	 1	600 	0	 
3	 3	 0	 1	1074 	1	 
3	 3	 0	 2	1184 	0	 
3	 1	 1	 2	1174 	0	 
3	 1	 1	 1	1216 	0	 
3	 3	 1	 1	0 	missed	 
3	 3	 1	 1	584 	0	 
3	 1	 1	 1	1046 	1	 
3	 2	 1	 1	1036 	0	 
3	 3	 1	 2	1086 	1	 
3	 1	 1	 1	663 	0	 
3	 3	 1	 2	933 	1	 
3	 3	 0	 2	799 	1	 
3	 2	 1	 2	889 	0	 
3	 3	 1	 1	946 	1	 
3	 1	 1	 2	1124 	0	 
3	 3	 1	 1	935 	1	 
3	 3	 0	 2	796 	1	 
3	 1	 1	 1	1042 	0	 
3	 2	 1	 2	1092 	1	 
3	 3	 0	 1	902 	1	 
3	 1	 1	 2	1184 	1	 
3	 1	 1	 2	718 	1	 
3	 2	 1	 1	1219 	1	 
3	 2	 0	 1	645 	1	 
3	 3	 1	 2	911 	1	 
3	 2	 0	 2	1104 	1	 
3	 3	 0	 1	1018 	1	 
3	 2	 1	 2	700 	0	 
3	 2	 1	 1	1086 	0	 
3	 2	 1	 1	655 	1	 
3	 1	 1	 1	1037 	1	 
3	 2	 0	 1	807 	1	 
3	 1	 1	 2	873 	1	 
3	 3	 1	 2	940 	0	 
3	 2	 1	 2	706 	1	 
3	 3	 0	 1	773 	1	 
3	 3	 0	 2	1055 	0	 
3	 1	 1	 1	761 	1	 
3	 1	 0	 2	883 	1	 
3	 2	 0	 2	948 	1	 
3	 2	 1	 1	634 	1	 
3	 2	 1	 1	536 	1	 
4	 3	 1	 2	1226 	0	 
4	 3	 1	 2	591 	1	 
4	 1	 1	 2	734 	1	 
4	 2	 0	 2	767 	1	 
4	 1	 0	 2	701 	1	 
4	 2	 0	 1	767 	1	 
4	 3	 0	 2	1053 	1	 
4	 1	 1	 2	775 	1	 
4	 2	 1	 1	793 	1	 
4	 2	 1	 2	642 	1	 
4	 2	 1	 1	625 	1	 
4	 2	 1	 1	543 	1	 
4	 1	 0	 1	721 	1	 
4	 3	 1	 1	835 	1	 
4	 3	 1	 2	517 	1	 
4	 3	 0	 1	514 	1	 
4	 1	 1	 2	756 	1	 
4	 3	 1	 1	1002 	1	 
4	 2	 1	 1	676 	1	 
4	 1	 1	 1	650 	1	 
4	 2	 0	 1	696 	1	 
4	 3	 0	 2	721 	1	 
4	 2	 1	 2	703 	1	 
4	 1	 1	 1	725 	1	 
4	 3	 0	 2	739 	1	 
4	 1	 1	 2	1017 	1	 
4	 2	 1	 2	755 	1	 
4	 1	 1	 1	1153 	1	 
4	 2	 1	 2	690 	1	 
4	 2	 1	 1	637 	1	 
4	 2	 0	 1	650 	1	 
4	 1	 1	 1	748 	1	 
4	 3	 1	 1	906 	0	 
4	 3	 1	 2	840 	1	 
4	 1	 1	 2	875 	1	 
4	 3	 0	 1	897 	1	 
4	 3	 0	 1	735 	1	 
4	 2	 1	 1	757 	1	 
4	 3	 1	 1	1083 	1	 
4	 1	 1	 2	833 	1	 
4	 1	 1	 1	670 	1	 
4	 1	 1	 1	808 	1	 
4	 2	 1	 1	515 	1	 
4	 1	 1	 2	744 	1	 
4	 2	 0	 2	798 	1	 
4	 1	 1	 1	896 	1	 
4	 2	 1	 2	593 	1	 
4	 2	 1	 2	611 	1	 
4	 2	 0	 2	465 	1	 
4	 1	 1	 2	687 	1	 
4	 1	 1	 1	713 	1	 
4	 3	 1	 2	914 	1	 
4	 3	 0	 2	508 	1	 
4	 2	 1	 2	643 	1	 
4	 3	 0	 1	648 	1	 
4	 1	 0	 2	786 	1	 
4	 3	 1	 2	964 	0	 
4	 1	 0	 1	925 	1	 
4	 3	 1	 1	1059 	1	 
4	 3	 1	 1	553 	1	 
5	 1	 0	 2	659 	1	 
5	 2	 1	 2	809 	1	 
5	 1	 1	 2	567 	1	 
5	 1	 1	 2	485 	1	 
