Block	Pair_type	Feedback_type	Side	RT	ACC
1	 2	 1	 1	1064 	1	 
1	 1	 1	 1	1258 	0	 
1	 1	 1	 2	1244 	0	 
1	 3	 0	 2	1094 	1	 
1	 3	 1	 1	1284 	0	 
1	 3	 1	 2	854 	0	 
1	 1	 1	 1	1107 	1	 
1	 1	 1	 2	1302 	1	 
1	 1	 1	 2	1183 	1	 
1	 2	 0	 2	897 	1	 
1	 1	 0	 2	1139 	1	 
1	 1	 1	 2	1037 	1	 
1	 3	 1	 2	1022 	0	 
1	 3	 1	 1	1140 	0	 
1	 3	 0	 2	1143 	0	 
1	 1	 1	 1	1124 	1	 
1	 3	 0	 1	0 	missed	 
1	 3	 1	 2	865 	1	 
1	 2	 1	 1	847 	1	 
1	 1	 1	 1	1153 	1	 
1	 1	 1	 2	830 	1	 
1	 2	 1	 1	1264 	1	 
1	 3	 0	 2	1290 	0	 
1	 3	 1	 1	976 	0	 
1	 2	 1	 1	822 	1	 
1	 2	 1	 2	1204 	1	 
1	 3	 1	 1	1089 	0	 
1	 1	 1	 1	1119 	1	 
1	 3	 0	 1	973 	0	 
1	 2	 0	 1	1059 	1	 
1	 2	 1	 1	873 	1	 
1	 2	 0	 1	1067 	1	 
1	 3	 1	 2	1149 	0	 
1	 1	 0	 1	827 	0	 
1	 3	 0	 2	1145 	0	 
1	 3	 0	 1	678 	0	 
1	 2	 1	 2	900 	0	 
1	 3	 1	 1	1054 	0	 
1	 2	 1	 2	944 	1	 
1	 1	 1	 1	845 	1	 
1	 2	 1	 2	711 	1	 
1	 2	 0	 1	769 	1	 
1	 3	 1	 2	1035 	1	 
1	 2	 1	 2	696 	1	 
1	 2	 0	 2	1142 	0	 
1	 1	 1	 2	997 	1	 
1	 3	 1	 2	806 	1	 
1	 2	 1	 2	913 	1	 
1	 2	 0	 2	654 	1	 
1	 1	 0	 1	1084 	0	 
1	 1	 1	 2	798 	0	 
1	 2	 1	 1	1199 	1	 
1	 1	 0	 2	897 	1	 
1	 3	 0	 1	891 	1	 
1	 1	 1	 1	1105 	0	 
1	 1	 1	 1	887 	0	 
1	 2	 1	 1	849 	1	 
1	 2	 1	 2	883 	1	 
1	 3	 1	 1	832 	0	 
1	 1	 1	 2	702 	0	 
2	 2	 0	 1	1344 	1	 
2	 2	 1	 1	586 	1	 
2	 1	 1	 2	1019 	1	 
2	 3	 0	 1	897 	1	 
2	 2	 1	 2	739 	1	 
2	 1	 1	 1	1185 	0	 
2	 3	 0	 2	894 	1	 
2	 1	 0	 1	1164 	1	 
2	 2	 1	 2	722 	1	 
2	 3	 0	 2	952 	0	 
2	 2	 1	 2	885 	1	 
2	 3	 1	 1	747 	1	 
2	 1	 1	 2	1105 	0	 
2	 3	 1	 2	1015 	1	 
2	 2	 1	 1	1044 	1	 
2	 3	 1	 1	1358 	1	 
2	 1	 1	 2	1360 	0	 
2	 3	 0	 1	774 	1	 
2	 1	 1	 2	1257 	1	 
2	 2	 0	 1	771 	1	 
2	 1	 1	 2	1077 	0	 
2	 1	 0	 1	930 	0	 
2	 1	 1	 1	996 	0	 
2	 3	 1	 2	1050 	0	 
2	 3	 1	 1	1188 	0	 
2	 2	 0	 1	741 	1	 
2	 2	 0	 2	660 	1	 
2	 2	 1	 1	758 	1	 
2	 3	 0	 1	1252 	1	 
2	 3	 1	 2	866 	0	 
2	 2	 1	 2	711 	1	 
2	 2	 1	 1	1089 	1	 
2	 3	 1	 2	1027 	1	 
2	 3	 1	 2	997 	1	 
2	 1	 1	 2	1175 	0	 
2	 1	 1	 1	1169 	0	 
2	 2	 1	 1	911 	1	 
2	 1	 1	 1	1004 	1	 
2	 3	 1	 1	1010 	1	 
2	 1	 1	 1	672 	1	 
2	 2	 1	 1	865 	1	 
2	 2	 0	 2	1251 	1	 
2	 3	 0	 2	1473 	1	 
2	 3	 0	 2	1048 	0	 
2	 1	 1	 1	1385 	1	 
2	 3	 1	 1	1387 	0	 
2	 1	 1	 1	0 	missed	 
2	 2	 1	 1	823 	1	 
