Block	Pair_type	Feedback_type	Side	RT	ACC
1	 2	 1	 1	1169 	1	 
1	 3	 0	 2	1211 	1	 
1	 2	 0	 1	1422 	1	 
1	 1	 1	 1	1008 	1	 
1	 1	 1	 1	1074 	1	 
1	 3	 1	 2	1077 	0	 
1	 1	 1	 2	911 	1	 
1	 1	 1	 2	985 	1	 
1	 2	 0	 1	1091 	1	 
1	 2	 0	 2	981 	0	 
1	 2	 1	 2	1167 	1	 
1	 1	 0	 2	985 	1	 
1	 3	 1	 2	1099 	0	 
1	 3	 1	 1	988 	1	 
1	 3	 1	 1	1206 	1	 
1	 2	 1	 2	1240 	0	 
1	 1	 1	 1	851 	1	 
1	 3	 0	 1	1184 	1	 
1	 3	 1	 2	1062 	1	 
1	 2	 1	 1	1308 	1	 
1	 3	 1	 1	1390 	0	 
1	 2	 1	 1	1465 	1	 
1	 1	 0	 1	831 	1	 
1	 2	 1	 2	1004 	1	 
1	 1	 1	 2	790 	1	 
1	 2	 0	 1	1220 	0	 
1	 1	 0	 2	857 	1	 
1	 3	 0	 1	1568 	0	 
1	 1	 1	 1	1102 	1	 
1	 1	 1	 1	771 	1	 
1	 3	 0	 1	1277 	1	 
1	 3	 1	 2	0 	missed	 
1	 3	 0	 2	1061 	1	 
1	 1	 0	 1	739 	1	 
1	 3	 1	 1	1145 	1	 
1	 1	 1	 2	775 	1	 
1	 2	 1	 1	1249 	0	 
1	 1	 1	 2	811 	1	 
1	 1	 1	 2	868 	1	 
1	 1	 1	 2	762 	1	 
1	 1	 1	 1	1036 	1	 
1	 3	 1	 1	1146 	0	 
1	 2	 1	 2	1119 	1	 
1	 3	 0	 2	989 	0	 
1	 2	 1	 2	1207 	1	 
1	 2	 1	 1	1221 	1	 
1	 3	 0	 2	1167 	0	 
1	 1	 1	 1	845 	1	 
1	 2	 1	 1	823 	1	 
1	 2	 1	 1	865 	1	 
1	 1	 1	 2	831 	1	 
1	 3	 1	 2	1172 	0	 
1	 2	 1	 2	926 	1	 
1	 3	 0	 1	1320 	1	 
1	 2	 0	 2	834 	1	 
1	 3	 1	 2	1299 	1	 
1	 1	 1	 1	745 	1	 
1	 3	 1	 1	947 	0	 
1	 2	 0	 2	828 	1	 
1	 2	 1	 2	826 	1	 
2	 3	 1	 2	932 	1	 
2	 1	 1	 1	666 	1	 
2	 1	 1	 1	600 	1	 
2	 2	 0	 2	701 	1	 
2	 2	 1	 1	995 	1	 
2	 3	 0	 2	1173 	1	 
2	 2	 1	 2	743 	1	 
2	 3	 1	 1	969 	0	 
2	 2	 1	 2	783 	1	 
2	 2	 1	 1	692 	1	 
2	 1	 1	 2	699 	1	 
2	 2	 0	 1	985 	1	 
2	 2	 1	 2	826 	1	 
2	 1	 1	 1	756 	1	 
2	 1	 0	 1	634 	1	 
2	 1	 1	 2	699 	1	 
2	 3	 1	 1	821 	0	 
2	 1	 1	 1	635 	1	 
2	 3	 1	 1	905 	1	 
2	 2	 1	 2	718 	1	 
2	 2	 1	 1	888 	1	 
2	 1	 1	 1	690 	1	 
2	 2	 1	 1	916 	1	 
2	 3	 0	 1	774 	1	 
2	 2	 0	 1	808 	1	 
2	 1	 1	 1	699 	1	 
2	 1	 1	 2	785 	1	 
2	 3	 0	 1	1106 	1	 
2	 2	 0	 2	797 	1	 
2	 2	 0	 2	698 	1	 
2	 3	 1	 2	868 	0	 
2	 2	 1	 1	862 	1	 
2	 3	 0	 1	852 	1	 
2	 2	 1	 2	722 	1	 
2	 1	 1	 1	679 	1	 
2	 1	 0	 2	669 	1	 
2	 1	 0	 2	747 	1	 
2	 1	 1	 2	1057 	0	 
2	 3	 0	 2	1123 	1	 
2	 1	 1	 2	597 	1	 
2	 3	 1	 2	1083 	0	 
2	 2	 1	 2	733 	1	 
2	 2	 1	 2	779 	1	 
2	 3	 1	 2	932 	1	 
2	 1	 1	 2	786 	1	 
2	 3	 1	 1	1160 	1	 
2	 3	 1	 1	921 	1	 
2	 1	 1	 1	851 	1	 
2	 2	 1	 1	817 	1	 
2	 3	 1	 2	799 	1	 
2	 2	 0	 1	936 	1	 
2	 1	 1	 2	730 	1	 
2	 2	 1	 1	900 	1	 
2	 1	 0	 1	766 	1	 
2	 3	 0	 1	1071 	1	 
2	 3	 0	 2	949 	0	 
2	 3	 0	 2	651 	0	 
2	 3	 1	 1	841 	0	 
2	 3	 1	 2	815 	1	 
2	 1	 1	 2	1001 	1	 
3	 1	 1	 1	674 	1	 
3	 2	 1	 1	949 	1	 
3	 2	 0	 2	851 	1	 
3	 2	 1	 2	948 	1	 
3	 3	 0	 1	738 	1	 
3	 1	 1	 2	784 	1	 
3	 1	 1	 1	717 	1	 
3	 1	 0	 1	807 	1	 
3	 2	 1	 2	818 	1	 
3	 2	 0	 2	1047 	1	 
3	 3	 1	 1	1077 	0	 
3	 1	 1	 2	971 	1	 
3	 3	 0	 2	841 	0	 
3	 3	 0	 2	955 	0	 
3	 1	 0	 2	921 	1	 
3	 3	 1	 2	791 	0	 
3	 1	 0	 1	681 	1	 
3	 3	 1	 2	811 	0	 
3	 3	 1	 2	1173 	1	 
3	 2	 1	 2	807 	1	 
3	 2	 1	 1	1041 	1	 
3	 3	 0	 2	1000 	1	 
3	 3	 1	 2	1094 	0	 
3	 3	 1	 1	1115 	1	 
3	 1	 1	 2	801 	1	 
3	 3	 1	 1	843 	1	 
3	 2	 1	 1	664 	1	 
3	 2	 0	 1	978 	1	 
3	 1	 1	 1	980 	0	 
3	 1	 1	 2	654 	1	 
3	 1	 1	 1	667 	1	 
3	 3	 1	 1	853 	1	 
3	 1	 1	 1	791 	1	 
3	 3	 0	 1	1005 	1	 
3	 3	 1	 2	1155 	1	 
3	 1	 1	 1	845 	1	 
3	 2	 1	 2	750 	1	 
3	 2	 1	 2	732 	1	 
3	 2	 1	 1	862 	1	 
3	 2	 1	 1	856 	1	 
3	 1	 1	 2	718 	1	 
3	 3	 0	 1	800 	1	 
3	 2	 1	 1	762 	0	 
3	 1	 0	 2	651 	1	 
3	 3	 1	 1	769 	1	 
3	 1	 1	 1	751 	1	 
3	 1	 1	 2	805 	1	 
3	 3	 0	 1	738 	1	 
3	 3	 1	 1	964 	1	 
3	 2	 1	 1	966 	1	 
3	 2	 1	 2	664 	1	 
3	 2	 0	 1	977 	1	 
3	 2	 0	 2	755 	1	 
3	 2	 1	 2	861 	1	 
3	 1	 1	 1	859 	1	 
3	 2	 0	 1	749 	1	 
3	 1	 1	 2	651 	1	 
3	 3	 0	 2	900 	1	 
3	 3	 1	 2	1182 	1	 
3	 1	 1	 2	824 	1	 
4	 1	 0	 1	762 	1	 
4	 3	 1	 1	1008 	1	 
4	 1	 1	 1	858 	1	 
4	 3	 1	 1	772 	1	 
4	 1	 1	 1	714 	1	 
4	 2	 1	 1	712 	1	 
4	 1	 0	 2	705 	1	 
4	 2	 1	 2	903 	1	 
4	 3	 0	 2	905 	1	 
4	 2	 1	 2	771 	1	 
4	 2	 0	 1	973 	1	 
4	 3	 0	 2	783 	1	 
4	 1	 1	 1	712 	1	 
4	 2	 0	 2	914 	1	 
4	 3	 0	 2	704 	1	 
4	 1	 1	 2	618 	1	 
4	 2	 1	 2	707 	1	 
4	 3	 0	 1	1057 	1	 
4	 2	 1	 2	776 	1	 
4	 1	 1	 2	638 	1	 
4	 3	 1	 1	1264 	1	 
4	 1	 0	 2	794 	1	 
4	 3	 1	 1	667 	1	 
4	 1	 1	 2	581 	1	 
4	 3	 1	 2	791 	1	 
4	 1	 1	 1	905 	1	 
4	 3	 0	 1	811 	1	 
4	 3	 1	 1	721 	1	 
4	 2	 0	 2	774 	1	 
4	 1	 1	 2	717 	1	 
4	 2	 1	 2	674 	1	 
4	 2	 1	 1	1117 	1	 
4	 1	 1	 1	671 	1	 
4	 1	 1	 2	633 	1	 
4	 2	 1	 1	1202 	1	 
4	 2	 1	 1	1372 	1	 
4	 3	 1	 2	1262 	1	 
4	 1	 1	 2	1251 	1	 
4	 1	 1	 1	1149 	1	 
4	 3	 1	 2	1267 	1	 
4	 1	 1	 2	1109 	1	 
4	 2	 0	 1	1127 	1	 
4	 3	 0	 1	937 	1	 
4	 1	 1	 2	670 	1	 
4	 2	 1	 1	772 	1	 
4	 3	 1	 1	766 	1	 
4	 2	 1	 1	736 	1	 
4	 1	 1	 1	718 	1	 
4	 2	 0	 2	927 	1	 
4	 3	 1	 2	1025 	1	 
4	 2	 1	 2	831 	1	 
4	 2	 1	 2	861 	1	 
4	 1	 1	 1	931 	1	 
4	 1	 0	 1	909 	1	 
4	 2	 0	 1	1119 	1	 
4	 2	 1	 1	985 	1	 
4	 3	 1	 2	843 	1	 
4	 3	 0	 2	776 	1	 
4	 3	 1	 2	746 	1	 
4	 3	 0	 1	936 	1	 
5	 1	 1	 1	802 	1	 
5	 3	 1	 1	839 	1	 
5	 2	 0	 2	813 	1	 
5	 1	 0	 2	655 	1	 
5	 2	 1	 1	832 	1	 
5	 3	 1	 1	890 	1	 
5	 1	 1	 1	689 	1	 
5	 3	 1	 2	1094 	1	 
5	 1	 0	 2	764 	1	 
5	 1	 1	 2	722 	1	 
5	 3	 1	 1	820 	1	 
5	 2	 1	 1	1069 	1	 
5	 1	 1	 1	751 	1	 
5	 3	 0	 2	761 	1	 
5	 3	 1	 1	1162 	1	 
5	 3	 1	 2	908 	1	 
5	 3	 1	 2	783 	1	 
5	 2	 1	 1	864 	1	 
5	 2	 1	 2	1014 	1	 
5	 2	 1	 1	1052 	1	 
5	 1	 1	 1	790 	1	 
5	 2	 0	 1	767 	1	 
5	 2	 1	 2	941 	1	 
5	 2	 1	 1	984 	1	 
5	 2	 1	 1	1093 	1	 
5	 2	 1	 2	895 	1	 
5	 1	 1	 2	841 	1	 
5	 3	 1	 2	775 	1	 
5	 2	 0	 2	754 	1	 
5	 3	 1	 1	775 	1	 
5	 3	 1	 1	801 	1	 
5	 1	 1	 1	803 	1	 
5	 2	 0	 1	848 	1	 
5	 1	 0	 1	734 	1	 
5	 1	 1	 2	1048 	1	 
5	 2	 1	 1	850 	1	 
5	 2	 1	 2	827 	1	 
5	 1	 1	 1	717 	1	 
5	 3	 0	 2	811 	1	 
5	 2	 1	 2	717 	1	 
5	 1	 1	 2	691 	1	 
5	 3	 1	 2	709 	1	 
5	 3	 0	 2	727 	1	 
5	 1	 1	 1	745 	1	 
5	 3	 1	 2	1143 	1	 
5	 2	 0	 1	1145 	1	 
5	 3	 0	 1	1010 	1	 
5	 1	 1	 1	684 	1	 
5	 2	 0	 2	1042 	1	 
5	 3	 0	 1	832 	1	 
5	 1	 1	 2	758 	1	 
5	 1	 1	 2	684 	1	 
5	 3	 0	 2	818 	1	 
5	 3	 0	 1	700 	1	 
5	 3	 0	 1	658 	1	 
5	 1	 1	 2	900 	1	 
5	 2	 1	 2	802 	1	 
5	 1	 1	 2	636 	1	 
5	 1	 0	 1	717 	1	 
5	 2	 1	 2	643 	1	 
6	 1	 1	 1	645 	1	 
6	 2	 0	 2	758 	1	 
6	 2	 1	 2	737 	1	 
6	 1	 1	 1	815 	1	 
6	 1	 1	 2	832 	1	 
6	 1	 1	 2	638 	1	 
6	 3	 0	 2	892 	1	 
6	 3	 1	 2	1210 	1	 
6	 1	 0	 2	743 	1	 
6	 1	 0	 1	657 	1	 
6	 3	 0	 1	1059 	1	 
6	 2	 0	 2	573 	1	 
6	 2	 1	 2	591 	1	 
6	 2	 1	 1	882 	1	 
6	 1	 0	 1	728 	1	 
6	 1	 1	 1	713 	1	 
6	 2	 1	 1	791 	1	 
6	 2	 0	 1	778 	1	 
6	 1	 1	 2	923 	1	 
6	 2	 1	 1	1149 	1	 
6	 2	 1	 2	1163 	1	 
6	 3	 1	 1	1049 	1	 
6	 1	 1	 2	778 	1	 
6	 2	 1	 2	916 	1	 
6	 2	 0	 1	770 	1	 
6	 3	 1	 2	819 	1	 
6	 3	 1	 1	985 	1	 
6	 2	 1	 1	1067 	1	 
6	 3	 1	 1	689 	1	 
6	 3	 0	 2	766 	1	 
6	 1	 1	 2	664 	1	 
6	 2	 1	 1	770 	1	 
6	 2	 0	 2	840 	1	 
6	 3	 1	 2	934 	1	 
6	 3	 1	 1	912 	1	 
6	 3	 1	 1	802 	1	 
6	 1	 1	 1	803 	1	 
