Block	Pair_type	Feedback_type	Side	RT	ACC
1	 1	 1	 2	901 	0	 
1	 1	 1	 2	847 	0	 
1	 2	 1	 2	985 	1	 
1	 2	 1	 1	715 	1	 
1	 2	 1	 1	453 	1	 
1	 1	 1	 2	483 	1	 
1	 3	 0	 1	505 	1	 
1	 1	 1	 2	503 	1	 
1	 3	 0	 2	437 	0	 
1	 2	 0	 1	603 	1	 
1	 1	 1	 1	437 	0	 
1	 2	 1	 2	558 	0	 
1	 1	 0	 2	645 	1	 
1	 3	 1	 2	467 	0	 
1	 3	 1	 2	640 	0	 
1	 2	 1	 1	811 	1	 
1	 3	 0	 1	637 	1	 
1	 1	 0	 1	246 	0	 
1	 3	 0	 2	336 	0	 
1	 3	 1	 1	282 	0	 
1	 2	 1	 1	388 	0	 
1	 3	 1	 2	333 	0	 
1	 2	 1	 2	303 	1	 
1	 3	 1	 2	609 	0	 
1	 3	 1	 1	503 	0	 
1	 1	 1	 2	553 	1	 
1	 3	 1	 1	510 	1	 
1	 1	 0	 2	508 	0	 
1	 2	 1	 2	651 	1	 
1	 1	 1	 2	504 	0	 
1	 2	 0	 2	678 	1	 
1	 3	 1	 1	404 	1	 
1	 1	 1	 1	306 	1	 
1	 1	 1	 1	395 	0	 
1	 3	 1	 2	277 	1	 
1	 3	 1	 1	391 	1	 
1	 2	 0	 2	389 	1	 
1	 2	 1	 1	339 	1	 
1	 1	 1	 1	381 	0	 
1	 3	 1	 2	379 	0	 
1	 2	 0	 1	300 	1	 
1	 2	 1	 2	170 	1	 
1	 2	 1	 2	332 	1	 
1	 1	 1	 1	389 	0	 
1	 1	 1	 1	307 	1	 
1	 1	 1	 1	241 	1	 
1	 2	 1	 2	467 	1	 
1	 3	 0	 1	793 	0	 
1	 2	 1	 1	751 	1	 
1	 2	 1	 1	601 	1	 
1	 2	 0	 2	610 	1	 
1	 3	 0	 2	796 	0	 
1	 1	 1	 2	610 	1	 
1	 1	 0	 1	592 	1	 
1	 1	 1	 1	810 	1	 
1	 1	 1	 2	592 	1	 
1	 3	 0	 1	718 	0	 
1	 3	 1	 1	552 	0	 
1	 2	 0	 1	550 	1	 
1	 3	 0	 2	743 	0	 
2	 2	 1	 1	897 	1	 
2	 3	 1	 2	591 	0	 
2	 2	 0	 2	589 	1	 
2	 1	 1	 1	715 	1	 
2	 3	 1	 1	653 	1	 
2	 1	 1	 1	243 	0	 
2	 3	 0	 1	281 	1	 
2	 1	 1	 1	295 	0	 
2	 3	 0	 1	472 	0	 
2	 2	 1	 1	622 	1	 
2	 2	 1	 1	520 	1	 
2	 1	 1	 1	626 	1	 
2	 1	 1	 1	492 	1	 
2	 3	 1	 1	687 	0	 
2	 1	 0	 1	616 	1	 
2	 2	 1	 2	554 	1	 
2	 3	 1	 2	580 	0	 
2	 3	 1	 1	717 	0	 
2	 3	 1	 2	843 	1	 
2	 1	 1	 2	649 	1	 
2	 2	 1	 1	727 	1	 
2	 1	 1	 1	624 	1	 
2	 1	 1	 2	719 	1	 
2	 3	 0	 1	853 	0	 
2	 3	 0	 2	742 	0	 
2	 1	 1	 2	597 	1	 
2	 2	 1	 2	791 	0	 
2	 2	 1	 2	645 	0	 
2	 1	 1	 2	547 	1	 
2	 3	 1	 2	744 	0	 
2	 1	 1	 2	614 	1	 
2	 2	 1	 2	608 	1	 
2	 1	 1	 2	502 	1	 
2	 2	 1	 2	520 	1	 
2	 2	 0	 1	822 	1	 
2	 2	 1	 1	400 	0	 
2	 3	 0	 1	861 	0	 
2	 2	 0	 1	483 	0	 
2	 2	 0	 1	645 	0	 
2	 2	 0	 2	862 	0	 
2	 1	 0	 2	520 	1	 
2	 2	 1	 1	562 	0	 
2	 3	 1	 1	428 	1	 
2	 1	 1	 1	557 	1	 
2	 2	 0	 2	620 	1	 
2	 2	 1	 2	406 	1	 
2	 1	 1	 1	543 	0	 
2	 3	 1	 2	717 	0	 
2	 3	 1	 1	607 	0	 
2	 2	 1	 1	697 	0	 
2	 3	 0	 2	563 	1	 
2	 1	 0	 2	653 	1	 
2	 3	 1	 2	582 	0	 
