Block	Pair_type	Feedback_type	Side	RT	ACC
1	 3	 1	 1	972 	1	 
1	 2	 1	 2	998 	0	 
1	 3	 1	 2	860 	1	 
1	 2	 1	 2	1305 	0	 
1	 3	 1	 2	771 	1	 
1	 3	 0	 2	977 	1	 
1	 2	 1	 2	815 	1	 
1	 2	 0	 2	1276 	1	 
1	 1	 0	 2	1070 	1	 
1	 2	 1	 2	1012 	1	 
1	 2	 1	 1	1281 	1	 
1	 1	 1	 2	1059 	1	 
1	 1	 1	 2	829 	1	 
1	 1	 1	 1	1287 	1	 
1	 3	 1	 2	1065 	1	 
1	 3	 1	 1	786 	1	 
1	 1	 1	 1	828 	1	 
1	 3	 0	 1	710 	1	 
1	 2	 1	 1	987 	1	 
1	 2	 0	 1	585 	1	 
1	 1	 1	 1	767 	1	 
1	 3	 0	 1	917 	1	 
1	 3	 1	 2	935 	1	 
1	 3	 1	 1	604 	1	 
1	 2	 1	 1	918 	1	 
1	 1	 0	 1	732 	1	 
1	 1	 1	 1	573 	1	 
1	 3	 1	 2	743 	1	 
1	 1	 1	 1	793 	1	 
1	 3	 1	 1	707 	1	 
1	 3	 0	 2	649 	1	 
1	 1	 1	 2	919 	1	 
1	 2	 1	 1	921 	1	 
1	 2	 1	 2	1002 	1	 
1	 1	 1	 1	892 	1	 
1	 3	 1	 1	662 	1	 
1	 1	 0	 1	976 	1	 
1	 1	 1	 1	650 	1	 
1	 3	 0	 1	828 	1	 
1	 3	 0	 1	637 	1	 
1	 1	 1	 1	627 	1	 
1	 3	 1	 1	673 	1	 
1	 1	 1	 2	843 	1	 
1	 2	 0	 2	1045 	1	 
1	 3	 0	 2	835 	1	 
1	 1	 1	 2	717 	1	 
1	 1	 1	 2	710 	1	 
1	 1	 1	 2	1056 	1	 
1	 2	 0	 2	1026 	1	 
1	 2	 1	 1	1440 	1	 
1	 1	 0	 2	1019 	1	 
1	 2	 1	 2	860 	1	 
1	 3	 0	 2	714 	1	 
1	 3	 1	 2	656 	1	 
1	 2	 1	 1	801 	1	 
1	 2	 1	 1	903 	1	 
1	 1	 1	 2	729 	1	 
1	 2	 1	 2	863 	1	 
1	 2	 0	 1	952 	1	 
1	 2	 0	 1	642 	1	 
2	 1	 1	 1	973 	1	 
2	 3	 1	 1	803 	1	 
2	 2	 1	 1	1229 	1	 
2	 3	 1	 2	1202 	1	 
2	 3	 1	 1	896 	1	 
2	 1	 1	 2	978 	1	 
2	 2	 0	 1	552 	1	 
2	 2	 1	 2	966 	1	 
2	 3	 0	 2	715 	1	 
2	 1	 1	 1	673 	1	 
2	 3	 1	 1	767 	1	 
2	 2	 1	 1	937 	1	 
