Block	Pair_type	Feedback_type	Side	RT	ACC
1	 1	 0	 2	1124 	0	 
1	 3	 1	 2	1022 	1	 
1	 1	 1	 2	592 	0	 
1	 2	 0	 2	1306 	0	 
1	 1	 1	 1	1412 	0	 
1	 2	 1	 2	1070 	0	 
1	 1	 1	 2	1108 	1	 
1	 2	 1	 2	1210 	1	 
1	 3	 1	 1	924 	1	 
1	 3	 1	 1	594 	1	 
1	 1	 1	 2	924 	1	 
1	 2	 0	 2	1006 	0	 
1	 2	 1	 1	957 	0	 
1	 3	 0	 1	927 	1	 
1	 1	 0	 1	1313 	0	 
1	 1	 1	 1	1055 	0	 
1	 3	 1	 2	964 	0	 
1	 1	 1	 1	1362 	1	 
1	 3	 0	 2	1040 	1	 
1	 3	 0	 2	934 	0	 
1	 2	 1	 2	1212 	0	 
1	 2	 1	 2	990 	1	 
1	 1	 0	 1	948 	1	 
1	 2	 1	 1	1114 	1	 
1	 2	 0	 1	1460 	0	 
1	 1	 1	 1	933 	1	 
1	 1	 1	 1	663 	1	 
1	 3	 1	 2	793 	0	 
1	 3	 0	 2	738 	1	 
1	 3	 1	 1	1096 	0	 
1	 2	 1	 2	990 	0	 
1	 2	 1	 1	620 	1	 
1	 2	 1	 1	881 	0	 
1	 3	 0	 1	931 	1	 
1	 2	 0	 1	1401 	1	 
1	 2	 1	 2	963 	1	 
1	 1	 1	 2	977 	1	 
1	 1	 1	 2	570 	1	 
1	 3	 0	 2	892 	0	 
1	 3	 0	 1	1198 	1	 
1	 3	 1	 1	852 	0	 
1	 1	 1	 1	766 	1	 
1	 2	 1	 1	1204 	1	 
1	 1	 1	 2	761 	1	 
1	 3	 0	 1	1299 	1	 
1	 2	 1	 1	1225 	1	 
1	 2	 1	 2	987 	1	 
1	 3	 1	 2	1132 	0	 
1	 3	 1	 2	966 	1	 
1	 1	 1	 2	884 	1	 
1	 3	 1	 1	1506 	0	 
1	 1	 1	 2	1192 	1	 
1	 2	 0	 2	1358 	0	 
1	 2	 1	 1	1033 	0	 
1	 3	 1	 2	786 	1	 
1	 1	 1	 1	860 	1	 
1	 1	 0	 2	1226 	1	 
1	 3	 1	 1	952 	1	 
1	 2	 0	 1	1226 	1	 
1	 1	 1	 1	1056 	1	 
2	 3	 1	 2	938 	1	 
2	 1	 1	 2	851 	1	 
2	 2	 0	 1	1605 	0	 
2	 3	 1	 2	1059 	1	 
2	 2	 1	 2	1349 	1	 
2	 3	 1	 1	647 	1	 
2	 1	 1	 2	1009 	1	 
2	 3	 0	 1	858 	1	 
2	 2	 1	 2	1365 	1	 
2	 3	 0	 2	1110 	1	 
2	 3	 0	 2	832 	1	 
2	 1	 1	 2	870 	1	 
2	 3	 1	 1	660 	1	 
2	 1	 1	 1	853 	1	 
2	 2	 1	 2	1507 	1	 
2	 2	 1	 2	926 	1	 
2	 1	 1	 1	668 	1	 
2	 1	 1	 2	666 	1	 
2	 1	 1	 2	1436 	1	 
2	 3	 0	 1	937 	1	 
2	 1	 1	 1	771 	1	 
2	 1	 0	 2	773 	1	 
2	 1	 1	 2	703 	1	 
2	 2	 0	 2	1025 	1	 
2	 3	 1	 2	1019 	1	 
2	 2	 1	 1	1073 	1	 
2	 2	 1	 1	1304 	1	 
2	 3	 1	 2	1045 	1	 
2	 1	 1	 2	827 	1	 
2	 3	 0	 1	757 	1	 
2	 2	 0	 2	1071 	1	 
2	 1	 1	 1	969 	1	 
2	 1	 0	 1	842 	1	 
2	 2	 1	 1	1604 	1	 
2	 3	 0	 2	818 	1	 
2	 3	 1	 1	1176 	1	 
2	 2	 1	 2	1178 	1	 
2	 2	 0	 1	679 	1	 
2	 2	 1	 2	1349 	1	 
2	 2	 1	 1	771 	1	 
2	 3	 1	 1	1025 	1	 
2	 2	 1	 2	1035 	1	 
2	 1	 1	 1	829 	1	 
2	 1	 1	 1	834 	1	 
2	 1	 0	 1	724 	1	 
2	 3	 1	 1	999 	1	 
2	 3	 0	 2	720 	1	 
2	 3	 1	 2	670 	1	 
2	 2	 0	 2	1320 	1	 
2	 3	 0	 1	682 	1	 
