Block	Pair_type	Feedback_type	Side	RT	ACC
1	 2	 0	 2	929 	1	 
1	 3	 1	 1	760 	1	 
1	 2	 1	 1	942 	0	 
1	 3	 1	 1	824 	1	 
1	 3	 1	 2	887 	0	 
1	 3	 1	 2	1684 	0	 
1	 2	 1	 1	1138 	0	 
1	 3	 0	 1	1316 	1	 
1	 1	 1	 2	1298 	1	 
1	 2	 1	 2	1636 	1	 
1	 2	 1	 2	1285 	1	 
1	 1	 1	 1	971 	1	 
1	 1	 1	 1	1393 	1	 
1	 1	 1	 1	1146 	1	 
1	 3	 0	 2	1148 	1	 
1	 2	 1	 2	0 	missed	 
1	 1	 1	 2	729 	1	 
1	 1	 1	 1	770 	1	 
1	 3	 0	 2	1160 	0	 
1	 3	 1	 1	1258 	0	 
1	 1	 1	 2	816 	1	 
1	 2	 0	 1	1050 	1	 
1	 3	 0	 1	760 	0	 
1	 2	 1	 1	761 	1	 
1	 2	 1	 2	531 	1	 
1	 2	 0	 1	681 	1	 
1	 2	 1	 2	727 	1	 
1	 2	 1	 2	668 	1	 
1	 1	 1	 1	734 	1	 
1	 3	 0	 2	1636 	1	 
1	 3	 1	 1	838 	0	 
1	 3	 1	 2	1027 	1	 
1	 1	 1	 1	769 	1	 
1	 3	 1	 1	975 	1	 
1	 1	 0	 1	681 	1	 
1	 2	 1	 1	0 	missed	 
1	 3	 0	 2	661 	0	 
1	 2	 1	 1	787 	1	 
1	 1	 1	 1	601 	1	 
1	 3	 1	 1	651 	1	 
1	 1	 0	 2	716 	1	 
1	 3	 0	 1	1270 	0	 
1	 1	 0	 1	724 	1	 
1	 2	 0	 2	1082 	1	 
1	 1	 1	 2	788 	1	 
1	 3	 0	 1	230 	0	 
1	 2	 1	 1	791 	1	 
1	 2	 0	 2	1002 	1	 
1	 3	 1	 2	555 	1	 
1	 1	 1	 2	645 	1	 
1	 1	 1	 2	631 	1	 
1	 1	 1	 2	537 	0	 
1	 1	 0	 2	475 	1	 
1	 2	 1	 1	501 	0	 
1	 3	 1	 2	635 	1	 
1	 3	 1	 2	825 	1	 
1	 1	 1	 1	487 	1	 
1	 2	 1	 2	729 	1	 
1	 1	 1	 2	542 	1	 
1	 2	 0	 1	625 	1	 
2	 2	 1	 2	1050 	1	 
2	 2	 1	 1	916 	1	 
2	 2	 0	 2	846 	1	 
2	 3	 1	 2	1160 	1	 
2	 2	 1	 2	1189 	1	 
2	 3	 1	 2	1095 	0	 
2	 2	 1	 2	697 	1	 
2	 3	 1	 1	575 	1	 
2	 3	 0	 2	589 	1	 
2	 1	 0	 1	579 	1	 
2	 1	 1	 2	813 	1	 
2	 2	 1	 2	818 	1	 
2	 3	 0	 2	848 	0	 
2	 1	 1	 1	730 	1	 
2	 1	 1	 2	627 	1	 
2	 1	 1	 1	445 	1	 
2	 2	 1	 1	687 	1	 
2	 3	 1	 2	509 	1	 
2	 1	 0	 1	543 	1	 
2	 2	 1	 2	685 	1	 
2	 2	 1	 1	851 	1	 
2	 3	 1	 1	565 	1	 
2	 1	 1	 2	638 	1	 
2	 3	 0	 1	680 	1	 
2	 1	 1	 1	614 	1	 
2	 3	 0	 1	755 	1	 
2	 2	 1	 1	697 	1	 
2	 3	 0	 2	643 	1	 
2	 1	 1	 2	837 	1	 
2	 1	 1	 1	582 	1	 
2	 2	 0	 2	728 	1	 
2	 2	 1	 1	850 	1	 
2	 2	 1	 1	664 	1	 
2	 3	 1	 1	841 	1	 
2	 1	 1	 1	1088 	1	 
