Block	Pair_type	Feedback_type	Side	RT	ACC
1	 2	 0	 1	1618 	1	 
1	 1	 1	 1	728 	0	 
1	 2	 1	 1	658 	1	 
1	 3	 0	 2	817 	0	 
1	 1	 0	 2	1234 	0	 
1	 3	 1	 1	1128 	1	 
1	 1	 1	 1	730 	0	 
1	 2	 1	 1	621 	1	 
1	 1	 1	 2	975 	0	 
1	 3	 1	 2	769 	1	 
1	 1	 1	 1	995 	0	 
1	 1	 1	 2	756 	0	 
1	 2	 1	 1	830 	0	 
1	 2	 1	 2	868 	1	 
1	 3	 1	 2	1498 	0	 
1	 3	 1	 1	676 	0	 
1	 1	 0	 2	486 	0	 
1	 3	 0	 1	775 	0	 
1	 3	 0	 1	1242 	0	 
1	 2	 0	 1	900 	1	 
1	 1	 1	 1	702 	0	 
1	 1	 0	 1	1004 	0	 
1	 2	 0	 2	993 	1	 
1	 2	 1	 2	1239 	0	 
1	 2	 1	 2	649 	1	 
1	 3	 1	 2	1547 	0	 
1	 2	 0	 1	1105 	1	 
1	 1	 1	 2	846 	0	 
1	 1	 1	 2	964 	0	 
1	 1	 1	 2	1262 	1	 
1	 3	 1	 2	1372 	1	 
1	 3	 0	 2	873 	0	 
1	 3	 0	 2	916 	0	 
1	 2	 1	 1	937 	1	 
1	 2	 1	 1	719 	1	 
1	 3	 1	 2	1257 	0	 
1	 2	 0	 2	1219 	1	 
1	 3	 1	 1	577 	1	 
1	 3	 0	 1	1339 	0	 
1	 2	 0	 2	928 	1	 
1	 2	 1	 2	626 	0	 
1	 3	 0	 2	1032 	0	 
1	 3	 1	 1	830 	0	 
1	 2	 1	 1	1035 	1	 
1	 1	 1	 1	1633 	0	 
1	 2	 1	 2	0 	missed	 
1	 1	 1	 1	766 	0	 
1	 2	 1	 2	679 	0	 
1	 3	 0	 1	997 	0	 
1	 1	 1	 2	935 	1	 
1	 3	 1	 2	1008 	1	 
1	 1	 0	 1	751 	1	 
1	 1	 1	 2	1117 	1	 
1	 1	 1	 1	970 	0	 
1	 2	 1	 1	676 	1	 
1	 3	 1	 1	894 	0	 
1	 2	 1	 2	768 	0	 
1	 1	 1	 2	1329 	0	 
1	 3	 1	 1	935 	0	 
1	 1	 1	 1	1205 	0	 
2	 1	 0	 2	1158 	1	 
2	 3	 0	 2	964 	0	 
2	 2	 1	 2	942 	0	 
2	 2	 1	 1	884 	0	 
2	 3	 0	 1	1234 	1	 
2	 2	 1	 2	1144 	0	 
2	 1	 1	 2	1522 	1	 
2	 1	 1	 2	1067 	1	 
2	 2	 0	 1	909 	0	 
2	 3	 1	 2	1012 	1	 
2	 1	 1	 1	1153 	1	 
2	 1	 1	 1	987 	1	 
2	 2	 1	 2	693 	0	 
2	 1	 0	 2	714 	1	 
2	 3	 1	 1	1140 	1	 
2	 3	 0	 2	1422 	1	 
2	 1	 1	 1	1312 	1	 
2	 1	 1	 2	982 	1	 
2	 3	 0	 1	919 	1	 
2	 2	 0	 1	1049 	1	 
2	 3	 1	 2	1155 	1	 
2	 3	 0	 1	908 	1	 
2	 1	 1	 2	910 	1	 
2	 1	 1	 2	1248 	1	 
2	 2	 1	 1	1234 	0	 
2	 3	 1	 2	1595 	0	 
2	 1	 0	 1	621 	1	 
2	 2	 1	 2	935 	0	 
2	 3	 1	 1	1449 	1	 
2	 3	 1	 1	1474 	1	 
2	 2	 1	 2	881 	0	 
2	 3	 1	 2	1270 	1	 
2	 1	 1	 1	736 	1	 
2	 1	 1	 2	1370 	1	 
2	 2	 1	 1	712 	0	 
2	 2	 1	 2	569 	0	 
2	 2	 1	 1	667 	0	 
2	 1	 1	 2	1017 	1	 
2	 1	 1	 1	747 	1	 
2	 2	 1	 2	800 	0	 
2	 3	 1	 1	1150 	0	 
2	 3	 1	 1	1328 	1	 
2	 3	 0	 2	834 	1	 
2	 3	 1	 1	643 	1	 
2	 3	 0	 1	605 	1	 
2	 1	 1	 1	891 	1	 
2	 2	 0	 2	657 	0	 
2	 1	 1	 2	788 	1	 
2	 2	 0	 2	750 	0	 
2	 1	 1	 1	775 	1	 
2	 3	 0	 2	1122 	1	 
2	 2	 0	 1	671 	0	 
2	 2	 1	 1	753 	0	 
2	 1	 1	 1	1063 	1	 
2	 1	 0	 1	520 	1	 
2	 2	 0	 2	806 	0	 
2	 2	 1	 1	681 	0	 
2	 3	 1	 2	958 	1	 
2	 2	 1	 1	621 	0	 
2	 3	 1	 2	1047 	0	 
3	 1	 1	 1	696 	1	 
3	 3	 1	 2	810 	1	 
3	 1	 1	 1	792 	1	 
3	 1	 1	 1	806 	1	 
3	 2	 1	 1	684 	0	 
3	 3	 0	 2	1070 	1	 
3	 2	 1	 2	688 	0	 
3	 2	 1	 2	905 	0	 
3	 1	 0	 1	903 	1	 
3	 1	 1	 2	1025 	1	 
