Block	Pair_type	Feedback_type	Side	RT	ACC
3	 3	 1	 1	586 	1	 
3	 3	 0	 1	916 	1	 
3	 3	 1	 1	581 	1	 
3	 2	 1	 1	735 	1	 
3	 2	 1	 2	617 	1	 
3	 2	 1	 1	547 	1	 
3	 2	 1	 2	477 	1	 
4	 1	 1	 1	686 	1	 
4	 2	 1	 1	576 	1	 
4	 3	 0	 2	810 	1	 
4	 1	 1	 2	972 	1	 
4	 1	 0	 1	1245 	1	 
4	 3	 0	 2	883 	1	 
4	 1	 1	 1	673 	1	 
4	 3	 1	 2	947 	0	 
4	 2	 1	 2	700 	1	 
4	 1	 1	 2	926 	1	 
4	 2	 1	 1	752 	1	 
4	 2	 1	 2	574 	1	 
4	 1	 0	 1	576 	1	 
4	 2	 1	 1	678 	1	 
4	 1	 0	 2	755 	1	 
4	 1	 1	 2	593 	1	 
4	 3	 0	 1	1235 	1	 
4	 3	 0	 2	1045 	1	 
4	 3	 1	 2	670 	0	 
4	 2	 0	 2	644 	1	 
4	 3	 1	 2	834 	1	 
4	 2	 1	 2	520 	1	 
4	 3	 1	 2	925 	1	 
4	 1	 1	 1	696 	1	 
4	 2	 1	 2	1070 	1	 
4	 3	 1	 1	1091 	1	 
4	 1	 1	 1	709 	1	 
4	 1	 0	 2	699 	1	 
4	 1	 1	 1	1125 	1	 
4	 1	 1	 2	628 	1	 
4	 2	 1	 1	557 	1	 
4	 2	 1	 1	696 	1	 
4	 3	 0	 2	777 	1	 
4	 2	 1	 2	863 	1	 
4	 2	 1	 1	645 	1	 
4	 2	 0	 2	523 	1	 
4	 3	 0	 1	865 	1	 
4	 2	 0	 1	626 	1	 
4	 1	 1	 2	664 	1	 
4	 1	 1	 2	662 	1	 
4	 1	 1	 2	635 	1	 
4	 3	 1	 1	801 	1	 
4	 3	 1	 2	743 	1	 
4	 2	 1	 2	577 	1	 
4	 3	 1	 1	662 	1	 
4	 1	 1	 1	664 	0	 
4	 1	 1	 1	670 	1	 
4	 3	 1	 1	780 	1	 
4	 1	 1	 1	697 	1	 
4	 3	 0	 1	615 	1	 
4	 1	 1	 2	713 	1	 
4	 2	 1	 1	778 	1	 
4	 2	 1	 2	544 	1	 
4	 3	 0	 1	546 	1	 
4	 3	 1	 2	912 	1	 
4	 2	 0	 1	665 	1	 
4	 2	 0	 2	667 	1	 
4	 2	 0	 1	537 	1	 
4	 3	 1	 1	703 	1	 
4	 3	 1	 1	561 	1	 
5	 1	 1	 2	926 	1	 
5	 2	 1	 2	520 	1	 
5	 3	 0	 2	906 	1	 
5	 3	 0	 1	640 	1	 
5	 3	 0	 1	834 	1	 
5	 2	 1	 1	740 	1	 
5	 3	 0	 2	857 	1	 
5	 1	 0	 1	923 	1	 
5	 3	 1	 2	978 	0	 
5	 1	 1	 2	815 	1	 
5	 2	 0	 2	589 	1	 
5	 1	 1	 1	715 	1	 
5	 3	 0	 1	661 	0	 
5	 1	 1	 1	698 	1	 
5	 1	 1	 1	592 	1	 
5	 2	 1	 2	615 	1	 
5	 1	 1	 1	728 	1	 
5	 3	 1	 2	674 	0	 
5	 3	 1	 1	792 	0	 
5	 2	 1	 2	599 	1	 
5	 2	 0	 1	593 	1	 
5	 3	 0	 2	570 	0	 
5	 3	 0	 2	660 	0	 
5	 2	 1	 1	602 	1	 
5	 3	 1	 2	535 	0	 
5	 2	 1	 2	869 	1	 
5	 2	 1	 1	603 	1	 
5	 1	 0	 2	901 	1	 
5	 1	 1	 2	791 	1	 
5	 3	 1	 1	617 	0	 
5	 1	 1	 1	691 	0	 
5	 2	 1	 1	681 	1	 
5	 1	 1	 2	1319 	1	 
5	 1	 1	 2	809 	1	 
5	 3	 1	 1	971 	1	 
5	 1	 0	 1	909 	1	 
5	 2	 1	 2	1143 	1	 
5	 3	 1	 1	893 	0	 
5	 1	 1	 2	747 	1	 
5	 2	 0	 2	628 	1	 
