Side	RT	ACC	Type
1	1131 	1	13	 
1	864 	1	13	 
1	736 	1	13	 
1	781 	1	15	 
0	864 	1	12	 
1	808 	0	4	 
0	810 	1	5	 
1	636 	1	3	 
1	621 	1	15	 
0	671 	1	3	 
0	1094 	1	11	 
1	621 	1	11	 
0	582 	0	2	 
1	633 	1	11	 
1	883 	1	4	 
0	1418 	1	14	 
1	1251 	0	2	 
0	628 	1	10	 
0	517 	1	11	 
0	811 	1	8	 
1	836 	1	5	 
0	910 	1	9	 
0	579 	1	9	 
0	1070 	1	4	 
0	654 	1	12	 
1	703 	1	12	 
1	725 	1	1	 
1	779 	1	9	 
1	542 	0	9	 
1	794 	1	8	 
1	1036 	1	3	 
1	877 	0	4	 
0	629 	1	3	 
1	646 	1	14	 
0	670 	1	14	 
1	1054 	1	12	 
0	918 	0	9	 
1	1244 	1	11	 
0	813 	1	1	 
0	1326 	1	9	 
1	619 	1	14	 
1	885 	0	2	 
0	932 	1	6	 
0	1025 	0	2	 
1	611 	1	13	 
1	693 	1	10	 
0	835 	0	11	 
0	748 	1	11	 
1	697 	1	6	 
1	711 	1	13	 
1	1125 	1	3	 
1	699 	1	9	 
1	849 	1	11	 
0	969 	1	13	 
0	661 	1	15	 
1	837 	1	2	 
1	630 	1	10	 
0	479 	0	2	 
0	1294 	1	4	 
1	605 	1	1	 
1	655 	1	10	 
1	1031 	1	12	 
1	880 	1	1	 
1	631 	1	6	 
0	904 	1	15	 
1	711 	1	5	 
1	685 	1	14	 
0	884 	1	9	 
0	611 	0	2	 
1	540 	1	10	 
1	913 	1	2	 
0	1119 	1	3	 
0	773 	1	1	 
1	833 	1	5	 
1	970 	1	11	 
1	1118 	1	8	 
0	1251 	1	4	 
0	716 	1	1	 
1	1018 	0	7	 
1	1132 	1	5	 
0	1169 	1	10	 
1	788 	1	14	 
0	968 	0	4	 
0	587 	1	5	 
1	734 	1	14	 
0	900 	1	3	 
1	642 	1	3	 
0	891 	1	10	 
1	770 	1	6	 
1	710 	1	13	 
0	1091 	1	13	 
0	771 	1	10	 
1	1078 	0	14	 
0	869 	0	9	 
1	765 	1	12	 
0	817 	1	13	 
0	931 	1	7	 
1	1272 	1	5	 
1	760 	1	15	 
0	739 	1	6	 
0	1185 	1	13	 
1	948 	1	4	 
0	544 	1	6	 
0	956 	1	8	 
0	977 	1	15	 
0	780 	1	15	 
0	743 	1	7	 
0	596 	0	2	 
0	454 	1	6	 
0	1558 	1	14	 
0	891 	1	12	 
0	970 	1	5	 
1	958 	0	2	 
0	962 	1	10	 
0	1118 	0	15	 
1	1380 	1	3	 
1	767 	1	8	 
1	1027 	1	8	 
0	1164 	1	7	 
0	960 	1	13	 
1	955 	1	9	 
0	1504 	1	1	 
0	1103 	1	8	 
1	1109 	1	8	 
1	1259 	1	5	 
0	1091 	1	11	 
1	947 	1	1	 
1	991 	0	7	 
1	794 	1	6	 
1	629 	1	8	 
0	534 	1	12	 
1	659 	1	15	 
1	931 	1	6	 
1	1008 	1	4	 
1	786 	1	4	 
0	878 	1	8	 
0	613 	0	7	 
0	958 	1	5	 
1	667 	1	3	 
0	514 	1	5	 
0	688 	1	15	 
1	735 	1	11	 
1	644 	1	6	 
0	1285 	1	14	 
0	556 	1	1	 
0	712 	1	5	 
1	798 	1	1	 
1	840 	0	2	 
0	913 	1	6	 
1	751 	1	10	 
1	1211 	0	7	 
0	925 	1	1	 
0	611 	1	12	 
1	1165 	0	7	 
0	817 	1	14	 
1	922 	1	15	 
1	640 	0	7	 
1	929 	0	9	 
0	862 	1	14	 
0	1494 	1	4	 
0	1437 	0	7	 
0	734 	1	4	 
0	771 	1	7	 
1	871 	1	10	 
1	1343 	1	9	 
0	731 	1	10	 
0	1024 	1	3	 
0	858 	1	8	 
0	698 	1	11	 
1	913 	0	15	 
1	1118 	1	1	 
0	964 	1	8	 
0	1248 	1	3	 
0	617 	0	2	 
1	674 	1	12	 
1	1138 	0	7	 
0	607 	1	12	 
0	690 	1	13	 
1	737 	1	12	 
0	574 	1	6	 
