Side	RT	ACC	Type
0	0 	missed	14	 
1	708 	0	5	 
1	203 	1	1	 
1	325 	0	10	 
0	387 	1	7	 
1	294 	0	1	 
1	716 	1	8	 
0	362 	0	2	 
0	341 	1	11	 
1	674 	0	3	 
1	1202 	1	11	 
0	597 	1	4	 
0	727 	1	8	 
1	996 	0	11	 
1	351 	1	10	 
1	403 	0	4	 
1	565 	0	8	 
1	545 	1	14	 
0	118 	0	3	 
0	483 	1	1	 
1	306 	0	6	 
0	344 	1	2	 
1	525 	0	2	 
1	370 	1	11	 
1	270 	0	4	 
0	414 	0	1	 
0	303 	0	13	 
1	294 	0	8	 
0	1020 	1	11	 
0	934 	0	5	 
1	419 	0	5	 
1	501 	1	2	 
0	523 	1	1	 
1	361 	0	6	 
1	565 	0	3	 
0	504 	0	6	 
0	431 	1	14	 
1	312 	1	9	 
0	381 	0	4	 
1	368 	1	7	 
1	412 	1	2	 
0	358 	0	14	 
0	322 	0	4	 
0	376 	0	6	 
0	643 	0	3	 
1	315 	0	5	 
1	329 	0	13	 
1	358 	0	4	 
0	466 	0	15	 
1	330 	0	4	 
1	415 	1	12	 
0	336 	0	6	 
1	525 	1	12	 
1	427 	1	13	 
0	652 	1	7	 
0	477 	0	7	 
1	564 	0	7	 
1	391 	0	5	 
0	362 	0	9	 
0	494 	0	5	 
0	460 	1	15	 
0	460 	0	9	 
0	724 	0	12	 
1	354 	1	9	 
0	406 	0	3	 
0	424 	1	11	 
0	426 	1	2	 
0	403 	0	15	 
0	325 	1	10	 
1	451 	1	15	 
1	507 	0	3	 
0	1314 	0	10	 
1	328 	1	7	 
0	501 	1	8	 
0	283 	0	9	 
1	410 	1	10	 
0	372 	0	7	 
0	351 	0	5	 
0	380 	1	15	 
0	1447 	1	11	 
1	647 	0	2	 
0	344 	0	15	 
0	340 	1	4	 
0	553 	1	10	 
0	373 	1	13	 
1	521 	0	10	 
0	447 	0	5	 
0	303 	1	10	 
0	309 	1	14	 
1	267 	0	12	 
0	923 	0	12	 
1	393 	0	15	 
0	251 	0	10	 
1	491 	0	4	 
1	418 	0	14	 
1	316 	1	6	 
0	762 	0	5	 
0	653 	1	2	 
1	830 	1	15	 
1	511 	0	6	 
1	501 	0	1	 
0	475 	1	8	 
0	683 	0	13	 
0	546 	0	12	 
1	486 	0	12	 
0	469 	1	9	 
0	325 	1	4	 
0	443 	1	6	 
0	475 	1	3	 
1	715 	1	1	 
0	320 	1	11	 
1	494 	1	3	 
0	412 	0	9	 
1	318 	1	3	 
1	428 	0	11	 
0	397 	0	8	 
0	399 	0	11	 
0	457 	1	12	 
0	770 	1	14	 
1	318 	1	14	 
1	531 	0	8	 
0	352 	1	1	 
0	429 	0	1	 
1	310 	0	12	 
0	723 	1	8	 
1	545 	1	13	 
1	334 	0	8	 
1	91 	0	1	 
1	673 	1	15	 
1	377 	1	14	 
1	436 	1	4	 
0	357 	1	4	 
1	722 	1	2	 
0	455 	0	7	 
1	392 	0	7	 
0	595 	0	6	 
1	381 	0	13	 
1	392 	0	5	 
1	307 	0	9	 
0	833 	1	3	 
1	555 	0	7	 
1	407 	1	9	 
0	353 	0	3	 
0	318 	0	13	 
1	395 	1	10	 
0	590 	0	14	 
0	465 	0	1	 
1	296 	0	2	 
1	263 	0	13	 
0	342 	0	6	 
0	283 	0	2	 
0	322 	1	10	 
1	591 	1	11	 
1	298 	0	15	 
0	409 	0	12	 
1	395 	1	14	 
0	461 	0	2	 
1	373 	0	11	 
1	353 	0	9	 
0	285 	1	5	 
1	332 	1	10	 
0	297 	1	12	 
1	343 	0	14	 
1	628 	1	6	 
0	605 	1	13	 
1	783 	1	9	 
0	418 	1	8	 
1	372 	0	1	 
1	384 	1	15	 
0	211 	0	7	 
1	364 	0	8	 
1	272 	0	5	 
1	528 	0	13	 
1	389 	0	3	 
1	504 	0	7	 
0	358 	0	13	 
0	330 	0	15	 
0	383 	0	9	 
1	418 	0	6	 
1	356 	0	12	 
