Side	RT	ACC	Type
1	1185 	1	9	 
1	961 	1	7	 
0	969 	0	4	 
1	721 	1	9	 
0	1011 	1	15	 
1	762 	1	8	 
1	986 	1	12	 
1	658 	1	6	 
1	1102 	0	9	 
0	737 	0	2	 
1	1307 	0	9	 
0	702 	1	12	 
0	681 	1	6	 
0	780 	0	2	 
0	1172 	0	2	 
0	1100 	1	8	 
1	879 	1	12	 
0	1139 	1	8	 
1	853 	1	1	 
0	818 	1	15	 
1	1336 	1	1	 
0	922 	1	13	 
1	940 	1	11	 
0	717 	1	11	 
1	1296 	1	1	 
0	699 	0	2	 
0	1326 	0	14	 
1	855 	0	2	 
0	924 	1	10	 
1	1287 	1	15	 
1	674 	1	6	 
0	686 	1	10	 
1	1578 	1	5	 
1	762 	1	1	 
0	1306 	1	3	 
0	1125 	1	5	 
0	824 	1	1	 
0	830 	0	2	 
1	875 	0	4	 
0	687 	0	10	 
1	994 	1	15	 
0	1377 	1	9	 
1	921 	0	4	 
0	1379 	1	5	 
1	1083 	1	13	 
0	1031 	1	9	 
1	1661 	1	15	 
1	857 	0	2	 
0	646 	1	12	 
0	1235 	1	14	 
1	881 	1	12	 
0	764 	1	12	 
1	908 	1	13	 
0	1047 	1	7	 
1	1516 	1	9	 
1	1255 	1	3	 
0	676 	1	6	 
1	1575 	1	13	 
1	960 	1	15	 
0	0 	missed	14	 
1	199 	1	6	 
1	918 	1	3	 
1	992 	1	9	 
0	1055 	1	15	 
1	1108 	1	11	 
1	1015 	1	5	 
0	1054 	1	13	 
1	1043 	0	4	 
1	640 	1	12	 
0	973 	1	1	 
0	1638 	1	3	 
0	963 	0	14	 
0	1068 	1	15	 
0	1296 	1	9	 
1	779 	1	10	 
0	779 	1	6	 
1	738 	0	14	 
0	852 	0	4	 
1	729 	1	10	 
1	794 	1	11	 
0	1129 	0	7	 
1	867 	1	8	 
0	815 	1	11	 
1	965 	0	4	 
1	1398 	0	14	 
0	0 	missed	9	 
1	996 	0	14	 
0	875 	1	8	 
1	1007 	1	13	 
0	678 	1	6	 
0	994 	0	7	 
0	865 	1	8	 
0	1053 	1	11	 
0	970 	1	3	 
0	970 	1	7	 
1	842 	1	8	 
0	983 	1	12	 
1	1071 	0	14	 
0	1227 	0	3	 
0	857 	0	4	 
1	982 	1	11	 
0	1030 	1	7	 
0	771 	1	1	 
0	811 	1	6	 
1	826 	0	5	 
0	951 	1	8	 
1	832 	1	3	 
0	830 	1	1	 
0	923 	1	11	 
0	1022 	0	4	 
1	644 	0	2	 
1	761 	1	15	 
0	913 	0	2	 
0	899 	1	13	 
1	1182 	1	7	 
1	1142 	1	15	 
1	904 	1	5	 
0	715 	1	6	 
0	805 	1	15	 
1	996 	0	14	 
1	811 	0	5	 
0	713 	1	10	 
1	883 	1	1	 
0	1159 	1	5	 
1	1408 	1	7	 
1	863 	1	8	 
1	955 	1	13	 
0	868 	1	5	 
1	664 	1	6	 
1	621 	1	11	 
1	1003 	1	7	 
1	938 	0	13	 
1	715 	0	2	 
1	638 	0	2	 
0	819 	1	5	 
0	649 	1	10	 
1	566 	1	10	 
1	1254 	1	5	 
1	803 	1	3	 
0	938 	1	13	 
0	940 	0	4	 
0	1014 	1	13	 
1	852 	1	10	 
0	1385 	0	14	 
1	737 	1	6	 
1	642 	0	14	 
1	887 	1	1	 
1	707 	1	10	 
1	686 	1	12	 
0	1353 	0	14	 
1	690 	1	4	 
0	798 	1	10	 
0	989 	1	3	 
1	916 	1	7	 
1	719 	1	10	 
0	881 	0	4	 
1	892 	1	8	 
1	1352 	0	4	 
0	0 	missed	9	 
0	952 	1	12	 
1	625 	0	2	 
0	567 	1	11	 
0	904 	1	13	 
1	931 	1	7	 
0	892 	1	5	 
0	895 	1	1	 
1	882 	1	3	 
0	814 	1	8	 
0	756 	1	15	 
0	669 	1	12	 
0	1089 	1	9	 
1	861 	1	8	 
0	961 	1	1	 
1	961 	1	12	 
0	553 	1	11	 
0	1050 	1	3	 
1	751 	1	11	 
1	992 	1	3	 
1	592 	1	6	 
0	599 	1	7	 
