Side	RT	ACC	Type
1	1022 	0	6	 
1	731 	0	13	 
1	915 	1	8	 
0	628 	0	15	 
1	1008 	1	6	 
0	1038 	0	4	 
0	842 	0	2	 
1	814 	1	7	 
1	1075 	1	1	 
0	1366 	0	4	 
1	725 	1	4	 
0	1005 	1	11	 
1	779 	1	9	 
1	737 	1	2	 
0	1241 	1	13	 
1	773 	1	7	 
1	900 	1	11	 
0	678 	1	14	 
1	648 	0	6	 
1	739 	1	7	 
1	579 	1	4	 
1	865 	1	1	 
0	612 	0	5	 
1	1145 	1	4	 
1	1184 	1	3	 
1	1359 	1	1	 
1	1414 	1	11	 
0	1107 	0	5	 
0	733 	1	14	 
0	1021 	0	2	 
1	730 	0	12	 
0	1290 	0	2	 
1	668 	1	14	 
0	511 	0	12	 
0	768 	1	1	 
0	1102 	0	13	 
0	560 	0	12	 
1	871 	1	8	 
1	697 	0	12	 
1	643 	1	1	 
0	670 	0	11	 
1	633 	0	3	 
0	893 	1	3	 
0	527 	1	13	 
1	831 	1	11	 
0	691 	1	8	 
0	733 	1	2	 
0	485 	1	9	 
1	687 	0	7	 
1	521 	0	12	 
0	762 	1	8	 
1	649 	0	5	 
0	548 	1	14	 
0	803 	1	1	 
1	633 	1	14	 
1	901 	1	9	 
0	702 	0	12	 
0	1216 	0	7	 
0	861 	1	10	 
0	1104 	0	3	 
1	1081 	0	5	 
1	787 	1	6	 
0	993 	1	3	 
1	607 	1	11	 
0	700 	0	5	 
1	726 	1	10	 
0	775 	1	4	 
1	837 	1	13	 
0	737 	1	14	 
1	794 	1	8	 
1	1151 	0	15	 
0	911 	0	3	 
0	935 	0	12	 
0	760 	1	6	 
1	654 	0	15	 
0	818 	1	4	 
1	991 	1	3	 
1	709 	1	2	 
0	782 	1	14	 
1	788 	0	5	 
0	562 	1	13	 
1	593 	1	10	 
1	1022 	0	15	 
0	499 	1	14	 
0	709 	1	1	 
0	574 	1	9	 
1	613 	1	6	 
0	754 	1	6	 
1	529 	1	7	 
1	569 	1	6	 
0	544 	0	12	 
1	511 	0	15	 
0	424 	0	15	 
0	765 	1	6	 
0	667 	1	9	 
0	630 	1	10	 
0	570 	1	7	 
1	609 	1	8	 
1	558 	1	4	 
0	686 	1	3	 
1	592 	0	15	 
1	614 	1	4	 
0	1179 	0	11	 
0	569 	0	15	 
1	639 	1	11	 
1	1028 	1	3	 
1	576 	1	13	 
0	679 	0	7	 
1	729 	0	13	 
1	641 	1	10	 
0	1125 	1	10	 
0	742 	0	8	 
0	598 	0	15	 
0	1051 	0	13	 
0	711 	1	9	 
1	759 	0	2	 
1	1190 	1	1	 
0	1020 	1	8	 
0	649 	1	9	 
1	629 	1	14	 
0	1017 	1	9	 
1	1422 	1	8	 
0	1163 	1	10	 
1	890 	1	10	 
1	1676 	1	14	 
1	0 	missed	12	 
1	844 	1	4	 
1	519 	0	5	 
0	976 	1	10	 
0	1070 	1	11	 
0	641 	0	12	 
1	637 	1	3	 
1	753 	1	2	 
0	625 	1	4	 
0	757 	0	15	 
0	661 	1	3	 
0	848 	1	1	 
0	667 	1	10	 
1	870 	1	8	 
1	0 	missed	2	 
1	518 	0	5	 
0	839 	0	7	 
0	563 	0	5	 
0	746 	1	6	 
0	745 	0	5	 
1	545 	1	9	 
1	840 	0	15	 
1	1100 	1	9	 
1	718 	0	2	 
1	591 	1	9	 
1	693 	1	11	 
0	846 	1	7	 
0	730 	1	11	 
0	546 	0	13	 
0	1209 	1	6	 
1	702 	0	13	 
0	656 	0	2	 
0	819 	0	7	 
1	696 	1	10	 
0	817 	1	8	 
1	790 	0	12	 
0	652 	1	1	 
1	631 	1	13	 
1	748 	1	14	 
1	475 	1	14	 
1	558 	1	3	 
0	709 	1	8	 
0	583 	1	4	 
1	676 	1	10	 
0	687 	1	6	 
1	769 	1	7	 
1	887 	1	1	 
0	954 	0	15	 
0	697 	1	11	 
0	1275 	0	1	 
1	565 	0	5	 
1	588 	1	9	 
0	666 	0	2	 
1	549 	0	12	 
0	492 	0	5	 
