Side	RT	ACC	Type
1	1596 	0	4	 
1	0 	missed	8	 
1	1343 	1	5	 
1	1495 	0	2	 
0	1681 	1	6	 
0	1540 	1	13	 
1	900 	1	6	 
0	910 	1	1	 
1	1415 	0	2	 
1	0 	missed	7	 
0	1250 	0	14	 
1	1166 	1	1	 
1	1133 	1	5	 
1	1133 	1	10	 
1	1158 	1	8	 
0	1222 	1	8	 
1	1571 	1	7	 
1	1466 	1	13	 
1	1213 	1	13	 
0	1402 	1	3	 
0	1424 	0	2	 
0	1413 	0	14	 
0	1642 	1	6	 
0	0 	missed	10	 
1	1300 	1	3	 
0	1190 	1	13	 
1	1333 	0	9	 
0	1181 	1	8	 
1	0 	missed	11	 
0	1497 	0	14	 
0	995 	1	10	 
1	985 	1	13	 
1	1103 	1	10	 
1	953 	1	10	 
0	745 	1	12	 
1	625 	1	4	 
1	774 	1	6	 
0	852 	1	8	 
1	1304 	0	2	 
0	1146 	1	8	 
1	1026 	1	12	 
1	1374 	1	11	 
0	885 	1	5	 
1	1032 	0	9	 
0	676 	1	12	 
1	1174 	0	14	 
1	1157 	1	7	 
1	989 	1	12	 
0	1076 	1	3	 
1	1071 	1	5	 
1	938 	1	6	 
1	1442 	1	13	 
0	1310 	1	3	 
1	1047 	1	15	 
1	1491 	1	4	 
0	0 	missed	11	 
1	1067 	0	2	 
0	742 	1	10	 
1	0 	missed	7	 
1	1068 	1	3	 
1	823 	1	5	 
0	1372 	1	4	 
1	1547 	0	7	 
0	899 	1	15	 
0	1197 	0	9	 
1	1066 	1	15	 
0	958 	1	3	 
0	837 	1	15	 
0	1314 	0	9	 
1	891 	1	12	 
0	1021 	1	1	 
0	1106 	0	9	 
0	1324 	0	2	 
1	1093 	0	9	 
0	1255 	1	13	 
0	779 	1	12	 
1	961 	0	9	 
0	1288 	1	8	 
1	826 	0	2	 
0	1143 	1	11	 
0	854 	0	2	 
0	1026 	1	1	 
1	1030 	1	10	 
0	1323 	1	7	 
0	1244 	1	11	 
1	992 	1	11	 
1	1374 	1	8	 
0	1293 	0	9	 
1	903 	1	15	 
0	649 	1	1	 
1	700 	1	10	 
0	1166 	1	4	 
1	1269 	0	2	 
0	1144 	1	3	 
0	968 	1	6	 
0	927 	1	15	 
1	1367 	1	1	 
0	1263 	1	13	 
0	1082 	1	8	 
1	716 	1	12	 
0	1141 	1	1	 
0	1054 	1	6	 
0	1033 	1	13	 
0	1478 	1	7	 
1	824 	1	12	 
1	1429 	1	8	 
1	1154 	1	11	 
1	1409 	1	13	 
0	1119 	1	11	 
0	888 	1	12	 
1	682 	1	15	 
1	1140 	1	6	 
1	1173 	0	9	 
1	948 	1	1	 
1	1636 	1	8	 
1	968 	1	3	 
1	879 	1	10	 
0	754 	0	2	 
1	1657 	1	4	 
0	669 	1	10	 
0	1296 	0	14	 
0	666 	1	5	 
1	941 	1	15	 
0	661 	1	10	 
1	1048 	1	1	 
1	1204 	0	14	 
1	1138 	1	4	 
0	1538 	1	15	 
0	0 	missed	9	 
0	1289 	0	2	 
0	1347 	1	4	 
0	1515 	1	7	 
0	1196 	1	1	 
0	970 	1	10	 
1	1137 	0	14	 
0	1305 	1	6	 
1	1091 	1	12	 
1	1405 	1	4	 
0	1211 	0	14	 
0	1664 	0	4	 
1	1068 	1	11	 
0	1615 	0	9	 
1	1324 	0	14	 
0	1517 	0	2	 
0	1006 	1	6	 
0	1332 	1	7	 
1	1125 	1	13	 
1	1350 	1	5	 
0	1685 	1	4	 
1	1216 	1	6	 
0	925 	1	5	 
0	1294 	1	7	 
1	1192 	1	3	 
1	950 	1	6	 
1	830 	1	1	 
1	1162 	1	1	 
0	962 	1	3	 
1	1081 	0	14	 
0	963 	1	12	 
0	890 	1	15	 
1	1124 	1	8	 
0	646 	1	5	 
0	609 	1	5	 
1	1343 	0	14	 
1	863 	1	11	 
0	1098 	1	13	 
0	1011 	1	11	 
0	1168 	1	15	 
1	1647 	1	7	 
0	867 	1	5	 
1	1158 	1	3	 
0	1005 	1	12	 
1	1211 	1	15	 
1	1280 	1	3	 
1	691 	1	5	 
0	1141 	0	14	 
0	1317 	1	4	 
0	1311 	1	7	 
0	1144 	1	11	 
1	1031 	0	9	 
