Side	RT	ACC	Type
1	892 	1	12	 
1	751 	0	11	 
0	1616 	1	6	 
1	1111 	1	1	 
0	865 	1	5	 
0	741 	1	3	 
0	766 	1	14	 
0	1142 	1	4	 
0	1143 	1	15	 
1	784 	1	4	 
1	896 	0	7	 
1	947 	1	5	 
1	1259 	1	10	 
1	840 	0	7	 
0	813 	0	7	 
1	860 	1	1	 
0	744 	1	1	 
0	641 	0	15	 
1	1070 	1	11	 
0	1066 	1	6	 
0	950 	1	10	 
0	655 	1	2	 
1	836 	0	7	 
0	754 	0	8	 
0	538 	0	6	 
0	627 	1	3	 
1	849 	1	5	 
0	1054 	0	13	 
1	803 	1	14	 
0	1121 	0	14	 
1	923 	1	10	 
0	766 	1	1	 
1	1230 	0	6	 
1	1588 	1	15	 
0	1291 	1	2	 
1	927 	1	13	 
1	1161 	1	12	 
0	537 	1	12	 
1	970 	0	8	 
0	994 	0	6	 
1	921 	1	5	 
0	531 	1	1	 
0	789 	1	10	 
0	796 	1	14	 
0	587 	0	7	 
0	634 	1	3	 
1	1024 	1	11	 
1	630 	0	2	 
1	755 	1	2	 
1	1692 	0	9	 
0	855 	0	6	 
1	908 	0	9	 
1	919 	0	6	 
0	1361 	1	14	 
1	1098 	0	12	 
1	1061 	1	2	 
1	1153 	1	10	 
1	1154 	0	8	 
0	891 	0	8	 
0	974 	1	5	 
0	1054 	1	12	 
1	827 	1	6	 
1	961 	1	12	 
1	673 	1	10	 
0	925 	1	4	 
0	1215 	0	9	 
0	741 	1	14	 
1	999 	1	10	 
1	1070 	1	1	 
0	1098 	1	13	 
0	765 	0	15	 
1	429 	0	11	 
1	779 	1	2	 
0	538 	1	5	 
1	556 	0	15	 
1	573 	1	14	 
1	940 	1	10	 
0	942 	0	8	 
0	719 	1	1	 
1	1018 	1	15	 
1	808 	1	3	 
1	1118 	1	5	 
1	952 	1	14	 
0	1081 	0	8	 
1	1500 	0	6	 
1	879 	1	4	 
1	1098 	0	7	 
1	973 	0	8	 
0	550 	1	4	 
0	1231 	1	10	 
0	796 	1	11	 
1	547 	1	2	 
0	571 	1	4	 
1	795 	1	1	 
1	1522 	1	13	 
1	741 	1	5	 
0	1014 	1	12	 
0	884 	0	8	 
0	1008 	1	12	 
0	831 	0	7	 
1	796 	1	4	 
1	587 	1	2	 
0	746 	0	12	 
1	811 	1	9	 
1	1529 	0	6	 
1	1059 	1	3	 
0	1111 	1	13	 
1	898 	1	1	 
1	853 	1	4	 
1	1081 	0	15	 
0	1077 	0	11	 
0	1631 	1	13	 
0	845 	1	9	 
1	1058 	0	6	 
0	615 	1	2	 
0	1013 	0	9	 
1	1428 	0	12	 
0	1010 	1	1	 
1	840 	1	3	 
1	1285 	1	14	 
1	1160 	1	13	 
0	1529 	1	10	 
1	1002 	0	11	 
0	929 	1	10	 
0	1459 	0	12	 
0	1351 	1	2	 
0	728 	1	3	 
1	730 	1	13	 
1	1643 	0	8	 
1	1056 	1	14	 
0	869 	1	9	 
0	737 	0	7	 
0	602 	1	2	 
0	737 	1	14	 
0	875 	1	4	 
0	1207 	1	15	 
1	1342 	1	5	 
0	1151 	1	11	 
1	928 	0	7	 
1	1249 	0	9	 
1	1078 	0	8	 
1	922 	1	3	 
1	804 	1	13	 
1	0 	missed	11	 
1	866 	1	15	 
1	1031 	1	13	 
0	892 	1	11	 
0	855 	0	7	 
0	660 	1	3	 
1	896 	1	4	 
0	947 	1	13	 
0	972 	0	7	 
1	861 	1	1	 
0	513 	1	2	 
1	603 	1	3	 
0	954 	0	13	 
0	739 	1	5	 
0	828 	1	9	 
0	641 	1	5	 
1	863 	1	9	 
1	947 	0	8	 
1	0 	missed	15	 
0	691 	1	4	 
0	1327 	1	6	 
0	744 	1	1	 
0	649 	1	11	 
1	622 	1	9	 
0	788 	1	10	 
0	651 	0	15	 
0	832 	1	11	 
1	774 	1	12	 
1	821 	1	14	 
1	564 	1	3	 
1	620 	1	4	 
0	561 	1	9	 
0	609 	1	5	 
0	888 	0	15	 
0	499 	1	3	 
0	846 	0	8	 
1	554 	0	7	 
