Side	RT	ACC	Type
1	1297 	0	9	 
1	1166 	1	6	 
0	1010 	1	12	 
0	826 	1	8	 
0	683 	1	6	 
0	641 	1	2	 
0	1033 	1	8	 
1	586 	1	6	 
0	1324 	1	14	 
1	577 	1	12	 
0	675 	1	2	 
1	1258 	1	11	 
0	1090 	0	9	 
1	840 	1	8	 
1	1161 	1	4	 
0	1420 	0	8	 
1	0 	missed	8	 
1	839 	0	2	 
1	999 	1	5	 
1	1377 	0	9	 
0	867 	1	3	 
0	1090 	1	8	 
0	1233 	1	12	 
0	1409 	1	7	 
1	978 	1	12	 
1	820 	1	6	 
0	933 	1	12	 
0	1578 	0	14	 
1	972 	1	11	 
0	1063 	0	4	 
1	1110 	1	13	 
0	1075 	1	1	 
0	946 	1	9	 
1	838 	1	6	 
1	1086 	1	1	 
1	1173 	1	13	 
0	1192 	1	11	 
1	1154 	1	8	 
0	1110 	0	14	 
1	843 	1	5	 
0	835 	1	5	 
1	731 	0	2	 
0	871 	1	1	 
1	830 	1	1	 
1	910 	1	9	 
0	915 	0	14	 
0	584 	0	2	 
1	691 	1	11	 
1	769 	1	5	 
0	740 	0	14	 
1	1000 	1	15	 
1	1618 	1	10	 
1	1227 	1	3	 
0	867 	1	11	 
1	1122 	1	7	 
0	1231 	1	11	 
1	1016 	0	2	 
0	1577 	1	7	 
1	971 	1	12	 
0	1262 	1	3	 
1	933 	1	15	 
0	602 	1	15	 
0	691 	1	7	 
0	786 	1	1	 
1	1252 	1	11	 
0	1012 	0	4	 
1	805 	1	9	 
0	942 	1	8	 
1	963 	0	2	 
1	958 	0	14	 
1	1153 	1	5	 
1	949 	1	3	 
1	649 	1	10	 
1	1152 	1	3	 
0	1364 	1	13	 
1	1207 	1	4	 
1	969 	1	11	 
0	620 	1	6	 
1	613 	1	12	 
0	1470 	0	14	 
0	1629 	1	4	 
0	845 	1	5	 
0	805 	1	6	 
0	671 	1	6	 
0	782 	1	10	 
1	784 	1	8	 
1	658 	1	1	 
0	850 	1	3	 
1	697 	1	4	 
1	791 	1	6	 
1	1265 	1	7	 
1	1120 	1	13	 
0	989 	1	8	 
0	968 	1	13	 
0	1243 	1	7	 
0	946 	1	4	 
1	1046 	1	13	 
0	926 	0	2	 
0	946 	1	13	 
1	670 	1	8	 
1	765 	1	7	 
0	616 	1	10	 
0	913 	1	15	 
1	893 	1	3	 
1	923 	1	1	 
1	696 	1	1	 
1	982 	0	14	 
0	664 	1	3	 
1	943 	0	14	 
1	651 	1	3	 
0	466 	1	12	 
1	577 	0	2	 
0	435 	1	11	 
0	995 	1	7	 
0	501 	1	10	 
1	891 	0	14	 
1	945 	1	15	 
1	717 	1	10	 
1	1306 	0	14	 
0	999 	1	7	 
0	697 	1	9	 
0	967 	1	5	 
1	1106 	1	1	 
1	791 	1	7	 
0	746 	1	6	 
1	893 	1	7	 
0	827 	1	11	 
0	1003 	1	3	 
1	853 	1	9	 
1	1205 	1	13	 
0	814 	1	5	 
1	871 	1	4	 
1	1014 	1	8	 
0	1079 	1	15	 
0	990 	1	12	 
1	960 	1	5	 
0	995 	1	13	 
0	637 	0	2	 
1	525 	1	10	 
1	658 	1	10	 
1	1417 	1	13	 
0	1058 	1	9	 
1	1010 	1	15	 
0	763 	1	11	 
0	398 	1	10	 
0	528 	1	6	 
1	796 	1	5	 
1	589 	1	12	 
1	512 	1	6	 
0	972 	1	1	 
1	1015 	0	14	 
1	809 	1	4	 
0	546 	0	2	 
0	526 	1	12	 
0	771 	1	1	 
0	525 	1	10	 
0	714 	1	15	 
1	671 	1	7	 
0	1006 	1	15	 
1	912 	1	15	 
0	837 	1	1	 
1	869 	1	4	 
0	892 	1	5	 
0	1002 	0	9	 
0	1036 	1	3	 
1	588 	1	12	 
0	1015 	1	13	 
1	880 	1	15	 
0	598 	1	10	 
0	1039 	1	4	 
1	496 	1	10	 
1	765 	1	3	 
1	560 	0	2	 
0	1099 	1	13	 
0	753 	1	5	 
0	949 	1	4	 
1	776 	1	9	 
1	691 	1	11	 
0	897 	1	15	 
0	790 	1	9	 
