Side	RT	ACC	Type
0	1332 	0	15	 
1	1205 	1	9	 
1	739 	1	2	 
1	1004 	1	15	 
1	787 	1	1	 
1	602 	1	4	 
0	728 	1	12	 
1	785 	1	10	 
0	984 	1	9	 
1	599 	1	5	 
0	926 	1	4	 
0	783 	1	13	 
0	766 	1	9	 
0	982 	1	6	 
0	821 	1	10	 
0	1042 	1	9	 
0	983 	0	9	 
0	934 	1	11	 
0	639 	1	12	 
1	1076 	1	13	 
1	983 	0	11	 
0	998 	0	7	 
0	1061 	1	2	 
1	712 	1	13	 
1	874 	1	11	 
1	750 	0	2	 
0	894 	1	8	 
1	625 	1	4	 
0	726 	1	5	 
1	791 	1	8	 
1	1102 	0	14	 
1	641 	1	3	 
0	998 	1	1	 
0	860 	1	13	 
1	688 	1	15	 
1	763 	1	1	 
1	875 	1	10	 
1	894 	1	13	 
1	761 	1	10	 
1	889 	0	2	 
0	804 	1	12	 
0	834 	1	6	 
1	1063 	1	7	 
0	955 	1	11	 
0	803 	1	1	 
0	794 	1	8	 
0	840 	1	5	 
1	845 	1	14	 
0	913 	1	11	 
0	611 	1	10	 
1	809 	1	10	 
1	766 	0	2	 
1	678 	1	7	 
0	1057 	1	11	 
0	998 	1	3	 
0	732 	1	1	 
1	1157 	0	9	 
0	694 	1	6	 
1	896 	0	11	 
0	890 	1	1	 
0	821 	1	15	 
0	747 	0	14	 
1	724 	1	5	 
0	853 	1	3	 
1	834 	0	7	 
0	967 	1	12	 
0	894 	1	8	 
1	753 	1	3	 
0	737 	1	2	 
1	738 	0	2	 
1	675 	1	6	 
0	999 	1	13	 
0	1085 	0	14	 
1	808 	1	6	 
1	1087 	1	15	 
1	842 	1	3	 
1	671 	1	9	 
1	875 	1	1	 
1	918 	0	15	 
0	1024 	1	9	 
1	958 	1	8	 
1	1118 	0	7	 
0	792 	0	2	 
1	767 	1	1	 
1	727 	1	12	 
0	1064 	1	5	 
0	1044 	1	10	 
1	912 	1	8	 
0	1210 	1	8	 
0	760 	0	4	 
0	807 	0	4	 
1	774 	1	12	 
1	606 	1	12	 
1	996 	1	10	 
0	866 	1	13	 
0	990 	1	5	 
1	757 	1	5	 
1	829 	1	2	 
0	1090 	1	6	 
0	870 	1	15	 
1	937 	1	14	 
1	1066 	1	13	 
1	718 	1	11	 
0	1056 	1	14	 
0	924 	1	3	 
0	1078 	1	15	 
1	633 	0	11	 
1	830 	1	4	 
1	779 	1	10	 
1	850 	0	14	 
0	879 	1	7	 
0	714 	1	13	 
1	675 	1	5	 
1	1023 	1	7	 
0	797 	1	7	 
0	843 	0	14	 
0	992 	0	2	 
0	695 	1	3	 
1	769 	0	4	 
0	777 	1	6	 
1	920 	1	12	 
0	906 	1	7	 
1	812 	1	6	 
1	722 	1	9	 
1	715 	1	3	 
1	1053 	0	7	 
1	1026 	1	3	 
1	847 	1	6	 
1	884 	1	5	 
0	887 	1	6	 
0	1194 	1	15	 
0	1120 	1	5	 
1	978 	1	3	 
0	737 	0	4	 
1	874 	1	13	 
0	934 	1	10	 
0	815 	1	5	 
1	685 	1	6	 
1	632 	1	4	 
0	605 	1	4	 
0	563 	1	4	 
0	715 	1	13	 
0	948 	1	7	 
1	829 	1	6	 
1	610 	1	11	 
0	1072 	1	7	 
0	707 	1	1	 
1	950 	1	14	 
1	654 	1	12	 
1	875 	1	1	 
1	726 	1	15	 
1	711 	1	9	 
0	761 	1	3	 
1	785 	1	8	 
0	824 	1	8	 
0	741 	1	8	 
1	1038 	1	14	 
0	620 	1	2	 
0	569 	1	10	 
1	857 	1	5	 
0	1205 	1	14	 
1	820 	1	8	 
0	793 	1	12	 
0	712 	1	12	 
0	841 	1	3	 
0	678 	1	11	 
1	737 	1	15	 
0	930 	0	2	 
1	643 	1	4	 
0	591 	1	10	 
1	662 	1	8	 
0	738 	1	15	 
1	939 	1	13	 
0	732 	1	1	 
0	677 	1	11	 
0	1144 	1	9	 
1	825 	1	12	 
0	1094 	1	14	 
1	1129 	1	1	 
1	1114 	1	9	 
