Side	RT	ACC	Type
1	1030 	1	1	 
1	764 	1	1	 
1	565 	1	4	 
1	1222 	1	11	 
1	1269 	1	10	 
0	946 	1	3	 
0	1148 	0	15	 
0	1637 	1	8	 
1	1404 	1	14	 
1	1156 	1	4	 
1	622 	1	1	 
1	1196 	0	15	 
0	1204 	1	12	 
1	612 	1	4	 
0	899 	1	10	 
0	1143 	1	15	 
0	880 	1	6	 
0	629 	1	6	 
0	467 	0	2	 
0	1040 	0	8	 
0	958 	1	4	 
0	808 	1	10	 
0	855 	1	1	 
0	1221 	0	9	 
0	716 	0	2	 
1	1031 	1	14	 
0	830 	1	3	 
0	1100 	1	13	 
0	655 	1	11	 
0	717 	1	3	 
0	872 	1	6	 
1	861 	1	3	 
1	610 	1	2	 
0	1081 	0	14	 
0	1333 	1	13	 
1	1264 	0	7	 
0	1493 	0	15	 
1	873 	1	5	 
0	998 	1	4	 
1	917 	1	7	 
0	920 	0	13	 
0	1275 	0	10	 
1	889 	0	14	 
0	1173 	1	15	 
1	1286 	1	8	 
1	866 	1	8	 
1	815 	1	12	 
1	766 	1	12	 
0	855 	1	5	 
0	1293 	0	13	 
1	985 	0	9	 
1	1209 	1	10	 
1	960 	1	10	 
0	737 	1	12	 
1	756 	1	11	 
0	821 	1	1	 
0	708 	1	10	 
0	744 	0	2	 
0	785 	1	5	 
1	1514 	1	8	 
1	685 	1	9	 
1	1097 	1	15	 
1	725 	1	15	 
0	624 	1	9	 
1	783 	1	3	 
1	615 	1	2	 
1	934 	1	6	 
1	952 	1	11	 
0	602 	1	10	 
0	625 	0	2	 
0	1104 	0	13	 
0	996 	1	8	 
0	980 	0	9	 
0	668 	1	4	 
1	905 	1	3	 
0	1101 	1	12	 
1	728 	1	4	 
0	747 	1	11	 
1	1364 	0	14	 
1	1021 	1	7	 
1	652 	1	5	 
0	786 	1	11	 
0	1162 	0	14	 
1	1075 	1	7	 
1	673 	1	5	 
0	0 	missed	14	 
0	869 	0	14	 
1	1034 	1	9	 
1	625 	1	1	 
0	600 	1	1	 
0	599 	1	3	 
0	1159 	1	7	 
1	993 	1	10	 
1	936 	1	9	 
0	786 	1	8	 
1	1147 	1	5	 
0	949 	1	4	 
0	1142 	1	4	 
0	1416 	1	9	 
1	1271 	0	8	 
0	740 	1	11	 
0	911 	1	5	 
0	786 	1	9	 
1	890 	0	13	 
1	742 	1	6	 
0	1312 	0	14	 
0	748 	1	11	 
1	893 	0	13	 
0	697 	1	5	 
1	1148 	1	9	 
1	766 	1	11	 
1	759 	1	8	 
1	808 	0	13	 
0	1032 	1	9	 
0	926 	0	13	 
1	760 	1	2	 
1	1145 	0	13	 
1	707 	1	6	 
1	823 	1	5	 
1	622 	1	1	 
0	717 	1	1	 
0	1376 	0	7	 
1	712 	1	7	 
1	675 	1	12	 
0	704 	1	3	 
0	996 	1	7	 
1	627 	1	10	 
1	841 	1	4	 
0	880 	1	4	 
1	684 	1	12	 
1	1048 	0	9	 
0	614 	1	12	 
1	877 	0	13	 
1	545 	1	11	 
1	763 	1	2	 
1	908 	1	7	 
1	583 	1	3	 
0	792 	1	1	 
1	768 	1	11	 
0	1185 	0	15	 
0	609 	1	12	 
0	872 	1	6	 
1	1373 	1	15	 
1	1158 	0	13	 
0	688 	0	2	 
0	796 	1	6	 
0	908 	1	14	 
1	648 	0	2	 
1	677 	1	2	 
1	914 	1	6	 
0	853 	1	10	 
1	1442 	1	1	 
0	968 	1	7	 
0	1273 	1	12	 
1	1166 	0	6	 
1	903 	1	10	 
1	715 	1	8	 
1	638 	1	3	 
1	844 	1	12	 
1	914 	1	4	 
1	1021 	0	14	 
0	916 	1	8	 
1	839 	1	15	 
1	885 	1	6	 
0	873 	1	2	 
0	838 	1	5	 
1	789 	1	3	 
0	1109 	1	8	 
1	864 	0	14	 
1	1381 	1	12	 
0	790 	1	1	 
0	1182 	1	7	 
0	998 	1	11	 
0	1206 	1	7	 
0	1102 	1	15	 
0	946 	1	3	 
1	1275 	1	15	 
0	864 	1	6	 
1	1093 	1	5	 
0	801 	1	5	 
