Side	RT	ACC	Type
0	880 	1	10	 
1	879 	0	5	 
1	1038 	1	8	 
0	775 	1	6	 
1	763 	0	3	 
1	863 	1	8	 
0	1038 	0	1	 
1	1023 	1	3	 
0	1097 	0	1	 
0	928 	0	15	 
0	813 	1	9	 
1	598 	1	11	 
1	753 	0	3	 
0	1053 	1	3	 
1	901 	0	2	 
0	796 	0	8	 
1	726 	1	14	 
1	747 	1	13	 
1	679 	0	3	 
0	574 	0	2	 
0	882 	1	10	 
1	1297 	1	1	 
0	560 	1	6	 
0	691 	0	15	 
1	834 	1	6	 
0	739 	1	11	 
0	736 	1	4	 
0	709 	0	13	 
1	699 	1	7	 
0	1290 	1	7	 
0	585 	0	2	 
1	804 	0	2	 
1	526 	1	10	 
0	851 	1	1	 
0	883 	1	9	 
1	602 	1	11	 
1	693 	1	14	 
0	659 	0	2	 
1	579 	1	12	 
1	670 	0	3	 
1	870 	0	4	 
0	814 	1	9	 
0	871 	1	12	 
1	735 	1	8	 
1	740 	1	6	 
1	697 	0	15	 
0	935 	0	5	 
1	644 	0	15	 
1	629 	0	14	 
0	838 	1	9	 
1	823 	1	9	 
0	776 	0	12	 
0	667 	1	9	 
0	635 	0	7	 
0	900 	1	12	 
1	1098 	0	4	 
1	897 	1	1	 
0	679 	1	10	 
0	686 	1	10	 
0	813 	1	4	 
1	975 	1	7	 
1	914 	0	5	 
0	1032 	0	15	 
1	969 	0	4	 
0	669 	1	6	 
1	868 	0	5	 
1	1580 	1	13	 
0	808 	0	7	 
1	978 	1	13	 
1	813 	1	13	 
1	975 	1	12	 
1	746 	1	14	 
0	751 	0	5	 
0	547 	1	6	 
1	663 	1	6	 
0	815 	1	12	 
0	521 	1	6	 
0	694 	1	11	 
0	804 	0	15	 
1	679 	0	15	 
1	502 	1	10	 
1	604 	1	11	 
0	622 	1	6	 
0	744 	0	5	 
1	700 	0	4	 
0	899 	1	12	 
1	473 	1	10	 
0	712 	0	7	 
1	582 	0	4	 
0	713 	1	14	 
1	871 	0	5	 
1	622 	0	2	 
1	568 	1	14	 
0	764 	1	4	 
0	719 	0	13	 
0	861 	1	11	 
1	709 	1	6	 
1	954 	1	7	 
0	631 	0	5	 
0	608 	0	15	 
0	1050 	1	3	 
1	898 	1	9	 
1	577 	1	12	 
1	1060 	0	1	 
0	987 	1	8	 
1	894 	1	6	 
0	869 	0	13	 
1	1109 	1	7	 
1	1130 	0	15	 
0	647 	0	5	 
0	984 	0	15	 
1	875 	1	10	 
1	994 	0	15	 
0	892 	1	10	 
0	0 	missed	12	 
1	966 	0	15	 
1	1090 	0	2	 
0	1217 	0	8	 
1	0 	missed	13	 
0	709 	1	10	 
0	851 	0	2	 
1	1251 	1	12	 
0	1252 	1	1	 
0	620 	0	2	 
1	918 	0	8	 
0	900 	1	3	 
0	794 	1	11	 
1	820 	1	11	 
1	790 	0	2	 
0	713 	0	5	 
1	815 	0	1	 
1	1416 	0	9	 
0	0 	missed	4	 
1	525 	1	11	 
1	706 	0	7	 
0	761 	0	8	 
0	740 	1	14	 
0	969 	0	7	 
0	885 	1	14	 
1	724 	0	6	 
1	658 	1	14	 
1	578 	0	8	 
0	741 	1	4	 
0	1010 	1	14	 
0	1308 	0	13	 
1	898 	0	1	 
1	593 	1	12	 
0	1019 	1	1	 
0	701 	1	11	 
0	571 	1	14	 
0	567 	1	4	 
0	610 	1	3	 
0	492 	0	2	 
1	851 	0	2	 
1	467 	1	10	 
0	955 	0	1	 
1	815 	0	7	 
1	1017 	0	1	 
0	858 	0	8	 
0	1363 	0	3	 
1	991 	0	5	 
1	682 	1	10	 
0	585 	0	8	 
0	628 	1	14	 
0	573 	1	13	 
1	568 	0	5	 
1	692 	1	9	 
1	683 	1	13	 
0	794 	1	13	 
1	532 	1	11	 
1	1081 	1	3	 
1	904 	1	4	 
1	783 	1	9	 
0	793 	1	3	 
1	644 	0	9	 
0	1020 	1	11	 
0	1126 	1	9	 
1	1027 	1	12	 
1	964 	0	8	 
0	920 	0	7	 
