Side	RT	ACC	Type
1	926 	0	2	 
1	0 	missed	2	 
1	844 	1	15	 
1	1672 	1	14	 
1	1139 	1	10	 
0	996 	1	12	 
0	1490 	1	4	 
1	1044 	1	3	 
1	1480 	0	9	 
1	1443 	1	2	 
0	0 	missed	9	 
0	1317 	0	7	 
1	934 	1	12	 
1	902 	1	8	 
0	1280 	0	9	 
0	1059 	1	6	 
0	830 	1	10	 
1	819 	1	15	 
0	1352 	0	14	 
1	944 	1	6	 
0	927 	1	9	 
0	1136 	1	9	 
0	1152 	1	9	 
1	1008 	1	10	 
0	846 	1	4	 
0	1266 	1	12	 
0	925 	1	6	 
0	1414 	1	2	 
0	1331 	1	4	 
1	1116 	1	8	 
1	949 	1	6	 
0	981 	1	12	 
0	931 	1	10	 
1	908 	1	12	 
1	997 	1	8	 
0	899 	1	5	 
0	909 	1	1	 
0	983 	1	8	 
0	1069 	1	14	 
1	896 	1	13	 
1	1154 	1	14	 
1	1554 	0	11	 
1	882 	1	9	 
1	876 	1	13	 
0	950 	1	15	 
0	1174 	1	11	 
0	973 	1	12	 
0	884 	1	1	 
0	1551 	0	7	 
0	895 	1	8	 
1	953 	1	10	 
1	864 	1	6	 
1	803 	1	12	 
1	777 	1	8	 
1	879 	1	1	 
1	1122 	1	5	 
1	947 	1	15	 
1	0 	missed	7	 
0	705 	1	5	 
0	738 	1	1	 
1	1107 	1	14	 
1	0 	missed	10	 
0	843 	1	1	 
0	1102 	0	2	 
1	824 	1	13	 
1	917 	1	12	 
1	1470 	0	7	 
0	1066 	1	3	 
1	1021 	1	13	 
1	1034 	1	3	 
0	1326 	1	14	 
1	1039 	1	5	 
1	1091 	1	11	 
1	934 	1	4	 
0	1254 	1	14	 
0	1050 	1	11	 
1	942 	1	4	 
1	822 	0	7	 
1	1003 	1	8	 
1	961 	1	5	 
0	880 	1	6	 
1	907 	1	11	 
1	868 	1	5	 
0	967 	0	2	 
1	1070 	1	7	 
1	922 	1	6	 
0	915 	1	8	 
1	844 	1	1	 
1	832 	1	1	 
0	1388 	1	9	 
0	1115 	1	11	 
1	916 	1	4	 
1	965 	0	2	 
0	860 	1	1	 
0	855 	1	5	 
0	907 	1	3	 
0	836 	1	4	 
0	937 	1	3	 
1	1401 	1	9	 
0	1159 	1	15	 
1	974 	0	7	 
1	1125 	1	10	 
1	1383 	1	14	 
1	1109 	0	2	 
0	966 	1	15	 
1	885 	0	7	 
1	1360 	1	9	 
0	887 	1	15	 
0	1417 	1	8	 
0	967 	1	12	 
0	950 	1	1	 
1	1053 	1	11	 
1	1105 	1	15	 
0	931 	1	13	 
0	1035 	1	6	 
1	920 	0	2	 
1	809 	1	3	 
1	606 	1	6	 
0	852 	1	12	 
0	783 	1	13	 
0	790 	1	6	 
1	740 	1	13	 
1	645 	1	3	 
0	1008 	1	5	 
1	1357 	1	9	 
0	741 	1	10	 
0	718 	1	13	 
0	1367 	0	7	 
0	670 	1	11	 
1	617 	0	11	 
0	598 	1	13	 
0	771 	1	7	 
1	955 	1	12	 
1	1106 	0	4	 
0	772 	1	11	 
1	835 	1	11	 
0	776 	1	8	 
0	959 	1	15	 
1	918 	1	1	 
0	855 	1	8	 
0	891 	1	13	 
1	846 	1	15	 
1	1177 	1	9	 
0	1024 	0	2	 
1	845 	1	10	 
0	865 	1	13	 
0	788 	1	10	 
0	874 	1	15	 
0	869 	1	6	 
1	920 	1	4	 
1	929 	1	5	 
1	954 	1	14	 
0	969 	1	11	 
1	1161 	1	15	 
0	856 	1	14	 
0	1027 	1	3	 
1	616 	1	6	 
1	877 	1	4	 
1	863 	1	5	 
0	954 	0	7	 
0	882 	0	2	 
0	997 	1	3	 
0	930 	1	5	 
1	827 	1	1	 
1	711 	1	3	 
0	832 	1	3	 
0	861 	1	5	 
0	912 	1	10	 
1	793 	1	3	 
0	902 	0	2	 
1	824 	1	1	 
0	1093 	1	4	 
1	887 	1	13	 
0	1065 	1	10	 
1	1005 	1	8	 
1	858 	1	12	 
0	862 	1	14	 
0	1097 	1	4	 
1	1179 	1	14	 
0	1129 	0	7	 
