Side	RT	ACC	Type
1	1171 	0	14	 
1	712 	1	2	 
1	711 	1	7	 
1	1150 	1	9	 
1	0 	missed	7	 
1	752 	1	12	 
1	966 	1	11	 
1	923 	1	15	 
1	938 	1	3	 
1	864 	1	10	 
1	769 	1	13	 
0	766 	1	13	 
1	691 	1	5	 
0	684 	1	5	 
1	796 	1	15	 
1	640 	1	4	 
0	626 	1	3	 
0	1037 	1	11	 
1	759 	1	8	 
0	1108 	1	7	 
0	780 	0	9	 
0	1624 	1	10	 
1	643 	1	3	 
0	773 	1	2	 
1	850 	1	6	 
1	764 	1	15	 
0	705 	1	2	 
1	664 	1	12	 
1	1097 	0	9	 
1	657 	1	5	 
0	803 	1	3	 
0	510 	1	2	 
1	533 	1	4	 
1	788 	1	11	 
1	616 	1	2	 
1	635 	1	13	 
0	765 	1	3	 
1	482 	1	1	 
1	810 	0	6	 
0	765 	1	10	 
1	634 	1	8	 
1	749 	1	9	 
1	778 	1	13	 
1	951 	1	8	 
0	1020 	1	6	 
0	975 	1	14	 
0	780 	1	3	 
0	769 	1	7	 
0	854 	1	4	 
0	735 	0	11	 
0	686 	1	12	 
1	518 	1	2	 
1	629 	1	12	 
0	543 	1	8	 
1	709 	1	8	 
0	532 	1	1	 
1	619 	1	10	 
0	694 	0	9	 
0	917 	1	12	 
0	684 	1	12	 
1	605 	1	5	 
1	728 	1	4	 
0	862 	1	2	 
0	543 	1	3	 
0	621 	1	6	 
0	720 	1	2	 
1	727 	1	4	 
1	1021 	0	11	 
1	752 	1	14	 
0	758 	0	12	 
0	836 	1	10	 
1	614 	1	6	 
0	609 	1	5	 
0	892 	1	8	 
0	1020 	1	9	 
1	863 	1	13	 
0	728 	1	13	 
0	911 	1	15	 
1	662 	1	2	 
1	735 	1	8	 
0	781 	1	6	 
0	729 	1	12	 
0	832 	1	3	 
1	874 	1	8	 
1	747 	1	15	 
1	513 	1	3	 
0	488 	0	14	 
0	744 	1	13	 
0	693 	0	11	 
1	1085 	0	14	 
0	965 	1	10	 
0	682 	1	8	 
0	571 	1	1	 
0	920 	1	15	 
0	943 	1	15	 
1	1404 	1	7	 
0	752 	0	11	 
0	1318 	1	7	 
1	757 	1	2	 
0	987 	1	5	 
0	1119 	1	13	 
0	1422 	1	7	 
1	817 	1	1	 
1	877 	1	3	 
1	965 	1	3	 
0	1370 	0	14	 
0	1103 	1	11	 
1	599 	1	1	 
1	986 	1	6	 
1	1439 	1	7	 
0	1665 	0	14	 
1	811 	1	6	 
0	726 	1	1	 
0	861 	1	12	 
0	1182 	1	13	 
1	1106 	1	10	 
0	1098 	1	13	 
1	898 	1	12	 
1	945 	1	10	 
1	831 	1	4	 
1	729 	1	13	 
0	848 	1	4	 
1	801 	1	13	 
1	725 	1	5	 
1	732 	1	1	 
0	834 	1	4	 
1	813 	1	14	 
0	840 	1	10	 
1	1042 	1	2	 
1	772 	1	1	 
0	953 	1	9	 
0	886 	1	7	 
1	703 	1	5	 
0	934 	1	15	 
0	965 	1	7	 
0	1114 	0	14	 
1	873 	0	11	 
1	922 	1	7	 
1	881 	1	15	 
1	681 	1	5	 
1	914 	0	11	 
0	857 	1	6	 
1	786 	1	1	 
1	775 	1	9	 
1	716 	1	12	 
0	531 	1	1	 
0	945 	1	5	 
0	911 	1	6	 
1	614 	1	9	 
0	793 	0	14	 
0	1108 	1	2	 
0	851 	1	8	 
0	701 	1	1	 
0	1029 	1	4	 
0	647 	1	4	 
0	689 	1	8	 
1	937 	1	15	 
0	575 	1	15	 
1	708 	1	3	 
1	900 	1	12	 
1	820 	1	6	 
0	799 	1	4	 
0	906 	1	10	 
1	906 	1	10	 
1	690 	1	9	 
1	1186 	0	11	 
0	798 	1	15	 
0	914 	1	9	 
0	953 	1	6	 
1	1423 	1	10	 
1	970 	0	14	 
1	991 	1	7	 
1	1219 	0	14	 
0	783 	1	5	 
0	1035 	1	5	 
0	1509 	0	11	 
1	757 	1	4	 
0	842 	1	8	 
0	669 	1	1	 
0	862 	1	9	 
